"","pvt_brood_temp","pvt_egg_temp","fixed_temp","shared_temp","prop_pvt_brood_temp","prop_pvt_egg_temp","count_higher_egg_temp","prop_higer_egg_temp"
"1",1934,4992,316,484,0.799834574028122,0.911614317019722,1,1
"2",1793,5026,333,450,0.799375835934017,0.917823228634039,1,1
"3",1600,5052,354,424,0.790513833992095,0.922571219868517,1,1
"4",2144,4950,318,526,0.802996254681648,0.903944485025566,1,1
"5",1933,4969,305,507,0.792213114754098,0.907414170927684,1,1
"6",1781,5033,338,443,0.800809352517986,0.919101533966399,1,1
"7",1631,5034,319,442,0.786782440906898,0.919284149013879,1,1
"8",1965,4984,311,492,0.7997557997558,0.910153396639883,1,1
"9",1897,4966,317,510,0.788117989198172,0.906866325785245,1,1
"10",2085,4981,312,495,0.808139534883721,0.909605551497443,1,1
"11",2161,4923,293,553,0.796241709653648,0.899013878743608,1,1
"12",1690,5038,333,438,0.794172932330827,0.920014609203798,1,1
"13",1927,4980,318,496,0.795295088732976,0.909422936449964,1,1
"14",2006,4978,327,498,0.80111821086262,0.909057706355004,1,1
"15",1962,4987,319,489,0.800489596083231,0.910701241782323,1,1
"16",2048,4946,315,530,0.794414274631497,0.903214024835647,1,1
"17",1986,4982,324,494,0.800806451612903,0.909788166544923,1,1
"18",1856,4999,322,477,0.795542220317188,0.912892622352082,1,1
"19",1848,4992,334,484,0.792452830188679,0.911614317019722,1,1
"20",1922,4945,301,531,0.783530370974317,0.903031409788167,1,1
"21",1853,5008,331,468,0.798362774666092,0.914536157779401,1,1
"22",1985,4957,298,519,0.792731629392971,0.905222790357926,1,1
"23",1941,4968,314,508,0.792568395263373,0.907231555880205,1,1
"24",1962,4986,310,490,0.800163132137031,0.910518626734843,1,1
"25",1926,4979,298,497,0.794882377218324,0.909240321402484,1,1
"26",1852,5007,312,469,0.797931925894011,0.914353542731921,1,1
"27",1909,4981,318,495,0.794093178036606,0.909605551497443,1,1
"28",1659,5048,328,428,0.794920939147101,0.921840759678597,1,1
