row,differ
Lsa_00049398,none
Lsa_00010393,none
Lsa_00010393,none
Lsa_00010393,none
Lsa_00049989,none
Lsa_00004513,none
Lsa_00004513,none
Lsa_00004513,none
Lsa_00004513,none
Lsa_00004517,none
Lsa_00004517,none
Lsa_00020479,none
Lsa_00020474,none
Lsa_00020474,none
Lsa_00050155,none
Lsa_00020471,none
Lsa_00020471,none
Lsa_00014351,none
Lsa_00002917,none
Lsa_00002917,none
Lsa_00002917,none
Lsa_00002917,none
Lsa_00002913,none
Lsa_00002913,none
Lsa_00002913,none
Lsa_00002913,none
Lsa_00002913,none
Lsa_00002913,none
Lsa_00002913,none
Lsa_00002910,none
Lsa_00002910,none
Lsa_00002910,none
Lsa_00002910,none
Lsa_00002910,none
Lsa_00002910,none
Lsa_00002910,none
Lsa_00002910,none
Lsa_00002919,none
Lsa_00002919,none
Lsa_00002919,none
Lsa_00002919,none
Lsa_00002919,none
Lsa_00002919,none
Lsa_00011459,both
Lsa_00011454,none
Lsa_00011454,none
Lsa_00011454,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011455,none
Lsa_00011453,none
Lsa_00011453,none
Lsa_00011453,none
Lsa_00011453,none
Lsa_00011453,none
Lsa_00011453,none
Lsa_00011453,none
Lsa_00011453,none
Lsa_00011453,none
Lsa_00019661,none
Lsa_00019661,none
Lsa_00019661,none
Lsa_00019661,none
Lsa_00019663,none
Lsa_00019663,none
Lsa_00019663,none
Lsa_00019663,none
Lsa_00019663,none
Lsa_00019663,none
Lsa_00010053,none
Lsa_00019667,none
Lsa_00016866,none
Lsa_00016864,none
Lsa_00016864,none
Lsa_00016865,none
Lsa_00016865,none
Lsa_00016865,none
Lsa_00016862,none
Lsa_00005648,none
Lsa_00005648,none
Lsa_00005648,none
Lsa_00005648,none
Lsa_00005643,none
Lsa_00005640,none
Lsa_00005640,none
Lsa_00005647,none
Lsa_00005647,none
Lsa_00005644,none
Lsa_00005644,none
Lsa_00005644,none
Lsa_00005644,none
Lsa_00005644,none
Lsa_00005644,none
Lsa_00005645,none
Lsa_00005645,none
Lsa_00005645,none
Lsa_00005645,none
Lsa_00047016,none
Lsa_00038840,none
Lsa_00009392,none
Lsa_00017118,none
Lsa_00010329,none
Lsa_00010329,none
Lsa_00010329,none
Lsa_00010329,none
Lsa_00010329,none
Lsa_00010329,none
Lsa_00010329,none
Lsa_00010327,none
Lsa_00010327,none
Lsa_00010327,none
Lsa_00017114,none
Lsa_00017114,none
Lsa_00017114,none
Lsa_00017116,none
Lsa_00017116,none
Lsa_00016242,none
Lsa_00016245,none
Lsa_00016245,none
Lsa_00016245,none
Lsa_00016245,none
Lsa_00051079,none
Lsa_00006348,none
Lsa_00038345,none
Lsa_00032762,none
Lsa_00021301,none
Lsa_00013748,none
Lsa_00013748,none
Lsa_00013748,none
Lsa_00013748,none
Lsa_00013748,none
Lsa_00032760,none
Lsa_00032760,none
Lsa_00032760,none
Lsa_00032760,none
Lsa_00032760,none
Lsa_00032760,none
Lsa_00032760,none
Lsa_00032760,none
Lsa_00032760,none
