# This file was produced by bcftools stats (1.9-41-ga98ae87+htslib-1.9-25-g7caad23) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  --depth 1,11000,1 --threads 4 /fastdata/bo1srs/final_working_VCFs/Maxmiss0.1_softDP10_minDP1500_all_sites_108_littorina.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/fastdata/bo1srs/final_working_VCFs/Maxmiss0.1_softDP10_minDP1500_all_sites_108_littorina.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	108
SN	0	number of records:	328831939
SN	0	number of no-ALTs:	310294741
SN	0	number of SNPs:	18537198
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	10521634	8015564	1.31	10521634	8015564	1.31
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	5679049	3254642	2424407	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	6965040	3996875	2968165	0	0	0	0
AF	0	0.009259	3319879	1893065	1426814	0	0	0	0
AF	0	0.018519	1518656	863830	654826	0	0	0	0
AF	0	0.027778	1190260	676392	513868	0	0	0	0
AF	0	0.037037	663891	375505	288386	0	0	0	0
AF	0	0.046296	542997	307108	235889	0	0	0	0
AF	0	0.055556	416177	235325	180852	0	0	0	0
AF	0	0.064815	359647	203191	156456	0	0	0	0
AF	0	0.074074	238564	134175	104389	0	0	0	0
AF	0	0.083333	228075	127827	100248	0	0	0	0
AF	0	0.092593	188047	104987	83060	0	0	0	0
AF	0	0.101852	162916	91108	71808	0	0	0	0
AF	0	0.111111	144786	80389	64397	0	0	0	0
AF	0	0.120370	120805	67356	53449	0	0	0	0
AF	0	0.129630	113855	63439	50416	0	0	0	0
AF	0	0.138889	109657	60941	48716	0	0	0	0
AF	0	0.148148	82739	46135	36604	0	0	0	0
AF	0	0.157407	76696	42409	34287	0	0	0	0
AF	0	0.166667	76706	42606	34100	0	0	0	0
AF	0	0.175926	70097	38474	31623	0	0	0	0
AF	0	0.185185	63636	35335	28301	0	0	0	0
AF	0	0.194444	58413	31973	26440	0	0	0	0
AF	0	0.203704	54895	29957	24938	0	0	0	0
AF	0	0.212963	51832	28503	23329	0	0	0	0
AF	0	0.222222	49804	27126	22678	0	0	0	0
AF	0	0.231481	46518	25579	20939	0	0	0	0
AF	0	0.240741	38572	21271	17301	0	0	0	0
AF	0	0.250000	42140	23031	19109	0	0	0	0
AF	0	0.259259	39896	21769	18127	0	0	0	0
