ID,mode,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,ld_PC1,ld_PC2,ld_PC3,ld_PC4,ld_PC5,ld_PC6,ld_PC7,ld_PC8,ld_PC9,ld_PC10,ID_down,species_down,mode_down,down_PC1,down_PC2,down_PC3,down_PC4,down_PC5,down_PC6,down_PC7,down_PC8,down_PC9,down_PC10,downLD_PC1,downLD_PC2,downLD_PC3,downLD_PC4,downLD_PC5,downLD_PC6,downLD_PC7,downLD_PC8,downLD_PC9,downLD_PC10,,,,,,,,,,,,
83_AB1_Lsb,1,2,0.0378276,-0.00924619,0.0655787,0.000411833,0.0308028,0.0772913,-0.0820553,0.126548,0.054761,-0.152447,0.0308929,-0.0135584,0.0657892,-0.00548129,0.0217322,-0.0108645,0.0452889,-2.33E-05,-0.00122066,0.194454,83_AB1_Lsb,2,1,0.067318,0.0202986,-0.0450267,0.195039,-0.0930528,-0.0480826,-0.130079,-0.128098,0.140554,-0.0497786,0.0690791,0.0284638,-0.0826844,-0.141159,-0.0615526,0.11659,0.146869,0.0330859,-0.091694,0.0230174,,,,,,,,,,,,
88_AB1_Lsb,1,2,0.0378712,-0.00876505,0.0662355,0.00058288,0.0315858,0.0739083,-0.0804981,0.121751,0.0535599,-0.146959,0.031074,-0.0135487,0.0668274,-0.00534701,0.0223839,-0.0109412,0.0440233,-0.000243234,-0.00139223,0.190668,88_AB1_Lsb,2,1,0.0684593,0.0209967,-0.04381,0.191531,-0.0927483,-0.0490661,-0.130286,-0.128734,0.138995,-0.052265,0.069837,0.0293117,-0.0794256,-0.136498,-0.0607413,0.111373,0.145055,0.0318754,-0.091488,0.0245617,,,,,,,,,,,,
ACF_1,1,2,0.0432437,-0.00888879,0.031131,0.00759391,0.0304058,0.102339,-0.0256912,0.115469,0.0245393,-0.192718,0.0386556,-0.0133166,0.0284214,0.00624889,0.021832,0.0227402,0.0746599,0.00651237,-0.00165974,0.166584,ACF_1,2,1,0.0304408,0.0185498,-0.0807901,0.152612,-0.00709981,0.187281,-0.0338384,0.0215737,0.0563497,0.00143386,0.0355258,0.0276528,-0.10058,-0.106133,-0.0142874,0.208122,0.00585408,0.0285661,-0.0371982,0.0227356,,,,,,,,,,,,
ACF_2,1,2,0.0438622,-0.00955038,0.0431226,0.00522356,0.031499,0.0998123,-0.0355484,0.135766,0.0409228,-0.246684,0.0396182,-0.0140763,0.0439716,0.00436102,0.0229815,0.0218644,0.0772353,0.0068826,-0.00257124,0.229039,ACF_2,2,1,0.0461146,0.019659,-0.0825906,0.209829,-0.0387993,0.266712,-0.0733655,0.0179903,0.119933,-0.0325788,0.0478881,0.029076,-0.0982963,-0.128213,-0.0309454,0.260614,0.0290008,0.0412422,-0.0668359,0.0204382,,,,,,,,,,,,
ACF_3,1,2,0.0438622,-0.00955038,0.0431226,0.00522356,0.031499,0.0998123,-0.0355484,0.135766,0.0409228,-0.246684,0.0396182,-0.0140763,0.0439716,0.00436102,0.0229815,0.0218644,0.0772353,0.0068826,-0.00257124,0.229039,ACF_3,2,1,0.0461146,0.019659,-0.0825906,0.209829,-0.0387993,0.266712,-0.0733655,0.0179903,0.119933,-0.0325788,0.0478881,0.029076,-0.0982963,-0.128213,-0.0309454,0.260614,0.0290008,0.0412422,-0.0668359,0.0204382,,,,,,,,,,,,
ACF_4,1,2,0.044291,-0.00883298,0.0434616,0.00607645,0.0287713,0.0929931,-0.0320621,0.115876,0.0311013,-0.188929,0.0383297,-0.0132361,0.041726,0.00410501,0.020391,0.0170708,0.0618657,0.00554816,-0.00168932,0.164195,ACF_4,2,1,0.0437867,0.0175876,-0.0667003,0.15177,-0.0241572,0.165084,-0.0398737,0.0105646,0.0663441,-0.014214,0.0480627,0.0261092,-0.0916996,-0.109393,-0.022991,0.198844,0.0199802,0.0323669,-0.0460383,0.00999504,,,,,,,,,,,,
BH_8_2,1,2,0.0406998,-0.00780962,0.0421157,0.00724682,0.003164,0.0412197,0.0030266,0.0224026,0.00271725,0.00622738,0.0349371,-0.011798,0.0397466,0.00492023,-0.000721529,0.0121526,0.0250148,0.00186557,-5.28E-05,0.0332012,BH_8_2,2,1,0.0416127,-0.0029639,-0.0288711,0.0311351,-0.00291674,0.014997,0.0476421,0.053136,-0.0324997,0.00301545,0.0461601,0.00106817,-0.0416818,-0.0191236,0.000594664,0.00579213,-0.0303705,0.0158794,0.0495281,-0.0832424,,,,,,,,,,,,
CEA_Larc_F_2,1,2,0.0378411,-0.00595855,0.0641758,0.00738004,0.007591,0.0529715,-0.0318513,0.0496474,0.0287691,0.0225308,0.0325056,-0.0102754,0.0612607,0.00350833,-5.68E-05,0.0037953,0.0251111,0.0028074,-0.00259958,0.0712927,CZA020_Ls,2,1,0.0728234,0.0461168,0.00673442,-0.0874649,0.0355254,-0.00632904,0.0380127,0.0945742,0.00917646,-0.25116,0.0690448,0.0457205,0.0323542,0.0911264,0.0302591,-0.0123868,-0.0191723,-0.0183999,0.00219035,0.0200217,,,,,,,,,,,,
CEA_Lsax_F_1,1,2,0.0372697,-0.00529071,0.0661295,0.00653855,0.00527952,0.0496825,-0.0324713,0.0468424,0.0279499,0.022209,0.0319697,-0.00980594,0.0629776,0.00266821,-0.00169947,0.00245872,0.0227365,0.00233936,-0.00276448,0.070287,CZA506_Ls,2,1,0.064966,0.0546522,0.0157569,-0.0895489,0.0429609,0.00172497,0.0271074,0.0666957,-0.0050224,-0.252664,0.0631055,0.0515136,0.0391996,0.090312,0.0346044,-0.0126699,-0.0258945,-0.0259493,-0.0147993,0.0270181,,,,,,,,,,,,
CZA005_Ls,1,2,0.0494834,-0.0131491,0.061399,-0.00468522,0.0464692,-0.0302463,0.0386075,-0.0861723,-0.0324981,0.0200326,0.044556,-0.0182407,0.0673566,-0.00562038,0.0476693,0.00474201,-0.00625101,0.00313053,0.00183116,-0.0901273,CZA524_Ls,2,1,0.0805144,0.0504488,0.0231084,-0.090955,0.0170936,-0.0371143,0.0185472,0.0619998,0.0200639,-0.264209,0.0767923,0.0493417,0.0451076,0.0928732,0.0199495,-0.0256006,-0.00209388,-0.0169863,-0.0121847,0.0303266,,,,,,,,,,,,
CZA020_Ls,1,2,0.0498976,-0.0138598,0.0632308,-0.00377911,0.0440465,-0.0286006,0.0371387,-0.0840356,-0.0298912,0.0152506,0.0450066,-0.0192083,0.0705231,-0.0047464,0.0448255,0.00373085,-0.00560891,0.00333808,0.000667659,-0.0856092,CZD309_Ls,2,1,0.0717943,0.0470589,0.00943897,-0.0850228,0.0335228,-0.00281381,0.0369066,0.0901436,0.00741385,-0.228772,0.0691375,0.0463651,0.0337634,0.0889417,0.0290471,-0.0115231,-0.0199189,-0.0170574,0.0041199,0.0165614,,,,,,,,,,,,
CZA506_Ls,1,2,0.0508943,-0.0137557,0.0571789,-0.0030902,0.0493834,-0.0355552,0.0372477,-0.0835721,-0.0337257,0.0178075,0.0453598,-0.0191472,0.0626547,-0.00493156,0.0526171,-0.000544403,-0.0140749,0.00209947,0.00208682,-0.0884389,CZD390_Ls,2,1,0.0776368,0.0490527,0.0168703,-0.0900115,0.0320803,-0.0165076,0.0357065,0.0890212,0.00985135,-0.233981,0.0737653,0.047923,0.0387425,0.0908161,0.0295585,-0.0186093,-0.0147684,-0.0185306,0.00569182,0.0176796,,,,,,,,,,,,
CZA524_Ls,1,2,0.0501461,-0.014342,0.0711483,-0.00636448,0.0473419,-0.042266,0.0269617,-0.0902921,-0.0224519,0.021402,0.0435217,-0.0196576,0.0786049,-0.00959464,0.0482161,-0.00877231,-0.0188465,0.00134568,-0.000261824,-0.0911741,CZD563_Ls,2,1,0.0756825,0.0518298,0.0229664,-0.087931,0.0301261,-0.0233634,0.023902,0.0642135,0.00866514,-0.256605,0.0727096,0.0495767,0.0436637,0.0897279,0.0292436,-0.0221635,-0.0119068,-0.0219127,-0.0120737,0.0278057,,,,,,,,,,,,
CZD309_Ls,1,2,0.0498966,-0.0132594,0.0633453,-0.00348162,0.0446491,-0.0301365,0.0365671,-0.0818926,-0.028443,0.0146524,0.0445794,-0.0182488,0.0694786,-0.00428408,0.0456579,0.00329876,-0.00851232,0.00325808,0.000645415,-0.0831034,CZD565_Ls,2,1,0.069559,0.0527472,0.0194136,-0.0913964,0.0276989,-0.011658,0.0197452,0.0538994,0.00538636,-0.252093,0.0677194,0.050581,0.0429261,0.0917548,0.0251556,-0.0179145,-0.0164121,-0.0204018,-0.0199289,0.0314296,,,,,,,,,,,,
