topo1,topo2,topo3
2096,936,6968
3150,2260,4590
2950,2600,4450
400,1400,8200
2176,2072,5752
2080,2800,5120
1640,3880,4480
1232,2452,6316
0,3000,7000
5690,2310,2000
2180,1200,6620
2328,3938,3734
2153,6143,1704
2000,3630,4370
2970,1620,5410
2706,1506,5788
4480,2100,3420
1800,2400,5800
824,1196,7980
480,2760,6760
5030,3410,1560
1440,1600,6960
2610,1910,5480
3522,2730,3748
2976,2856,4168
600,4160,5240
2095,4895,3010
2904,1452,5644
190,450,9360
5510,422,4068
2178,3770,4052
0,5800,4200
1040,1580,7380
500,4600,4900
1306,2726,5968
2500,2492,5008
3200,2520,4280
3120,1710,5170
2728,2728,4544
1980,140,7880
3692,2852,3456
1440,2460,6100
2120,2380,5500
6400,1320,2280
400,1600,8000
2230,2170,5600
765,2070,7165
3072,4308,2620
3120,0,6880
0,0,10000
0,800,9200
0,2560,7440
1270,600,8130
4452,1644,3904
1040,960,8000
1920,3250,4830
0,1000,9000
700,3800,5500
2660,1680,5660
1916,1882,6202
5330,1310,3360
2676,4332,2992
2675,800,6525
1800,360,7840
918,468,8614
2088,1700,6212
9000,900,100
310,2310,7380
3820,1620,4560
1080,900,8020
2532,3036,4432
368,1148,8484
1646,4038,4316
2380,4216,3404
1200,800,8000
5760,2296,1944
5008,704,4288
1680,3520,4800
2860,1884,5256
3028,2914,4058
100,780,9120
6630,1520,1850
2402,2472,5126
90,450,9460
3000,0,7000
1380,6860,1760
600,400,9000
2304,2784,4912
2400,2160,5440
4910,1634,3456
3600,2000,4400
2280,5320,2400
2940,2360,4700
700,300,9000
2040,1696,6264
2772,2508,4720
1840,2020,6140
2950,800,6250
2690,2450,4860
300,500,9200
480,7320,2200
2800,720,6480
1440,840,7720
2178,3230,4592
1872,1152,6976
0,2000,8000
0,3700,6300
1080,360,8560
3751,2457,3792
4150,2190,3660
2660,2960,4380
5726,1368,2906
2440,720,6840
1640,2320,6040
2560,3440,4000
3680,1920,4400
1560,2196,6244
1172,1392,7436
2856,3056,4088
1272,1932,6796
550,390,9060
6508,1168,2324
1960,4020,4020
1084,1584,7332
6400,900,2700
4250,350,5400
1510,5850,2640
1724,2232,6044
0,0,10000
2400,3200,4400
1920,1720,6360
2124,3024,4852
1708,2852,5440
2880,1120,6000
2160,640,7200
712,2952,6336
808,3408,5784
5770,1400,2830
3140,1890,4970
500,4500,5000
1929,2139,5932
3704,1784,4512
2200,4400,3400
4400,1000,4600
2204,2680,5116
0,0,10000
4348,956,4696
2980,3550,3470
2268,4296,3436
3070,0,6930
1800,360,7840
1890,1890,6220
840,240,8920
1270,2500,6230
760,4040,5200
4900,900,4200
2800,2475,4725
1200,5340,3460
6500,1170,2330
1788,1068,7144
9000,400,600
0,4000,6000
2040,2800,5160
1560,2040,6400
2150,2600,5250
3000,2400,4600
2136,1076,6788
3176,2924,3900
2800,1560,5640
788,1068,8144
3792,1464,4744
2720,1920,5360
2020,2080,5900
2320,1760,5920
1245,1283,7472
960,1000,8040
2748,2280,4972
4520,3910,1570
3196,4156,2648
1136,4276,4588
5890,1170,2940
5916,726,3358
4380,1384,4236
1590,790,7620
3588,938,5474
2260,2180,5560
1950,4200,3850
960,1800,7240
4600,1200,4200
800,480,8720
0,3000,7000
1000,0,9000
865,2321,6814
100,3900,6000
120,2760,7120
280,600,9120
2900,2280,4820
3180,2970,3850
1080,2880,6040
6526,657,2817
1008,988,8004
830,390,8780
710,8500,790
1942,2352,5706
1536,2548,5916
900,5400,3700
2100,0,7900
3888,3876,2236
630,760,8610
0,600,9400
800,800,8400
1896,4356,3748
3536,864,5600
0,2000,8000
1876,1956,6168
0,1280,8720
900,5220,3880
3260,3320,3420
1540,1700,6760
3528,1928,4544
2250,3150,4600
3800,1955,4245
1278,1328,7394
2056,1256,6688
730,4350,4920
480,3600,5920
2576,2252,5172
800,6800,2400
1520,3648,4832
2450,2050,5500
4300,1700,4000
1332,3316,5352
1590,2470,5940
1300,3700,5000
4680,2952,2368
804,3684,5512
2700,700,6600
740,0,9260
1620,6030,2350
1970,2810,5220
2800,4200,3000
2560,3160,4280
2304,2354,5342
2520,4560,2920
2910,2300,4790
4060,1680,4260
0,2000,8000
5400,400,4200
3190,1930,4880
2556,4696,2748
3070,2834,4096
0,0,10000
640,240,9120
534,4240,5226
2880,3000,4120
160,3600,6240
2620,3670,3710
1198,629,8173
1200,1300,7500
3200,2000,4800
2760,3840,3400
4000,4000,2000
2750,1750,5500
1610,2560,5830
2140,4460,3400
801,4398,4801
3500,3500,3000
1610,690,7700
1400,1900,6700
