topo1,topo2,topo3
4560,2900,2540
3360,4606,2034
3827,2822,3351
4366,3332,2302
5460,3640,900
4590,3580,1830
6538,1640,1822
3632,2904,3464
4308,2547,3145
8180,800,1020
7222,1242,1536
9480,200,320
4735,2800,2465
3664,1752,4584
7928,616,1456
5600,2028,2372
3142,3016,3842
4300,2500,3200
7912,1044,1044
2645,3220,4135
9460,270,270
8640,280,1080
4470,2520,3010
5114,2218,2668
3810,3320,2870
5525,2355,2120
2640,2960,4400
4660,3190,2150
4002,3470,2528
3200,2000,4800
4336,2782,2882
7408,728,1864
3672,2300,4028
4012,4188,1800
6800,1600,1600
5612,2440,1948
5400,2170,2430
6748,1836,1416
4392,1424,4184
4796,2152,3052
6190,1575,2235
4248,2398,3354
3800,2700,3500
4460,1040,4500
5260,1656,3084
3268,3644,3088
4240,2440,3320
3644,3568,2788
3888,3664,2448
3890,4316,1794
5570,3540,890
4319,2312,3369
4406,2806,2788
3380,3040,3580
4860,3290,1850
4354,2649,2997
7020,1070,1910
4160,3206,2634
3500,3238,3262
4828,2216,2956
4148,2366,3486
5867,1934,2199
3754,4481,1765
5000,2000,3000
3680,2120,4200
3430,1460,5110
5226,2396,2378
5348,2382,2270
4780,2840,2380
5200,3000,1800
7788,724,1488
2320,3240,4440
6338,2372,1290
9560,60,380
6048,862,3090
2989,2580,4431
3760,3690,2550
6504,2128,1368
4320,1850,3830
4066,3294,2640
3660,3280,3060
6940,1970,1090
6040,2120,1840
3770,2654,3576
4953,2061,2986
5120,1480,3400
7636,672,1692
4990,3330,1680
2890,5220,1890
3650,3530,2820
2972,1890,5138
4704,1718,3578
5612,1800,2588
4444,2378,3178
1830,5000,3170
3900,3440,2660
3400,3850,2750
6082,1484,2434
7696,992,1312
4044,2064,3892
5642,2164,2194
10000,0,0
5120,2500,2380
3192,4648,2160
10000,0,0
5720,580,3700
7960,1060,980
6928,984,2088
2760,3520,3720
4968,2896,2136
5180,1800,3020
4610,3980,1410
6973,1300,1727
3791,1738,4471
4356,4172,1472
2877,4307,2816
3400,2400,4200
5216,2912,1872
4424,2792,2784
6832,1591,1577
4340,2110,3550
6636,1840,1524
3069,3719,3212
6880,1490,1630
6460,960,2580
4778,2425,2797
5910,2140,1950
3550,3390,3060
4008,3386,2606
8020,780,1200
5400,1580,3020
4650,2970,2380
7328,1376,1296
7820,545,1635
7010,1460,1530
3784,3128,3088
6562,739,2699
5416,2342,2242
5276,2405,2319
5620,3310,1070
4800,2660,2540
6231,1550,2219
7000,1400,1600
7056,1432,1512
5274,2248,2478
4800,3960,1240
3200,2140,4660
5300,2560,2140
3440,1320,5240
5640,3000,1360
4400,2570,3030
7400,1300,1300
5592,2250,2158
4000,3340,2660
7130,1450,1420
4232,2684,3084
6868,1858,1274
6110,2126,1764
8400,1300,300
5530,3540,930
5236,2722,2042
6000,1550,2450
7512,634,1854
3782,2814,3404
3284,4132,2584
3944,3440,2616
3785,2915,3300
4431,2454,3115
4725,2625,2650
5418,2311,2271
2648,2360,4992
3600,3800,2600
5048,2564,2388
4517,2447,3036
4560,2940,2500
3820,3740,2440
4276,2488,3236
7008,1572,1420
4420,4510,1070
6760,1800,1440
3782,2206,4012
2920,2040,5040
3120,4600,2280
8592,574,834
3650,1350,5000
5858,1646,2496
6660,2240,1100
7858,1071,1071
4980,1960,3060
4664,2668,2668
4966,3022,2012
9180,580,240
5800,2140,2060
4880,2480,2640
6800,1600,1600
7632,1454,914
4684,2304,3012
4964,2900,2136
3224,4102,2674
5250,2050,2700
4220,3248,2532
5660,1575,2765
7440,1520,1040
7600,2260,140
3950,4890,1160
3244,5262,1494
6480,960,2560
5500,1600,2900
4650,4000,1350
4190,3090,2720
8600,400,1000
2600,4220,3180
4052,3252,2696
4552,3292,2156
1900,1860,6240
4250,2880,2870
4350,2564,3086
6590,1500,1910
4369,2899,2732
3879,3129,2992
5600,1960,2440
6368,2056,1576
4848,2526,2626
7434,1170,1396
9040,100,860
8780,460,760
2804,2976,4220
5280,2188,2532
4976,1652,3372
6132,1872,1996
3268,2334,4398
6500,1000,2500
8200,900,900
5050,1770,3180
4652,2412,2936
3697,3069,3234
4550,2550,2900
4270,3280,2450
3500,2450,4050
4592,2752,2656
4968,2928,2104
3284,3644,3072
3000,2650,4350
2712,5648,1640
4455,2229,3316
4952,2924,2124
6850,2250,900
6032,1024,2944
5576,1932,2492
4160,2220,3620
3635,5355,1010
4360,2600,3040
3660,2800,3540
4012,2192,3796
4200,3100,2700
3960,3028,3012
6340,2050,1610
5160,2800,2040
5832,1704,2464
5580,3060,1360
10000,0,0
2766,3478,3756
5734,1958,2308
6180,1250,2570
3570,3120,3310
4730,2110,3160
4852,1864,3284
4400,2800,2800
6840,2360,800
6290,2580,1130
2758,4021,3221
4096,2952,2952
5280,2360,2360
4664,2864,2472
4598,2414,2988
3492,2876,3632
10000,0,0
4058,4444,1498
6490,2490,1020
5000,2500,2500
3492,1788,4720
5020,2868,2112
3685,2910,3405
2630,2340,5030
3320,2950,3730
9000,60,940
3960,3300,2740
3074,3514,3412
4300,1590,4110
5805,2135,2060
6315,1932,1753
5500,1890,2610
4290,3245,2465
4508,2016,3476
4800,1880,3320
3970,3650,2380
7540,1260,1200
6978,1380,1642
3900,2640,3460
5328,2540,2132
4280,2860,2860
6060,1785,2155
4160,2440,3400
4722,2402,2876
3422,3020,3558
3588,3056,3356
5196,2222,2582
6200,2100,1700
6780,2020,1200
5982,878,3140
7860,1800,340
4400,3200,2400
6600,1180,2220
4110,3020,2870
5200,1960,2840
6920,1400,1680
4160,3380,2460
3450,3395,3155
4000,3110,2890
4384,2584,3032
3372,3040,3588
3666,1430,4904
5000,3420,1580
6260,1980,1760
2580,5490,1930
4240,3490,2270
5910,2100,1990
6980,1290,1730
4478,3348,2174
4120,1220,4660
5000,3360,1640
10000,0,0
5598,2596,1806
8600,700,700
5454,2134,2412
10000,0,0
3544,3942,2514
5800,3400,800
8720,510,770
