topo1,topo2,topo3
10000,0,0
10000,0,0
10000,0,0
9700,0,300
10000,0,0
10000,0,0
8000,0,2000
3200,400,6400
10000,0,0
9700,0,300
10000,0,0
10000,0,0
9000,0,1000
4400,800,4800
10000,0,0
10000,0,0
5000,2500,2500
10000,0,0
3300,6400,300
7000,3000,0
10000,0,0
10000,0,0
9000,0,1000
10000,0,0
10000,0,0
10000,0,0
10000,0,0
9000,0,1000
10000,0,0
4000,0,6000
10000,0,0
10000,0,0
10000,0,0
7400,800,1800
10000,0,0
5600,1200,3200
10000,0,0
10000,0,0
10000,0,0
6200,2400,1400
10000,0,0
10000,0,0
10000,0,0
10000,0,0
6600,2700,700
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5400,1800,2800
10000,0,0
10000,0,0
8000,0,2000
7000,0,3000
10000,0,0
9000,0,1000
10000,0,0
9000,0,1000
6000,800,3200
10000,0,0
10000,0,0
8000,0,2000
3000,7000,0
10000,0,0
10000,0,0
6000,0,4000
5400,2800,1800
10000,0,0
10000,0,0
4100,4400,1500
10000,0,0
10000,0,0
5600,3200,1200
10000,0,0
10000,0,0
10000,0,0
9000,1000,0
10000,0,0
1400,7200,1400
10000,0,0
10000,0,0
10000,0,0
7000,900,2100
5800,600,3600
8000,2000,0
10000,0,0
7900,2100,0
10000,0,0
10000,0,0
5400,2600,2000
10000,0,0
5800,2100,2100
10000,0,0
5000,0,5000
5800,600,3600
10000,0,0
4600,4200,1200
10000,0,0
8000,0,2000
4400,800,4800
9200,0,800
6160,1920,1920
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5000,2200,2800
10000,0,0
9000,0,1000
7300,800,1900
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
5200,2400,2400
3800,2600,3600
10000,0,0
9000,0,1000
5600,3200,1200
10000,0,0
5600,1200,3200
10000,0,0
10000,0,0
10000,0,0
7400,800,1800
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
4000,400,5600
5000,2500,2500
10000,0,0
6200,1700,2100
10000,0,0
10000,0,0
10000,0,0
8000,200,1800
10000,0,0
10000,0,0
10000,0,0
7000,2000,1000
9000,0,1000
10000,0,0
5600,2600,1800
5800,600,3600
2400,7200,400
10000,0,0
5000,4500,500
10000,0,0
10000,0,0
10000,0,0
4200,5400,400
5000,1000,4000
9000,0,1000
6000,4000,0
9800,0,200
7000,0,3000
10000,0,0
10000,0,0
10000,0,0
10000,0,0
8000,0,2000
10000,0,0
10000,0,0
5400,1800,2800
4600,1800,3600
10000,0,0
10000,0,0
10000,0,0
8000,0,2000
6000,0,4000
6200,1400,2400
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
9000,0,1000
10000,0,0
4600,2400,3000
10000,0,0
4200,900,4900
10000,0,0
10000,0,0
9000,0,1000
8400,800,800
10000,0,0
6000,0,4000
9000,0,1000
5800,2100,2100
7000,0,3000
10000,0,0
5800,2100,2100
3000,7000,0
8000,0,2000
8000,0,2000
5000,2500,2500
10000,0,0
10000,0,0
10000,0,0
6200,2400,1400
4400,4800,800
8200,900,900
10000,0,0
9000,0,1000
10000,0,0
10000,0,0
9000,0,1000
10000,0,0
10000,0,0
10000,0,0
6200,1400,2400
10000,0,0
10000,0,0
4200,400,5400
6800,1600,1600
6600,700,2700
10000,0,0
10000,0,0
5000,2500,2500
10000,0,0
5000,2000,3000
8000,1080,920
10000,0,0
9800,0,200
10000,0,0
10000,0,0
10000,0,0
6000,4000,0
7500,2500,0
10000,0,0
10000,0,0
9000,0,1000
10000,0,0
10000,0,0
4600,1200,4200
7660,1620,720
10000,0,0
10000,0,0
10000,0,0
5000,1000,4000
10000,0,0
10000,0,0
8000,1000,1000
10000,0,0
10000,0,0
10000,0,0
10000,0,0
10000,0,0
9000,0,1000
