topo1,topo2,topo3
0,0,10000
1000,0,9000
4500,500,5000
0,0,10000
1000,0,9000
2500,2500,5000
0,0,10000
0,0,10000
2400,1400,6200
0,0,10000
0,0,10000
3000,2400,4600
0,5000,5000
0,0,10000
3600,600,5800
0,10000,0
0,0,10000
0,0,10000
150,3150,6700
0,0,10000
7000,0,3000
0,0,10000
0,0,10000
800,1800,7400
500,150,9350
400,6400,3200
0,0,10000
0,0,10000
0,0,10000
900,900,8200
0,0,10000
0,8000,2000
0,0,10000
100,8100,1800
0,0,10000
0,0,10000
100,8100,1800
0,0,10000
0,0,10000
7200,200,2600
5400,400,4200
0,0,10000
0,0,10000
1000,0,9000
0,0,10000
0,9000,1000
1600,400,8000
0,0,10000
500,4500,5000
0,10000,0
2000,0,8000
7200,200,2600
0,0,10000
2400,2400,5200
0,0,10000
0,0,10000
0,10000,0
0,0,10000
9000,1000,0
5082,1122,3796
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4500,500,5000
0,0,10000
0,0,10000
100,0,9900
0,0,10000
2800,1800,5400
0,0,10000
0,0,10000
0,0,10000
0,0,10000
6000,0,4000
0,9000,1000
0,0,10000
0,0,10000
0,7000,3000
2000,8000,0
4000,0,6000
0,0,10000
1200,2700,6100
6400,400,3200
0,6000,4000
7000,0,3000
0,0,10000
0,0,10000
0,0,10000
4500,4500,1000
2000,0,8000
7200,800,2000
0,1000,9000
9000,0,1000
0,0,10000
2500,0,7500
0,0,10000
0,0,10000
2100,2100,5800
3200,1200,5600
0,1000,9000
0,0,10000
0,7000,3000
800,1800,7400
0,0,10000
500,0,9500
0,0,10000
1200,3200,5600
1000,0,9000
0,0,10000
2400,6000,1600
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,2000,8000
900,900,8200
0,2000,8000
0,0,10000
7000,0,3000
0,600,9400
0,0,10000
0,0,10000
3000,0,7000
0,10000,0
0,0,10000
0,0,10000
900,400,8700
0,6000,4000
0,6000,4000
4000,0,6000
10000,0,0
0,0,10000
10000,0,0
9000,1000,0
8000,0,2000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
3200,1200,5600
10000,0,0
0,0,10000
2900,2900,4200
0,0,10000
0,2000,8000
0,0,10000
800,7200,2000
0,0,10000
0,6000,4000
1800,2800,5400
2000,0,8000
0,0,10000
0,0,10000
400,6400,3200
0,0,10000
0,0,10000
0,0,10000
2000,1800,6200
4000,1000,5000
0,0,10000
0,0,10000
10000,0,0
0,0,10000
0,0,10000
1200,3200,5600
1500,3500,5000
4900,900,4200
0,6000,4000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,5000,5000
0,0,10000
0,0,10000
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
1000,0,9000
9000,0,1000
0,0,10000
1120,1120,7760
60,1260,8680
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
800,2000,7200
0,0,10000
2700,700,6600
0,0,10000
0,0,10000
0,4000,6000
3500,1500,5000
6300,300,3400
0,10000,0
0,0,10000
0,0,10000
900,900,8200
0,0,10000
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
0,0,10000
1000,0,9000
0,0,10000
960,960,8080
0,0,10000
0,8000,2000
5000,0,5000
0,0,10000
5000,0,5000
0,0,10000
0,0,10000
0,4000,6000
0,0,10000
0,0,10000
2400,400,7200
1000,9000,0
0,0,10000
0,0,10000
1000,9000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
7000,0,3000
2800,1200,6000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
0,10000,0
8100,100,1800
3000,0,7000
0,0,10000
0,600,9400
0,0,10000
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
6000,0,4000
0,0,10000
0,0,10000
4800,2000,3200
1200,3200,5600
0,0,10000
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
0,0,10000
2760,6450,790
5800,800,3400
0,10000,0
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
900,0,9100
1000,0,9000
0,0,10000
10000,0,0
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
2800,0,7200
0,0,10000
0,0,10000
1500,3500,5000
0,0,10000
0,4000,6000
0,0,10000
2500,2500,5000
5000,0,5000
600,5600,3800
7000,900,2100
3000,0,7000
0,0,10000
300,6300,3400
0,0,10000
0,0,10000
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
0,5000,5000
0,10000,0
0,5000,5000
6000,1600,2400
3200,1200,5600
4000,0,6000
0,10000,0
3000,0,7000
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
1000,0,9000
0,0,10000
4000,1000,5000
6000,0,4000
0,0,10000
2700,700,6600
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2500,0,7500
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1200,4200,4600
7200,200,2600
0,0,10000
1600,1600,6800
0,6000,4000
0,0,10000
0,0,10000
0,0,10000
0,4000,6000
0,0,10000
240,540,9220
0,0,10000
0,0,10000
0,6000,4000
0,0,10000
4500,4500,1000
0,0,10000
1800,200,8000
0,0,10000
0,0,10000
9000,0,1000
5600,600,3800
1600,3600,4800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4000,600,5400
0,0,10000
0,0,10000
0,0,10000
0,6400,3600
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7600,2400
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2700,700,6600
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
500,9500,0
0,0,10000
4000,0,6000
0,0,10000
0,2000,8000
0,6000,4000
3300,3300,3400
0,5000,5000
1000,0,9000
0,0,10000
0,0,10000
0,0,10000
200,1800,8000
0,0,10000
0,0,10000
2000,0,8000
0,0,10000
2000,0,8000
0,0,10000
0,4000,6000
0,0,10000
2500,2500,5000
0,7000,3000
6000,0,4000
5000,0,5000
0,5000,5000
0,0,10000
0,0,10000
0,10000,0
1700,1700,6600
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,4000,6000
1960,1260,6780
900,900,8200
3600,600,5800
0,0,10000
5600,600,3800
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
0,2000,8000
2700,6300,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
2000,0,8000
0,0,10000
2420,2700,4880
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,6000,4000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
3200,1200,5600
10000,0,0
0,0,10000
0,0,10000
6000,0,4000
1710,4900,3390
5000,0,5000
900,900,8200
0,0,10000
0,0,10000
7200,200,2600
0,0,10000
200,7200,2600
4000,0,6000
5400,400,4200
1000,0,9000
0,7000,3000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1000,0,9000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
7000,0,3000
0,0,10000
0,0,10000
0,5000,5000
10000,0,0
0,0,10000
4750,2500,2750
2100,900,7000
5600,600,3800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
