topo1,topo2,topo3
1113,5049,3838
600,3000,6400
2500,3000,4500
1380,4240,4380
2720,3160,4120
360,2200,7440
100,0,9900
4800,1200,4000
1384,2152,6464
720,4100,5180
2000,3000,5000
2840,3600,3560
1840,1900,6260
4014,2574,3412
5440,2640,1920
1560,1260,7180
2120,5720,2160
3132,4216,2652
2590,2680,4730
600,4200,5200
0,0,10000
2300,4220,3480
400,3600,6000
1272,3312,5416
2960,3840,3200
3576,3140,3284
4240,4200,1560
2400,1400,6200
3000,2200,4800
2610,1710,5680
3120,3060,3820
250,2250,7500
3820,2000,4180
3080,3730,3190
4890,2110,3000
440,6120,3440
7200,1600,1200
2430,30,7540
3500,2400,4100
9050,350,600
4380,1910,3710
4122,1632,4246
1920,4000,4080
920,540,8540
1570,2830,5600
2592,3836,3572
3340,3510,3150
7360,1030,1610
4500,2220,3280
1240,1240,7520
6000,0,4000
1960,4480,3560
200,0,9800
4080,3080,2840
700,3660,5640
2520,3520,3960
1250,1350,7400
4210,1510,4280
1900,2800,5300
2040,3660,4300
900,3300,5800
9000,100,900
4120,1680,4200
2600,800,6600
600,4200,5200
3220,1830,4950
3000,4400,2600
2950,2150,4900
240,6880,2880
3600,2000,4400
1320,6480,2200
4500,1450,4050
2330,1370,6300
2580,3420,4000
2400,5600,2000
800,720,8480
180,180,9640
2672,3572,3756
3568,3168,3264
1980,4280,3740
564,2484,6952
1360,3200,5440
5000,2140,2860
1455,2495,6050
2500,3900,3600
2800,1800,5400
2460,700,6840
4130,1180,4690
3584,3264,3152
3184,1794,5022
2000,1500,6500
4420,1670,3910
2924,6332,744
900,3600,5500
0,5640,4360
6840,720,2440
1648,1696,6656
5440,3200,1360
4240,1240,4520
8762,754,484
2060,1740,6200
3000,1920,5080
1800,0,8200
600,4500,4900
2670,3850,3480
2260,1500,6240
2420,1680,5900
2748,1928,5324
0,0,10000
1270,3770,4960
4860,1500,3640
2500,3300,4200
2528,1888,5584
2900,2200,4900
2852,3756,3392
2520,2400,5080
4900,3120,1980
440,970,8590
2860,2740,4400
600,3240,6160
2560,4600,2840
4820,2240,2940
3000,2800,4200
2320,400,7280
200,800,9000
2820,4180,3000
3430,2510,4060
800,7500,1700
2320,4520,3160
1150,3800,5050
1900,6250,1850
4410,1250,4340
4190,1520,4290
0,0,10000
3700,2890,3410
3170,2570,4260
20,720,9260
2075,3275,4650
200,1800,8000
600,3540,5860
6400,400,3200
650,4580,4770
1280,400,8320
3900,1340,4760
4100,1900,4000
4440,3860,1700
2380,4980,2640
2200,2800,5000
1900,6100,2000
4800,2540,2660
900,6500,2600
1200,5600,3200
1280,5340,3380
880,1920,7200
1200,1000,7800
200,1300,8500
4020,2580,3400
2720,3020,4260
0,3000,7000
3720,3840,2440
2390,2610,5000
5800,1000,3200
6000,600,3400
1920,3400,4680
2404,840,6756
1550,3940,4510
966,3546,5488
0,8000,2000
1308,2748,5944
3080,3080,3840
1400,2400,6200
1500,5000,3500
5590,1950,2460
4800,4000,1200
732,2832,6436
4830,1470,3700
0,6400,3600
500,8100,1400
4422,2694,2884
2412,3352,4236
3100,2380,4520
1380,5820,2800
2200,1760,6040
540,540,8920
1332,2592,6076
2500,2800,4700
770,200,9030
3644,3000,3356
100,3900,6000
8250,1380,370
1060,1780,7160
3230,2800,3970
870,540,8590
1600,1600,6800
0,0,10000
4832,1192,3976
2580,3450,3970
480,4480,5040
1000,3500,5500
2080,1280,6640
3360,720,5920
1400,3200,5400
6400,0,3600
6300,3000,700
4400,2160,3440
2940,2640,4420
5600,200,4200
540,6530,2930
2840,3600,3560
4120,3130,2750
5880,1530,2590
1000,0,9000
4680,1830,3490
4179,1727,4094
2140,3010,4850
3256,456,6288
2800,1800,5400
1040,3200,5760
0,3000,7000
4060,1240,4700
1608,3324,5068
2400,3600,4000
2010,1320,6670
2790,6480,730
2168,2496,5336
1620,4400,3980
4200,2100,3700
300,4600,5100
3950,1680,4370
4800,1800,3400
1816,976,7208
540,9160,300
4160,2840,3000
2942,2892,4166
2100,5660,2240
7200,1000,1800
1420,4780,3800
800,1600,7600
3064,4640,2296
1444,6432,2124
0,0,10000
3680,2960,3360
2100,1850,6050
3214,3350,3436
1476,2358,6166
8000,20,1980
2160,4030,3810
2160,5460,2380
3904,2744,3352
5700,1100,3200
1010,2510,6480
2324,5800,1876
3920,2700,3380
300,3170,6530
800,4800,4400
0,0,10000
5982,1214,2804
2358,1828,5814
1280,8360,360
1800,3720,4480
1830,1645,6525
1090,1980,6930
2670,2630,4700
718,5248,4034
1720,4700,3580
1522,4978,3500
240,2240,7520
1600,5470,2930
2410,1790,5800
1880,1880,6240
3600,2620,3780
1744,2384,5872
1600,1600,6800
2200,3800,4000
540,5310,4150
1800,3600,4600
1740,1440,6820
946,768,8286
2750,2210,5040
4312,1604,4084
4148,2928,2924
3416,1080,5504
900,2000,7100
2300,5100,2600
1600,2200,6200
2520,900,6580
3312,2972,3716
1500,2400,6100
1800,200,8000
1856,4488,3656
1600,1600,6800
1120,2880,6000
1250,6410,2340
3600,2720,3680
6143,1454,2403
3980,2980,3040
9160,0,840
3020,2180,4800
1680,5600,2720
3070,3350,3580
3600,1650,4750
6060,1900,2040
1680,5030,3290
3375,3431,3194
5670,3240,1090
3500,5220,1280
900,3900,5200
3850,1500,4650
2870,5500,1630
2420,4440,3140
6160,0,3840
300,6300,3400
2540,5780,1680
8550,300,1150
2350,5100,2550
900,900,8200
0,3000,7000
2680,660,6660
2400,2400,5200
4770,3955,1275
0,0,10000
3200,2640,4160
360,2460,7180
4080,600,5320
3520,1920,4560
9600,400,0
450,2200,7350
4900,1260,3840
2300,2800,4900
3568,2736,3696
2830,2390,4780
450,1440,8110
2760,2400,4840
6160,720,3120
2438,4506,3056
3120,1900,4980
2300,3300,4400
2600,3350,4050
3400,1700,4900
