topo1,topo2,topo3
900,4300,4800
2570,4240,3190
2484,2528,4988
2500,2850,4650
6400,1200,2400
1020,3580,5400
2940,3610,3450
1260,2220,6520
3830,1690,4480
1960,3220,4820
3846,2006,4148
2100,3460,4440
4175,3295,2530
4324,2916,2760
3702,2416,3882
3070,1980,4950
2040,3600,4360
3008,3977,3015
1962,4526,3512
5070,2580,2350
3150,2980,3870
3378,3496,3126
4780,1875,3345
8000,0,2000
1922,3634,4444
1790,1700,6510
2100,4420,3480
2650,450,6900
2354,3774,3872
0,0,10000
0,2320,7680
2046,2946,5008
1744,2592,5664
3762,2284,3954
1811,5100,3089
1300,3240,5460
0,7400,2600
5240,3020,1740
4700,2300,3000
2640,2440,4920
460,940,8600
5546,1816,2638
4008,3788,2204
2800,3520,3680
1334,7048,1618
3426,908,5666
3828,3786,2386
3540,3450,3010
3399,3234,3367
140,6740,3120
1330,2110,6560
4505,3250,2245
2500,2500,5000
1200,2610,6190
7460,1800,740
3640,3620,2740
4252,2444,3304
3702,2610,3688
2740,2120,5140
3759,2928,3313
1280,2710,6010
5220,1596,3184
3600,2600,3800
1886,1726,6388
2950,2500,4550
1940,2760,5300
2000,2160,5840
1275,2630,6095
1700,2720,5580
2776,696,6528
2988,2668,4344
3438,1754,4808
4326,1686,3988
1120,5360,3520
4328,2768,2904
1920,5480,2600
1846,4123,4031
4440,1620,3940
2280,1210,6510
920,1880,7200
3380,3410,3210
1304,2964,5732
1610,4920,3470
2884,1824,5292
4340,2430,3230
2296,2140,5564
3215,2835,3950
2480,4560,2960
2150,4082,3768
1776,3490,4734
760,720,8520
3292,2204,4504
2860,1780,5360
2574,1374,6052
3550,1520,4930
1890,4570,3540
6420,1370,2210
4370,3400,2230
2090,2780,5130
2575,3480,3945
2612,3264,4124
2570,3240,4190
953,1944,7103
1460,1300,7240
1524,4620,3856
2650,5090,2260
800,4150,5050
2638,2796,4566
660,4340,5000
2134,4072,3794
2450,4100,3450
1700,3160,5140
3378,2866,3756
1628,2120,6252
4724,2188,3088
960,1800,7240
2840,1260,5900
3110,2600,4290
2800,2830,4370
4054,3108,2838
2482,3596,3922
1608,3768,4624
1458,2268,6274
2796,2796,4408
3062,3118,3820
2375,4851,2774
1624,1800,6576
520,440,9040
4052,3364,2584
2940,1950,5110
1100,1970,6930
2300,7250,450
2340,3060,4600
2604,4554,2842
1088,6568,2344
240,5040,4720
1170,4320,4510
1750,3000,5250
3080,2312,4608
3300,3845,2855
1468,4946,3586
1640,1000,7360
2440,3320,4240
1800,3640,4560
1180,5040,3780
3310,3990,2700
4100,110,5790
3276,3732,2992
2540,2310,5150
2180,2120,5700
3564,4140,2296
2380,1560,6060
2816,1942,5242
3288,3534,3178
2000,500,7500
600,4560,4840
4350,2670,2980
1640,4560,3800
2176,4490,3334
3664,2568,3768
4100,2990,2910
2460,2700,4840
5372,2676,1952
4176,1248,4576
1888,4364,3748
1060,3680,5260
740,4400,4860
3404,4178,2418
5180,1150,3670
640,1820,7540
2822,1122,6056
3576,2928,3496
5162,2426,2412
6102,1878,2020
2832,3416,3752
3356,2106,4538
3230,2480,4290
2700,3620,3680
2240,1480,6280
3090,3590,3320
2816,3191,3993
1764,2328,5908
2285,2465,5250
940,5840,3220
2800,2320,4880
0,6000,4000
4632,2292,3076
1845,3955,4200
1956,5220,2824
2310,3770,3920
2820,5480,1700
2280,3600,4120
4608,1656,3736
3572,4224,2204
3060,2800,4140
2448,3388,4164
1075,925,8000
4340,1770,3890
4800,2600,2600
4350,2100,3550
3123,1648,5229
3338,3056,3606
2500,3920,3580
3890,2045,4065
1400,600,8000
2638,2648,4714
1800,200,8000
1432,3272,5296
2328,1972,5700
2520,4620,2860
1374,594,8032
4288,2182,3530
2094,3280,4626
4180,3050,2770
3180,1650,5170
4000,1300,4700
2040,960,7000
5080,2320,2600
2200,2624,5176
2482,4320,3198
1400,1740,6860
3200,4300,2500
5100,1840,3060
3050,2390,4560
1852,4724,3424
4568,1496,3936
1660,4560,3780
4102,2232,3666
2116,2846,5038
320,720,8960
2464,1184,6352
3550,3280,3170
2920,2655,4425
1500,2010,6490
1260,3360,5380
2528,4044,3428
5888,2256,1856
3840,3370,2790
2240,3680,4080
3017,2318,4665
3560,3068,3372
2060,4640,3300
3920,1580,4500
2026,1890,6084
2384,528,7088
940,5400,3660
5679,459,3862
2160,160,7680
3052,3464,3484
1380,1960,6660
2300,3180,4520
3170,2675,4155
3676,2176,4148
2920,2340,4740
2222,4116,3662
5200,1080,3720
3900,1620,4480
1680,2220,6100
2236,2496,5268
5284,2236,2480
2315,3925,3760
1336,2860,5804
3850,2730,3420
3400,1560,5040
2500,2900,4600
1060,7800,1140
4364,1406,4230
2400,3040,4560
5944,2408,1648
6714,828,2458
1834,6100,2066
2428,5281,2291
4572,712,4716
1200,200,8600
1926,3166,4908
2340,3510,4150
0,0,10000
7400,1170,1430
7240,360,2400
2700,700,6600
1890,2490,5620
880,960,8160
7500,1080,1420
2968,2912,4120
1076,716,8208
1690,3780,4530
6560,1040,2400
2770,4010,3220
3400,3850,2750
3440,2480,4080
5031,2614,2355
3200,1370,5430
2731,3456,3813
1848,5880,2272
3150,3550,3300
3182,912,5906
3656,2416,3928
2889,1706,5405
2420,2880,4700
4460,2920,2620
2100,3390,4510
2710,3372,3918
1335,3795,4870
3080,3640,3280
4933,1563,3504
1976,2906,5118
2700,4410,2890
4394,2450,3156
348,728,8924
4208,3108,2684
4598,2666,2736
2472,2472,5056
3302,3072,3626
3300,2190,4510
2966,2036,4998
1087,4572,4341
3950,3170,2880
3040,5560,1400
3630,0,6370
3960,3280,2760
2640,3240,4120
2326,2520,5154
4800,2080,3120
1180,620,8200
6080,3440,480
4216,1960,3824
2109,2329,5562
1120,2880,6000
4196,3712,2092
2288,3008,4704
0,980,9020
3608,2168,4224
390,810,8800
2304,2664,5032
2044,3232,4724
2480,0,7520
4212,3380,2408
3536,2718,3746
1220,4020,4760
3996,2648,3356
920,1490,7590
2800,3200,4000
2691,2863,4446
2980,2870,4150
1732,4636,3632
1780,2650,5570
2776,3576,3648
2554,1954,5492
140,740,9120
3252,3362,3386
2829,2619,4552
3380,2350,4270
1508,5138,3354
3308,2744,3948
5374,1982,2644
6677,1596,1727
2386,3916,3698
2434,1860,5706
1760,5070,3170
900,1050,8050
2830,2910,4260
3144,2962,3894
3121,2715,4164
4520,2350,3130
5133,1731,3136
5707,1425,2868
1610,4560,3830
2560,2240,5200
4560,2620,2820
3420,2560,4020
1890,4090,4020
1512,4102,4386
1346,4556,4098
2707,2410,4883
3420,3420,3160
2800,1780,5420
1994,3164,4842
1916,2870,5214
1700,6060,2240
1740,1226,7034
3916,2818,3266
784,2682,6534
2496,3768,3736
4458,1936,3606
2448,2006,5546
744,5579,3677
1884,2384,5732
3360,2340,4300
3476,2918,3606
1926,3174,4900
0,0,10000
2018,4278,3704
2462,5246,2292
2344,4232,3424
3934,2362,3704
2600,2700,4700
2490,1600,5910
2280,2260,5460
2096,1920,5984
4508,1296,4196
2120,3340,4540
2980,2930,4090
1324,2072,6604
3080,2194,4726
2648,2940,4412
1872,2676,5452
1040,4844,4116
2080,3560,4360
2744,4468,2788
2640,1600,5760
1080,1420,7500
1599,5704,2697
1976,3336,4688
2786,2940,4274
2526,5160,2314
3660,2480,3860
2190,0,7810
2224,3924,3852
3312,872,5816
4290,1920,3790
2476,2994,4530
600,6000,3400
2400,2880,4720
870,8900,230
2030,2922,5048
2500,2840,4660
1630,410,7960
1920,4860,3220
2990,5440,1570
4656,2336,3008
2800,4400,2800
1814,6078,2108
4382,3612,2006
1742,2674,5584
5360,1400,3240
1436,4086,4478
1800,3150,5050
2480,2640,4880
1184,4160,4656
1764,2228,6008
2440,450,7110
2580,3420,4000
2475,2320,5205
3564,3932,2504
3160,3200,3640
3614,1314,5072
3848,3464,2688
3770,3280,2950
2400,3220,4380
2452,2532,5016
2922,5010,2068
3360,3520,3120
3040,0,6960
2780,2960,4260
3640,1890,4470
1692,4152,4156
1180,4850,3970
2394,2264,5342
2900,3360,3740
2990,4344,2666
2474,3300,4226
3660,3640,2700
200,360,9440
2626,4922,2452
1960,4080,3960
4340,1690,3970
2763,1803,5434
1800,4600,3600
3984,3022,2994
3890,2390,3720
4994,1228,3778
3668,3140,3192
4490,1766,3744
3626,1222,5152
300,2700,7000
