topo1,topo2,topo3
7500,1500,1000
8100,300,1600
700,0,9300
3600,4100,2300
2000,0,8000
8800,800,400
1000,9000,0
1400,8100,500
2000,3200,4800
4800,1600,3600
3800,2200,4000
1200,2500,6300
8000,0,2000
1220,5100,3680
2370,5220,2410
210,5110,4680
6000,0,4000
3000,1940,5060
1200,800,8000
1600,3500,4900
1000,4000,5000
3000,1200,5800
2500,700,6800
7840,290,1870
4000,0,6000
5860,1080,3060
4160,2980,2860
300,0,9700
3000,0,7000
2100,4100,3800
2168,2171,5661
1000,5000,4000
3800,3700,2500
7000,3000,0
6520,400,3080
900,100,9000
6000,0,4000
1100,3600,5300
4750,3500,1750
5100,3400,1500
3376,2832,3792
5000,0,5000
4800,4000,1200
7000,1200,1800
1950,7350,700
1000,0,9000
3900,4700,1400
600,540,8860
9200,0,800
3680,3320,3000
5400,3000,1600
8400,0,1600
7210,920,1870
10000,0,0
3600,3400,3000
2520,600,6880
1000,0,9000
6930,1690,1380
800,1200,8000
4000,0,6000
1000,4000,5000
0,1000,9000
3600,1600,4800
1600,5200,3200
3040,4200,2760
7430,650,1920
6000,3200,800
3720,2340,3940
4000,0,6000
2010,2330,5660
3200,2880,3920
1700,2490,5810
8000,0,2000
7000,0,3000
4160,800,5040
6000,0,4000
6700,1400,1900
3000,7000,0
3600,1520,4880
3200,3200,3600
5000,450,4550
200,1440,8360
5400,0,4600
6840,720,2440
5000,0,5000
4800,1600,3600
1000,4000,5000
8000,0,2000
2080,270,7650
10000,0,0
4500,900,4600
5800,3600,600
5800,2100,2100
0,0,10000
1690,5470,2840
2400,900,6700
5820,1380,2800
3960,1400,4640
4400,200,5400
4160,3240,2600
6600,1600,1800
3600,700,5700
2970,5260,1770
2360,2940,4700
3550,2800,3650
6880,0,3120
2400,200,7400
6000,0,4000
2000,0,8000
2000,6400,1600
2890,1050,6060
5030,3210,1760
3240,200,6560
4200,800,5000
3100,1200,5700
7600,0,2400
10000,0,0
1600,3200,5200
1000,0,9000
800,9000,200
2040,520,7440
2930,1100,5970
0,9000,1000
3510,2100,4390
7000,1000,2000
1400,8420,180
6200,1200,2600
3040,2760,4200
2200,1700,6100
3840,4060,2100
1000,0,9000
5800,3600,600
4500,1800,3700
1000,100,8900
2380,4260,3360
1560,1000,7440
5130,2500,2370
7600,0,2400
8500,1500,0
2000,3200,4800
4560,2120,3320
2000,0,8000
2520,100,7380
2250,5580,2170
2440,180,7380
5650,1370,2980
4280,1900,3820
7500,400,2100
6640,1600,1760
6440,1720,1840
3130,900,5970
4900,900,4200
2000,0,8000
5880,1200,2920
5000,0,5000
7600,2400,0
1960,3900,4140
4520,2000,3480
3360,860,5780
2000,0,8000
5360,820,3820
2000,5300,2700
3390,900,5710
4936,2052,3012
1760,2560,5680
4960,600,4440
1700,1500,6800
2950,6150,900
7000,2000,1000
2700,700,6600
8000,0,2000
7120,1080,1800
4400,3000,2600
1460,3760,4780
4830,1470,3700
5000,0,5000
7920,800,1280
1200,0,8800
1450,4950,3600
3000,0,7000
1600,0,8400
2120,2400,5480
2400,1800,5800
4000,0,6000
1700,2070,6230
2000,5000,3000
3180,2220,4600
4840,3810,1350
5000,0,5000
5136,1792,3072
3520,2720,3760
10000,0,0
7500,1000,1500
3340,300,6360
4000,0,6000
3890,2530,3580
3400,1920,4680
4200,4200,1600
3000,0,7000
7500,100,2400
7000,0,3000
2400,0,7600
800,4560,4640
5000,2200,2800
2480,6160,1360
6990,1100,1910
6000,3000,1000
3400,1200,5400
4000,0,6000
1600,6400,2000
600,1620,7780
