topo1,topo2,topo3
0,0,10000
0,0,10000
0,2000,8000
0,0,10000
1000,1000,8000
0,0,10000
3000,0,7000
0,0,10000
1400,600,8000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,5000,5000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
2000,0,8000
0,9000,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1800,1200,7000
0,0,10000
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2000,0,8000
0,0,10000
8000,0,2000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,4000,6000
720,3280,6000
0,0,10000
0,0,10000
2400,2400,5200
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
0,0,10000
10000,0,0
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
400,5400,4200
2000,0,8000
0,0,10000
0,0,10000
2700,300,7000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
1000,0,9000
5100,1500,3400
0,0,10000
600,3600,5800
600,3600,5800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
5000,0,5000
2000,3000,5000
0,0,10000
3000,2000,5000
0,0,10000
0,0,10000
6400,400,3200
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
800,4800,4400
0,0,10000
0,0,10000
2000,0,8000
3600,600,5800
0,0,10000
0,0,10000
6000,0,4000
0,0,10000
0,0,10000
0,10000,0
7000,0,3000
0,0,10000
1600,1600,6800
0,0,10000
0,0,10000
500,4500,5000
2100,0,7900
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
0,0,10000
4800,1200,4000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
3200,4800,2000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
1200,3200,5600
1000,0,9000
0,0,10000
0,0,10000
10000,0,0
0,0,10000
0,0,10000
6000,0,4000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
2400,2400,5200
0,0,10000
0,0,10000
0,0,10000
4600,1600,3800
0,0,10000
0,0,10000
0,3000,7000
0,0,10000
10000,0,0
0,0,10000
800,4800,4400
0,1000,9000
600,5600,3800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,3000,7000
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
1500,3500,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
6000,0,4000
5400,400,4200
0,0,10000
10000,0,0
0,0,10000
5000,0,5000
0,0,10000
500,4500,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2000,3000,5000
10000,0,0
7000,0,3000
0,0,10000
1050,1050,7900
0,0,10000
8000,0,2000
0,0,10000
0,0,10000
0,600,9400
0,0,10000
0,0,10000
0,0,10000
2000,0,8000
300,6300,3400
0,4000,6000
1000,0,9000
0,3000,7000
8000,0,2000
0,7000,3000
0,0,10000
1250,1250,7500
3440,2400,4160
10000,0,0
0,0,10000
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
800,4800,4400
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,800,9200
1200,4200,4600
0,0,10000
10000,0,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2700,700,6600
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3200,1200,5600
0,6000,4000
0,0,10000
5400,400,4200
4800,800,4400
180,3780,6040
0,0,10000
0,0,10000
0,0,10000
0,0,10000
5000,0,5000
0,0,10000
5400,400,4200
0,0,10000
2800,1800,5400
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
6400,400,3200
2000,0,8000
0,0,10000
0,0,10000
0,5000,5000
0,0,10000
0,0,10000
10000,0,0
0,4800,5200
10000,0,0
0,0,10000
0,0,10000
1200,4200,4600
0,0,10000
0,2000,8000
4000,0,6000
4000,0,6000
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,1000,9000
0,0,10000
0,10000,0
3600,600,5800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
9000,0,1000
500,500,9000
3600,1600,4800
0,3000,7000
0,0,10000
0,7000,3000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
8000,0,2000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,4200,2800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
800,3200,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7900,2100
600,540,8860
0,0,10000
0,0,10000
0,0,10000
0,2000,8000
4000,0,6000
0,1000,9000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1200,0,8800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
800,1800,7400
0,0,10000
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
120,7360,2520
0,0,10000
0,0,10000
10000,0,0
0,0,10000
0,0,10000
600,200,9200
0,0,10000
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
0,0,10000
7000,0,3000
0,0,10000
3000,0,7000
0,0,10000
0,7000,3000
2000,3000,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1000,4000,5000
0,0,10000
0,0,10000
0,0,10000
9000,0,1000
0,5000,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
9000,0,1000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
560,1260,8180
0,5000,5000
0,0,10000
0,4000,6000
4500,500,5000
3000,0,7000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
7000,0,3000
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
600,0,9400
0,10000,0
0,0,10000
0,3000,7000
0,0,10000
0,0,10000
0,10000,0
7000,0,3000
1000,1600,7400
0,0,10000
0,0,10000
0,0,10000
800,1800,7400
0,0,10000
0,0,10000
0,0,10000
0,0,10000
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4900,900,4200
0,0,10000
0,0,10000
0,500,9500
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
0,6000,4000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
600,0,9400
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1500,3500,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1500,3500,5000
0,0,10000
0,0,10000
200,0,9800
720,1280,8000
0,0,10000
1400,0,8600
6000,0,4000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
6000,0,4000
0,3000,7000
0,0,10000
0,0,10000
0,0,10000
2100,0,7900
0,0,10000
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3600,600,5800
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,3000,7000
3000,0,7000
0,0,10000
0,0,10000
2900,2100,5000
0,0,10000
6000,0,4000
0,0,10000
0,0,10000
0,0,10000
0,8000,2000
0,0,10000
4200,0,5800
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,8000,2000
0,5000,5000
0,4000,6000
0,0,10000
0,0,10000
2100,7000,900
0,0,10000
4000,5400,600
0,0,10000
2000,0,8000
0,0,10000
6000,0,4000
0,0,10000
0,0,10000
0,0,10000
0,3200,6800
2000,8000,0
0,5000,5000
10000,0,0
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
500,4500,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
7200,200,2600
0,1600,8400
0,0,10000
1330,0,8670
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
0,7000,3000
1000,4000,5000
1500,3500,5000
0,0,10000
8000,0,2000
2100,2900,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
5000,0,5000
500,4500,5000
0,0,10000
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
700,2700,6600
0,0,10000
0,0,10000
0,3600,6400
0,0,10000
5000,0,5000
2000,2000,6000
0,0,10000
0,0,10000
0,0,10000
2100,2900,5000
0,0,10000
2800,1800,5400
8000,0,2000
0,0,10000
5000,0,5000
0,0,10000
0,0,10000
0,1000,9000
0,0,10000
8000,0,2000
0,0,10000
1000,1000,8000
0,6000,4000
0,3000,7000
0,0,10000
400,100,9500
0,9000,1000
0,0,10000
1000,0,9000
0,5000,5000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
2000,3000,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
100,8100,1800
0,0,10000
0,2500,7500
0,0,10000
0,5000,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
8000,0,2000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,400,9600
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
5000,0,5000
600,5600,3800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1800,2800,5400
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1000,0,9000
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
800,2000,7200
0,6000,4000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
10000,0,0
4000,1800,4200
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
8000,0,2000
1200,3200,5600
0,0,10000
200,800,9000
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
0,0,10000
0,0,10000
8000,0,2000
0,0,10000
0,0,10000
3200,800,6000
0,0,10000
7000,3000,0
1200,1800,7000
5000,0,5000
0,0,10000
0,1000,9000
0,0,10000
6000,0,4000
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
0,3000,7000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,10000,0
0,0,10000
0,0,10000
0,10000,0
2400,2400,5200
0,0,10000
2500,2500,5000
0,0,10000
3600,600,5800
0,1000,9000
0,2500,7500
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,6000,4000
0,0,10000
6000,0,4000
0,0,10000
400,6400,3200
0,0,10000
2000,0,8000
0,0,10000
