topo1,topo2,topo3
0,0,10000
0,0,10000
0,5000,5000
8000,0,2000
2100,0,7900
8200,800,1000
2000,5600,2400
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
3680,320,6000
0,0,10000
5000,0,5000
9000,0,1000
0,4000,6000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,10000,0
0,8000,2000
0,0,10000
0,0,10000
0,9000,1000
5000,0,5000
0,0,10000
0,0,10000
2000,0,8000
6000,0,4000
8000,0,2000
0,0,10000
0,0,10000
1400,2400,6200
0,2000,8000
0,0,10000
0,0,10000
3000,0,7000
0,8000,2000
6000,0,4000
0,0,10000
0,0,10000
0,0,10000
200,7200,2600
800,1800,7400
9000,0,1000
5000,0,5000
3000,0,7000
0,0,10000
4800,800,4400
0,0,10000
3600,600,5800
0,0,10000
0,3000,7000
0,0,10000
1000,0,9000
0,0,10000
10000,0,0
0,1000,9000
700,2700,6600
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
1680,480,7840
0,0,10000
4000,0,6000
0,0,10000
3700,0,6300
4500,500,5000
7000,0,3000
0,0,10000
10000,0,0
0,2000,8000
0,0,10000
0,1000,9000
0,0,10000
7000,0,3000
4000,6000,0
4200,0,5800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1000,0,9000
600,3600,5800
0,0,10000
4000,0,6000
3000,5320,1680
0,0,10000
0,0,10000
0,0,10000
840,540,8620
0,0,10000
3000,2000,5000
1000,4000,5000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
300,7000,2700
0,0,10000
0,0,10000
1600,1600,6800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
9000,0,1000
2800,1200,6000
0,0,10000
4000,0,6000
6300,2700,1000
9000,0,1000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
4200,2800,3000
1000,0,9000
600,8000,1400
0,0,10000
0,0,10000
0,0,10000
1400,2400,6200
0,0,10000
1000,0,9000
0,0,10000
0,0,10000
2000,2000,6000
2400,2400,5200
10000,0,0
1200,3200,5600
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
1200,4200,4600
3000,0,7000
600,5600,3800
0,0,10000
0,0,10000
8000,0,2000
2000,3000,5000
0,3000,7000
0,3000,7000
0,3000,7000
0,0,10000
8000,0,2000
8000,0,2000
0,0,10000
1000,0,9000
0,0,10000
6400,400,3200
0,0,10000
0,0,10000
0,0,10000
0,3000,7000
0,0,10000
1500,3500,5000
0,0,10000
0,0,10000
8000,0,2000
0,8000,2000
0,4000,6000
7000,0,3000
0,10000,0
2000,0,8000
0,0,10000
0,8000,2000
0,3000,7000
0,10000,0
10000,0,0
0,0,10000
0,0,10000
0,0,10000
8000,0,2000
10000,0,0
2400,400,7200
0,0,10000
0,4000,6000
0,2000,8000
0,10000,0
0,0,10000
1000,0,9000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
9000,0,1000
0,0,10000
7000,0,3000
0,0,10000
9000,0,1000
2000,0,8000
6000,0,4000
900,900,8200
10000,0,0
0,0,10000
0,0,10000
0,4000,6000
0,2000,8000
0,3000,7000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
8000,0,2000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
9000,0,1000
1000,0,9000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1400,2100,6500
0,1500,8500
0,0,10000
0,0,10000
0,0,10000
6000,0,4000
5000,1500,3500
9000,0,1000
0,0,10000
0,0,10000
2800,1800,5400
8000,0,2000
0,0,10000
0,6000,4000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
9000,0,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1600,1600,6800
0,0,10000
0,0,10000
0,3000,7000
300,6300,3400
0,0,10000
4800,800,4400
0,0,10000
10000,0,0
0,0,10000
1000,4000,5000
0,0,10000
0,0,10000
0,0,10000
1120,2520,6360
0,0,10000
0,0,10000
0,0,10000
1200,280,8520
0,5000,5000
10000,0,0
0,0,10000
0,8000,2000
3000,0,7000
8000,0,2000
0,0,10000
0,0,10000
0,0,10000
0,6300,3700
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,3000,7000
0,0,10000
10000,0,0
0,1000,9000
2000,3000,5000
7200,800,2000
1500,5000,3500
0,0,10000
10000,0,0
0,0,10000
3800,1500,4700
3500,1500,5000
0,5000,5000
0,9000,1000
0,0,10000
2000,0,8000
500,500,9000
0,0,10000
0,0,10000
0,0,10000
1600,4600,3800
2000,0,8000
9000,0,1000
0,9200,800
0,10000,0
7000,0,3000
0,0,10000
2000,3000,5000
10000,0,0
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,4000,6000
3600,600,5800
5000,0,5000
0,0,10000
3520,4080,2400
8000,0,2000
0,0,10000
0,5000,5000
10000,0,0
0,0,10000
0,0,10000
0,0,10000
800,4500,4700
5000,0,5000
9000,0,1000
0,0,10000
6500,600,2900
8000,0,2000
0,3000,7000
0,0,10000
0,0,10000
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
6000,0,4000
0,0,10000
0,1000,9000
8000,0,2000
500,4700,4800
4000,4000,2000
5000,500,4500
4800,800,4400
600,5600,3800
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
5400,0,4600
0,0,10000
0,0,10000
0,0,10000
0,1000,9000
0,0,10000
0,5000,5000
0,10000,0
0,7000,3000
0,2000,8000
1000,0,9000
0,0,10000
3100,1400,5500
0,3000,7000
0,0,10000
8000,0,2000
5472,232,4296
3600,600,5800
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
600,5600,3800
0,0,10000
10000,0,0
0,0,10000
9000,0,1000
3000,0,7000
0,0,10000
0,0,10000
0,2000,8000
980,3000,6020
0,0,10000
0,0,10000
5000,0,5000
0,0,10000
0,0,10000
0,5000,5000
0,10000,0
6600,1400,2000
0,7000,3000
0,0,10000
0,0,10000
4200,1200,4600
0,1000,9000
0,3000,7000
8000,0,2000
10000,0,0
400,5400,4200
5000,0,5000
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
9000,0,1000
0,0,10000
300,700,9000
2000,0,8000
1000,0,9000
6300,300,3400
0,0,10000
5000,0,5000
5000,0,5000
0,0,10000
8000,0,2000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
10000,0,0
400,1600,8000
0,0,10000
0,1000,9000
0,0,10000
400,5400,4200
0,0,10000
6000,0,4000
2000,0,8000
0,0,10000
7000,0,3000
0,0,10000
0,0,10000
9000,0,1000
0,0,10000
0,3000,7000
2400,2400,5200
0,0,10000
0,1000,9000
6300,300,3400
8000,400,1600
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
1800,3000,5200
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
5000,0,5000
3000,0,7000
3000,0,7000
0,0,10000
2000,0,8000
1000,0,9000
5000,0,5000
0,0,10000
0,0,10000
520,880,8600
0,0,10000
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
4500,500,5000
0,0,10000
4000,0,6000
0,0,10000
8000,0,2000
0,5000,5000
1000,0,9000
2000,0,8000
10000,0,0
0,0,10000
200,7200,2600
0,0,10000
8000,0,2000
9000,200,800
0,0,10000
10000,0,0
4000,6000,0
0,0,10000
0,0,10000
3000,0,7000
500,4500,5000
0,0,10000
0,0,10000
0,0,10000
0,3000,7000
3500,1500,5000
0,0,10000
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
0,0,10000
1000,4000,5000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
2000,8000,0
0,0,10000
0,6000,4000
0,0,10000
500,0,9500
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,4000,6000
0,10000,0
0,0,10000
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
0,8000,2000
0,0,10000
0,6000,4000
4000,0,6000
0,0,10000
3500,1500,5000
0,4000,6000
700,2700,6600
0,0,10000
900,900,8200
0,0,10000
1000,0,9000
5000,0,5000
0,6000,4000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,1000,9000
0,6000,4000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7300,2700
1800,1000,7200
5400,400,4200
4800,2000,3200
0,0,10000
10000,0,0
0,4000,6000
0,0,10000
1600,1600,6800
1400,600,8000
0,0,10000
0,0,10000
0,1000,9000
0,0,10000
0,6000,4000
2400,2400,5200
0,0,10000
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
800,9000,200
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
1000,0,9000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,3000,7000
0,0,10000
0,0,10000
0,0,10000
2100,4900,3000
1000,0,9000
5400,4000,600
0,1000,9000
7000,2100,900
0,0,10000
0,0,10000
0,0,10000
0,0,10000
7000,0,3000
0,2000,8000
0,0,10000
0,0,10000
1500,1000,7500
0,0,10000
2000,0,8000
0,0,10000
0,0,10000
5600,600,3800
0,0,10000
0,10000,0
2000,8000,0
0,0,10000
0,0,10000
0,0,10000
2640,2800,4560
0,0,10000
10000,0,0
0,0,10000
6500,2000,1500
0,1000,9000
0,0,10000
3000,0,7000
10000,0,0
600,5600,3800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
1400,2400,6200
0,0,10000
0,10000,0
0,10000,0
0,3000,7000
7000,0,3000
0,10000,0
0,0,10000
600,3600,5800
0,4000,6000
400,5400,4200
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,1000,9000
1000,0,9000
0,0,10000
10000,0,0
800,4800,4400
400,5400,4200
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
2000,3000,5000
1000,0,9000
1000,8000,1000
0,0,10000
0,0,10000
100,900,9000
3000,7000,0
0,0,10000
9000,0,1000
2000,0,8000
3000,0,7000
0,0,10000
0,1000,9000
3000,0,7000
0,9000,1000
0,9000,1000
4200,1200,4600
0,9000,1000
1800,800,7400
0,0,10000
0,0,10000
5500,0,4500
0,4000,6000
0,0,10000
0,10000,0
0,1000,9000
4000,1000,5000
10000,0,0
0,8000,2000
0,0,10000
400,5400,4200
4200,1800,4000
0,0,10000
6000,0,4000
0,0,10000
0,3000,7000
0,0,10000
700,2700,6600
0,0,10000
0,0,10000
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
4500,500,5000
9000,0,1000
6200,1400,2400
100,8100,1800
3400,1600,5000
4000,0,6000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
10000,0,0
1000,0,9000
0,0,10000
5000,5000,0
0,0,10000
0,0,10000
0,0,10000
0,2400,7600
10000,0,0
0,0,10000
0,8000,2000
9100,0,900
0,3000,7000
0,6000,4000
4800,800,4400
5000,0,5000
0,0,10000
0,0,10000
6000,0,4000
0,10000,0
0,0,10000
1000,0,9000
8000,0,2000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
3000,0,7000
10000,0,0
3000,0,7000
6400,1600,2000
1000,4000,5000
0,0,10000
0,0,10000
4400,0,5600
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,10000,0
0,2000,8000
0,0,10000
0,9000,1000
9000,0,1000
0,0,10000
9000,0,1000
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
0,0,10000
0,4000,6000
0,0,10000
0,7000,3000
0,0,10000
0,3000,7000
0,0,10000
1000,0,9000
1800,2800,5400
7000,0,3000
0,10000,0
6300,300,3400
7600,2400,0
0,0,10000
0,0,10000
500,4500,5000
0,0,10000
0,0,10000
0,0,10000
6000,0,4000
0,0,10000
0,0,10000
0,0,10000
2000,0,8000
2700,700,6600
6000,0,4000
7000,2400,600
2400,2400,5200
1000,0,9000
0,0,10000
0,0,10000
1400,2400,6200
3600,600,5800
8000,0,2000
0,0,10000
