topo1,topo3,topo2
0.8204,0.0668,0.1128
0.7834,0.1355,0.0811
0.7824,0.1357,0.0819
0.7496,0.1128,0.1376
0.7134,0.1076,0.179
0.7133,0.1271,0.1596
0.7093,0.1926,0.0981
0.7954,0.0915,0.1131
0.7827,0.1038,0.1135
0.7059,0.1162,0.1779
1,0,0
0.709,0.1772,0.1138
0.7177,0.1775,0.1048
0.8185,0.0376,0.1439
0.7543,0.1522,0.0935
0.7323,0.1167,0.151
0.8397,0.0871,0.0732
0.722,0.1641,0.1139
0.764,0.0946,0.1414
1,0,0
1,0,0
0.9668,0.0089,0.0243
0.9549,0.026,0.0191
0.9535,0.0153,0.0312
0.9389,0.0324,0.0287
0.9326,0.0264,0.041
0.9156,0.0409,0.0435
0.9116,0.0401,0.0483
0.908,0.0474,0.0446
0.8939,0.066,0.0401
0.8885,0.0472,0.0643
0.8631,0.0436,0.0933
0.8266,0.0769,0.0965
0.8227,0.0935,0.0838
0.8218,0.1099,0.0683
0.8012,0.087,0.1118
0.7659,0.1258,0.1083
0.7581,0.1074,0.1345
0.743,0.1705,0.0865
0.7011,0.0526,0.2463
0.7408,0.1015,0.1577
0.7232,0.0817,0.1951
0.9412,0.0157,0.0431
0.94,0.0273,0.0327
0.9345,0.052,0.0135
0.9106,0.0353,0.0541
0.9052,0.0714,0.0234
0.8872,0.0727,0.0401
0.8577,0.0567,0.0856
0.8514,0.0639,0.0847
0.8165,0.1273,0.0562
0.7981,0.0463,0.1556
0.7899,0.1262,0.0839
0.7828,0.1439,0.0733
0.7811,0.1269,0.092
0.7716,0.1119,0.1165
0.7427,0.0798,0.1775
0.9623,0.0294,0.0083
0.9195,0.0582,0.0223
0.9154,0.0325,0.0521
0.8647,0.0489,0.0864
0.719,0.1604,0.1206
0.7071,0.0786,0.2143
0.8279,0.1533,0.0188
0.771,0.1512,0.0778
0.7663,0.1014,0.1323
0.7361,0.1743,0.0896
0.9673,0.0264,0.0063
0.8827,0.1145,0.0028
0.7317,0.138,0.1303
0.866,0.0616,0.0724
0.866,0.0592,0.0748
0.7172,0.134,0.1488
0.7521,0.0967,0.1512
0.7336,0.1321,0.1343
0.7024,0.136,0.1616
0.9829,0.0171,0
1,0,0
1,0,0
1,0,0
1,0,0
0.9813,0.0088,0.0099
0.852,0.0791,0.0689
0.7148,0.2657,0.0195
0.7106,0.2136,0.0758
0.7036,0.1977,0.0987
0.7798,0.0699,0.1503
0.8213,0.056,0.1227
0.7686,0.1322,0.0992
0.7927,0.1654,0.0419
0.7361,0.1583,0.1056
0.9279,0.0403,0.0318
0.8657,0.083,0.0513
0.7034,0.2244,0.0722
0.9715,0.0179,0.0106
0.9554,0.0139,0.0307
0.7997,0.1348,0.0655
0.8803,0.041,0.0787
0.7236,0.1993,0.0771
0.8004,0.119,0.0806
0.7616,0.1766,0.0618
0.7393,0.1525,0.1082
0.7201,0.1925,0.0874
0.9826,0.0174,0
0.9483,0.0156,0.0361
0.9173,0.0481,0.0346
0.7643,0.1415,0.0942
0.712,0.1682,0.1198
0.8207,0.1357,0.0436
0.787,0.0937,0.1193
0.7158,0.0677,0.2165
0.8172,0.1215,0.0613
0.731,0.2256,0.0434
0.8086,0.0846,0.1068
0.7991,0.1198,0.0811
0.7566,0.1011,0.1423
0.7821,0.0885,0.1294
0.7921,0.1361,0.0718
0.727,0.1401,0.1329
0.7153,0.1697,0.115
0.7353,0.1326,0.1321
0.7251,0.133,0.1419
0.9135,0.0459,0.0406
0.8869,0.0682,0.0449
0.8517,0.1233,0.025
0.7297,0.186,0.0843
0.898,0.0575,0.0445
0.8609,0.1058,0.0333
0.7711,0.086,0.1429
0.7619,0.104,0.1341
0.7303,0.073,0.1967
0.8284,0.0977,0.0739
0.8155,0.0837,0.1008
0.7544,0.1362,0.1094
0.7193,0.2035,0.0772
0.8209,0.1498,0.0293
0.8184,0.1101,0.0715
0.7663,0.1179,0.1158
0.7604,0.086,0.1536
0.7565,0.1136,0.1299
0.7434,0.2224,0.0342
0.7294,0.1497,0.1209
0.7033,0.1212,0.1755
0.745,0.1083,0.1467
0.762,0.1793,0.0587
0.9957,0.0043,0
0.9919,0.0081,0
0.8612,0.0596,0.0792
1,0,0
1,0,0
1,0,0
0.9938,0.0062,0
0.9856,0.0144,0
0.9634,0.0107,0.0259
0.9546,0.0199,0.0255
0.7837,0.1304,0.0859
0.7579,0.1747,0.0674
0.7195,0.1442,0.1363
0.7585,0.1948,0.0467
0.8284,0.1095,0.0621
0.7553,0.0783,0.1664
0.7966,0.1055,0.0979
0.8364,0.0547,0.1089
0.7322,0.1276,0.1402
0.8147,0.1514,0.0339
0.7232,0.1209,0.1559
0.7726,0.1641,0.0633
0.7012,0.1742,0.1246
0.8555,0.063,0.0815
0.8544,0.065,0.0806
0.8436,0.1057,0.0507
0.8039,0.1168,0.0793
0.7892,0.083,0.1278
0.739,0.1286,0.1324
0.7323,0.0225,0.2452
0.7262,0.1123,0.1615
0.8798,0.0587,0.0615
0.7911,0.0841,0.1248
0.7127,0.1613,0.126
0.7354,0.1444,0.1202
0.7086,0.1761,0.1153
0.8071,0.069,0.1239
0.814,0.1322,0.0538
0.7519,0.1925,0.0556
0.7682,0.1097,0.1221
0.7644,0.1346,0.101
0.8148,0.0866,0.0986
0.7879,0.1225,0.0896
0.7733,0.063,0.1637
0.766,0.1158,0.1182
0.7242,0.1041,0.1717
0.7229,0.0663,0.2108
0.707,0.1374,0.1556
0.8029,0.0982,0.0989
0.8176,0.0508,0.1316
0.7161,0.1497,0.1342
0.7779,0.1262,0.0959
0.8296,0.065,0.1054
0.816,0.083,0.101
0.7925,0.0945,0.113
0.7724,0.0997,0.1279
0.7312,0.1197,0.1491
0.8353,0.0711,0.0936
0.7284,0.0912,0.1804
0.7544,0.1441,0.1015
0.7224,0.1262,0.1514
0.7405,0.1688,0.0907
0.8623,0.0619,0.0758
0.7896,0.1789,0.0315
0.7287,0.2592,0.0121
0.7079,0.1093,0.1828
0.8626,0.0847,0.0527
0.7748,0.1102,0.115
0.7715,0.1078,0.1207
0.701,0.1258,0.1732
0.8235,0.0908,0.0857
0.8637,0.0817,0.0546
0.7919,0.0744,0.1337
0.8086,0.0426,0.1488
0.789,0.0882,0.1228
0.7802,0.0993,0.1205
0.7258,0.1348,0.1394
0.8329,0.1097,0.0574
0.7111,0.1584,0.1305
0.7736,0.1092,0.1172
0.7858,0.131,0.0832
0.8064,0.1298,0.0638
0.7038,0.1874,0.1088
0.7371,0.1769,0.086
0.7008,0.1513,0.1479
0.7325,0.1395,0.128
0.8984,0.0181,0.0835
0.9908,0.0092,0
0.9895,0.0105,0
0.7377,0.0822,0.1801
0.7116,0.1829,0.1055
0.7335,0.0466,0.2199
0.7189,0.1065,0.1746
0.7122,0.1595,0.1283
0.7112,0.0781,0.2107
0.7057,0.1175,0.1768
0.8017,0.1244,0.0739
0.7597,0.13,0.1103
0.7523,0.1463,0.1014
0.7301,0.1454,0.1245
0.7006,0.1441,0.1553
0.895,0.0772,0.0278
0.76,0.1268,0.1132
0.8264,0.1078,0.0658
0.7443,0.127,0.1287
0.7333,0.2455,0.0212
0.909,0.0477,0.0433
0.7573,0.1249,0.1178
0.706,0.1031,0.1909
0.8962,0.088,0.0158
0.8342,0.0807,0.0851
0.7504,0.17,0.0796
0.8658,0.0746,0.0596
0.791,0.1221,0.0869
0.993,0.0034,0.0036
0.9301,0.0599,0.01
0.7941,0.172,0.0339
0.7037,0.0882,0.2081
0.966,0.0262,0.0078
0.9017,0.009,0.0893
0.9009,0.0645,0.0346
0.8116,0.0715,0.1169
0.7114,0.173,0.1156
0.888,0.0573,0.0547
0.8807,0.0447,0.0746
0.7429,0.1204,0.1367
0.7156,0.1424,0.142
1,0,0
1,0,0
1,0,0
0.9054,0.0685,0.0261
0.7618,0.1436,0.0946
0.738,0.0609,0.2011
0.7534,0.091,0.1556
0.7915,0.0856,0.1229
0.7619,0.1243,0.1138
0.7154,0.1042,0.1804
0.914,0.045,0.041
0.7036,0.12,0.1764
0.9217,0.0464,0.0319
0.7307,0.127,0.1423
0.9784,0.0197,0.0019
0.8128,0.0657,0.1215
0.7064,0.1538,0.1398
0.9666,0.0169,0.0165
0.7677,0.231,0.0013
0.9123,0.0731,0.0146
0.7623,0.149,0.0887
0.749,0.1286,0.1224
0.7486,0.1941,0.0573
0.7102,0.1797,0.1101
0.7343,0.1516,0.1141
0.7414,0.1905,0.0681
0.8165,0.0913,0.0922
0.7717,0.1665,0.0618
0.7221,0.1825,0.0954
0.8924,0.0637,0.0439
0.7866,0.1828,0.0306
0.7033,0.0968,0.1999
0.7077,0.154,0.1383
0.8693,0.0701,0.0606
0.7762,0.0942,0.1296
0.7355,0.1609,0.1036
0.7418,0.1313,0.1269
0.7668,0.1341,0.0991
0.7288,0.1101,0.1611
0.7749,0.1069,0.1182
0.7265,0.0771,0.1964
0.742,0.1402,0.1178
1,0,0
0.8661,0.0652,0.0687
0.7816,0.1208,0.0976
0.7629,0.1209,0.1162
0.7259,0.1631,0.111
0.712,0.1164,0.1716
0.738,0.1801,0.0819
0.7205,0.2004,0.0791
0.7611,0.0247,0.2142
0.711,0.2628,0.0262
0.7684,0.0494,0.1822
0.9084,0.0473,0.0443
0.7403,0.0938,0.1659
1,0,0
0.9996,0,4.00E-04
0.9995,5.00E-04,0
0.9962,0.0026,0.0012
0.9911,0.0077,0.0012
0.9206,0.0341,0.0453
0.8911,0.0623,0.0466
0.824,0.0659,0.1101
0.8132,0.095,0.0918
0.8899,0.0823,0.0278
0.8529,0.0679,0.0792
0.7009,0.1406,0.1585
0.7302,0.166,0.1038
0.7096,0.1163,0.1741
0.8272,0.1689,0.0039
0.7114,0.1027,0.1859
1,0,0
1,0,0
0.776,0.0902,0.1338
0.9593,0.0306,0.0101
0.7565,0.1153,0.1282
0.7145,0.1971,0.0884
0.9788,0.0092,0.012
0.9605,0.0297,0.0098
