topo1,topo2,topo3
3000,0,7000
3300,2500,4200
1600,1600,6800
0,0,10000
0,4000,6000
0,3700,6300
0,0,10000
500,4500,5000
10000,0,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4020,1960,4020
0,3000,7000
0,0,10000
400,3300,6300
0,0,10000
0,0,10000
0,7000,3000
0,4000,6000
0,0,10000
0,0,10000
3040,4480,2480
0,0,10000
9000,0,1000
0,0,10000
0,0,10000
0,5000,5000
7000,0,3000
0,0,10000
0,0,10000
5400,400,4200
600,3600,5800
0,3000,7000
0,3000,7000
1800,800,7400
7000,0,3000
9000,0,1000
0,0,10000
7000,0,3000
0,0,10000
0,200,9800
2880,1080,6040
0,0,10000
0,0,10000
3400,2000,4600
0,10000,0
10000,0,0
0,8000,2000
0,0,10000
0,0,10000
1600,8000,400
4800,800,4400
10000,0,0
400,1920,7680
5400,4000,600
2100,2100,5800
0,0,10000
0,0,10000
0,0,10000
600,3600,5800
0,0,10000
800,0,9200
0,7000,3000
0,5400,4600
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
1200,3200,5600
0,0,10000
2000,0,8000
0,0,10000
5600,600,3800
0,0,10000
600,5600,3800
5400,3600,1000
7000,0,3000
0,0,10000
0,0,10000
0,5100,4900
0,0,10000
0,0,10000
2000,4560,3440
0,0,10000
1200,3200,5600
0,0,10000
0,0,10000
10000,0,0
0,0,10000
4800,0,5200
0,0,10000
0,0,10000
0,0,10000
280,180,9540
0,0,10000
0,0,10000
0,0,10000
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
700,6200,3100
0,1000,9000
3100,1900,5000
10000,0,0
6000,3200,800
10000,0,0
0,0,10000
0,2400,7600
0,0,10000
6000,0,4000
0,0,10000
0,9000,1000
4000,0,6000
0,4000,6000
2100,4900,3000
3000,0,7000
0,0,10000
3520,1380,5100
0,0,10000
3400,2200,4400
1200,3200,5600
2400,1400,6200
0,0,10000
0,0,10000
6000,0,4000
0,0,10000
4500,4500,1000
5000,0,5000
0,6000,4000
0,0,10000
7000,0,3000
100,900,9000
0,9000,1000
6400,0,3600
0,0,10000
5000,0,5000
4200,1800,4000
0,7000,3000
0,0,10000
800,9000,200
0,0,10000
2000,2000,6000
0,0,10000
2000,0,8000
800,4800,4400
0,0,10000
0,0,10000
8000,2000,0
3700,3700,2600
2700,700,6600
0,500,9500
4800,800,4400
3000,6000,1000
700,2700,6600
1000,4000,5000
1000,0,9000
0,0,10000
840,0,9160
0,0,10000
10000,0,0
0,0,10000
8000,0,2000
0,0,10000
9000,0,1000
0,0,10000
0,0,10000
9000,0,1000
0,1800,8200
3000,0,7000
0,0,10000
0,0,10000
0,6000,4000
2100,4900,3000
10000,0,0
0,0,10000
0,1000,9000
0,0,10000
0,0,10000
0,0,10000
1200,4400,4400
0,6000,4000
700,2700,6600
0,5000,5000
0,0,10000
1000,0,9000
0,0,10000
7000,0,3000
0,4500,5500
0,0,10000
0,0,10000
0,0,10000
5000,3500,1500
0,3500,6500
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,3000,7000
0,2000,8000
0,0,10000
1800,1200,7000
4600,1760,3640
5400,600,4000
1800,2800,5400
0,0,10000
0,7000,3000
0,0,10000
6660,380,2960
0,0,10000
400,600,9000
6300,300,3400
0,0,10000
0,0,10000
500,5000,4500
4000,0,6000
3600,2600,3800
0,0,10000
3000,0,7000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
3500,0,6500
5000,0,5000
1800,4320,3880
0,9000,1000
0,0,10000
0,0,10000
9000,0,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,4000,6000
0,0,10000
0,0,10000
0,1000,9000
4000,6000,0
0,6000,4000
3500,1500,5000
0,3000,7000
0,900,9100
0,0,10000
0,0,10000
3000,7000,0
0,0,10000
4900,900,4200
9000,0,1000
0,4900,5100
3000,0,7000
0,0,10000
0,0,10000
1200,4200,4600
3000,0,7000
9000,0,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
