topo1,topo2,topo3
0,0,10000
1000,0,9000
0,8000,2000
2100,4900,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
960,960,8080
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2700,1800,5500
0,4000,6000
0,3000,7000
0,0,10000
2700,3850,3450
0,0,10000
0,0,10000
8000,0,2000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
0,0,10000
0,0,10000
600,0,9400
5200,1600,3200
0,0,10000
0,5000,5000
1200,3200,5600
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
0,0,10000
2400,2400,5200
0,0,10000
0,0,10000
0,0,10000
2000,2000,6000
0,400,9600
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
2400,2400,5200
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
7000,0,3000
2800,0,7200
0,0,10000
4500,4500,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2000,0,8000
7000,0,3000
0,7000,3000
0,0,10000
6400,400,3200
0,0,10000
0,2000,8000
0,0,10000
5000,0,5000
0,0,10000
10000,0,0
0,8000,2000
0,0,10000
0,4000,6000
0,0,10000
0,0,10000
1800,0,8200
0,3600,6400
8000,0,2000
0,0,10000
0,2000,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
8000,0,2000
0,0,10000
0,0,10000
3000,2000,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1600,400,8000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
2000,0,8000
0,0,10000
0,0,10000
4900,0,5100
2400,2400,5200
0,0,10000
0,0,10000
0,7000,3000
3200,1200,5600
3000,0,7000
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,3000,7000
3600,0,6400
0,0,10000
0,0,10000
2000,0,8000
0,0,10000
0,3000,7000
0,1000,9000
0,0,10000
6400,400,3200
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,8000,2000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
6300,300,3400
0,2000,8000
0,0,10000
0,0,10000
820,2580,6600
0,0,10000
0,0,10000
0,10000,0
0,1000,9000
0,0,10000
9000,0,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2000,0,8000
320,720,8960
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
0,0,10000
0,3000,7000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
300,6300,3400
0,0,10000
0,0,10000
0,0,10000
6000,0,4000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
1000,0,9000
0,0,10000
0,10000,0
0,0,10000
0,2000,8000
0,0,10000
2400,0,7600
1200,4200,4600
0,0,10000
0,0,10000
0,0,10000
0,7200,2800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,9000,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1560,910,7530
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
4900,2100,3000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,2000,8000
0,6000,4000
0,0,10000
5000,0,5000
4000,0,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
6400,400,3200
0,0,10000
0,2000,8000
0,0,10000
0,9000,1000
0,0,10000
2400,1400,6200
0,0,10000
6400,1600,2000
0,0,10000
0,0,10000
0,0,10000
8000,0,2000
1000,0,9000
0,0,10000
1000,0,9000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
0,0,10000
0,0,10000
0,0,10000
8000,0,2000
0,0,10000
0,0,10000
0,0,10000
1000,0,9000
140,540,9320
0,0,10000
0,0,10000
0,3000,7000
0,0,10000
0,5000,5000
1000,0,9000
9000,1000,0
0,0,10000
0,0,10000
0,8000,2000
0,0,10000
0,0,10000
0,0,10000
3000,0,7000
0,0,10000
0,0,10000
0,0,10000
6300,300,3400
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,7000,3000
0,0,10000
0,0,10000
5000,0,5000
0,0,10000
0,0,10000
0,0,10000
0,6000,4000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
5000,0,5000
7200,200,2600
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,10000,0
2700,200,7100
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,5000,5000
800,4800,4400
0,0,10000
0,0,10000
4000,0,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2000,6400,1600
0,0,10000
0,0,10000
1000,0,9000
0,0,10000
0,0,10000
0,0,10000
0,6000,4000
0,0,10000
0,0,10000
0,0,10000
0,8000,2000
600,5600,3800
0,0,10000
0,0,10000
0,0,10000
0,3000,7000
0,0,10000
0,0,10000
4000,1000,5000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
10000,0,0
0,0,10000
0,3000,7000
0,9000,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
9000,0,1000
0,0,10000
0,0,10000
1000,4000,5000
0,2000,8000
0,0,10000
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
800,1800,7400
0,0,10000
0,0,10000
6000,0,4000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
2000,0,8000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
400,5400,4200
0,6000,4000
0,0,10000
0,0,10000
0,2000,8000
1040,4160,4800
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,3400,6600
4000,0,6000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
200,480,9320
0,0,10000
0,0,10000
0,1000,9000
0,10000,0
0,0,10000
0,0,10000
2000,0,8000
800,4800,4400
0,0,10000
800,4800,4400
0,0,10000
0,0,10000
0,0,10000
0,4000,6000
9000,0,1000
0,9000,1000
3500,1500,5000
0,0,10000
9000,0,1000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1000,0,9000
8000,0,2000
7000,0,3000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
8000,0,2000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1600,1600,6800
0,0,10000
0,10000,0
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
0,0,10000
1800,800,7400
