topo1,topo2,topo3
1000,900,8100
6000,0,4000
1500,0,8500
2000,0,8000
7000,0,3000
0,3000,7000
800,4800,4400
0,0,10000
7000,0,3000
2000,0,8000
10000,0,0
3000,0,7000
9000,200,800
8000,0,2000
1000,1000,8000
0,0,10000
0,0,10000
500,500,9000
4000,1000,5000
1000,0,9000
2000,0,8000
4740,1140,4120
3000,0,7000
5000,0,5000
0,0,10000
2000,0,8000
10000,0,0
7900,200,1900
4000,4000,2000
0,9000,1000
2000,0,8000
4000,0,6000
1000,0,9000
3000,0,7000
5500,2500,2000
720,480,8800
6000,0,4000
3000,0,7000
5200,900,3900
4000,3000,3000
2000,7200,800
0,0,10000
5000,2000,3000
5000,0,5000
5500,2800,1700
0,0,10000
4000,0,6000
5000,0,5000
6000,0,4000
0,0,10000
10000,0,0
4000,0,6000
1800,100,8100
0,9000,1000
600,0,9400
7200,0,2800
4860,360,4780
10000,0,0
0,0,10000
2000,0,8000
5000,0,5000
6000,0,4000
2000,8000,0
5000,0,5000
0,6000,4000
2200,3500,4300
4000,6000,0
3400,3000,3600
3000,0,7000
4000,4000,2000
5000,0,5000
4000,0,6000
5000,0,5000
5000,2500,2500
0,0,10000
400,0,9600
10000,0,0
880,0,9120
0,0,10000
8800,0,1200
2600,800,6600
7000,0,3000
7000,1500,1500
1080,3780,5140
1000,0,9000
0,0,10000
3000,0,7000
100,900,9000
3000,0,7000
1000,0,9000
1000,0,9000
9000,1000,0
7440,1960,600
3600,0,6400
4000,0,6000
4000,0,6000
0,2000,8000
6000,0,4000
3400,2000,4600
3000,0,7000
5000,0,5000
1000,0,9000
0,0,10000
4900,1700,3400
6000,2000,2000
3000,0,7000
2700,3150,4150
1100,1800,7100
0,0,10000
2000,0,8000
4000,0,6000
2000,0,8000
3600,0,6400
5000,0,5000
4000,0,6000
4500,500,5000
1000,0,9000
6000,0,4000
5600,1400,3000
9400,0,600
5000,0,5000
5000,1000,4000
1000,0,9000
2000,0,8000
4000,0,6000
4000,0,6000
3000,0,7000
10000,0,0
0,0,10000
7600,0,2400
0,4000,6000
0,6000,4000
8600,100,1300
1000,0,9000
4500,500,5000
6000,0,4000
2520,4240,3240
0,0,10000
2800,320,6880
1000,1000,8000
4000,0,6000
9700,0,300
0,1000,9000
7000,0,3000
1000,0,9000
9620,0,380
0,1000,9000
4000,0,6000
0,5000,5000
8000,0,2000
3800,3000,3200
2400,2400,5200
5140,540,4320
4000,6000,0
1000,0,9000
7000,1200,1800
4260,3780,1960
0,7000,3000
4000,0,6000
0,0,10000
2000,0,8000
2900,3500,3600
3000,2450,4550
2000,3000,5000
2000,7000,1000
6600,1200,2200
0,0,10000
8000,600,1400
4000,0,6000
4000,0,6000
3000,0,7000
1000,0,9000
800,0,9200
4640,2160,3200
1000,0,9000
8400,600,1000
7000,0,3000
8000,0,2000
1000,2400,6600
0,9000,1000
6000,0,4000
2700,0,7300
5200,1800,3000
3000,0,7000
8000,0,2000
10000,0,0
6840,360,2800
1000,0,9000
7000,0,3000
1400,200,8400
10000,0,0
3400,2360,4240
0,0,10000
2000,1600,6400
2700,1400,5900
1200,2700,6100
0,0,10000
2000,0,8000
6500,0,3500
6000,2000,2000
5000,0,5000
4000,6000,0
0,0,10000
1000,0,9000
1000,0,9000
5000,0,5000
0,0,10000
0,0,10000
2100,600,7300
1000,0,9000
3000,0,7000
1000,1000,8000
1200,1800,7000
0,4000,6000
7000,0,3000
2400,1720,5880
6000,800,3200
9000,0,1000
7500,200,2300
0,0,10000
4000,600,5400
1000,0,9000
1200,1800,7000
0,0,10000
2960,6640,400
0,0,10000
1000,500,8500
5000,0,5000
1000,0,9000
6600,300,3100
2320,4200,3480
1600,1800,6600
8000,0,2000
0,0,10000
2200,1200,6600
0,0,10000
0,0,10000
2000,0,8000
5000,0,5000
0,7000,3000
5000,2000,3000
3600,600,5800
6000,0,4000
2400,2400,5200
6000,0,4000
0,0,10000
1000,0,9000
10000,0,0
10000,0,0
0,0,10000
1000,0,9000
0,0,10000
1000,0,9000
6000,0,4000
9000,100,900
0,0,10000
6000,1700,2300
3000,0,7000
1000,0,9000
9000,0,1000
4000,0,6000
0,0,10000
0,8000,2000
0,0,10000
0,2000,8000
3000,0,7000
2000,0,8000
700,240,9060
0,0,10000
0,0,10000
7000,0,3000
0,0,10000
0,0,10000
4600,2800,2600
10000,0,0
1000,700,8300
0,0,10000
8600,0,1400
0,0,10000
0,0,10000
2000,0,8000
0,0,10000
3000,0,7000
0,0,10000
9000,0,1000
0,0,10000
8000,200,1800
6000,0,4000
3000,1800,5200
2640,0,7360
0,0,10000
5000,2000,3000
4000,0,6000
1000,0,9000
2000,0,8000
1000,0,9000
3000,0,7000
4200,0,5800
4000,0,6000
8000,1000,1000
600,0,9400
6350,600,3050
5000,0,5000
4000,0,6000
2000,0,8000
10000,0,0
0,1200,8800
1000,9000,0
2000,0,8000
0,0,10000
2000,0,8000
1000,0,9000
7000,0,3000
1000,2000,7000
6400,1600,2000
2000,0,8000
9000,0,1000
0,0,10000
1900,0,8100
0,0,10000
8000,0,2000
10000,0,0
4000,0,6000
9000,0,1000
5160,1840,3000
800,1200,8000
3000,1400,5600
0,0,10000
1000,0,9000
10000,0,0
8000,0,2000
6000,0,4000
3630,1470,4900
3200,6400,400
2000,0,8000
5400,2400,2200
8000,0,2000
10000,0,0
1600,0,8400
1000,0,9000
5000,0,5000
2900,2600,4500
3600,1000,5400
8000,0,2000
3000,1400,5600
600,0,9400
4400,0,5600
8000,0,2000
1000,1000,8000
2000,0,8000
3400,2000,4600
1900,2800,5300
3000,0,7000
1400,2400,6200
1000,0,9000
6000,0,4000
2000,3200,4800
0,0,10000
7400,1800,800
9000,0,1000
8000,0,2000
10000,0,0
2000,0,8000
5000,0,5000
2000,8000,0
4000,0,6000
10000,0,0
2400,1600,6000
0,0,10000
5000,3500,1500
3000,0,7000
4000,2000,4000
5000,0,5000
3600,400,6000
5280,2400,2320
10000,0,0
5400,1200,3400
0,2000,8000
4500,1000,4500
3000,0,7000
0,0,10000
1800,0,8200
7900,0,2100
7000,900,2100
3000,0,7000
3160,1200,5640
0,5000,5000
1000,0,9000
2800,1350,5850
0,0,10000
2000,0,8000
4000,6000,0
0,0,10000
1000,500,8500
10000,0,0
500,500,9000
10000,0,0
5000,0,5000
4000,0,6000
10000,0,0
0,0,10000
2000,3840,4160
4000,3000,3000
5000,1000,4000
1000,0,9000
0,3000,7000
5000,0,5000
0,0,10000
7300,0,2700
2700,2800,4500
1000,0,9000
6000,0,4000
8400,0,1600
8000,2000,0
9100,0,900
1000,0,9000
6160,1600,2240
4000,0,6000
1700,7200,1100
6000,0,4000
0,3000,7000
7000,3000,0
9000,0,1000
1600,400,8000
3000,0,7000
5000,0,5000
7000,0,3000
900,8100,1000
7000,0,3000
4000,0,6000
7000,0,3000
2100,4900,3000
1000,0,9000
7000,0,3000
5000,0,5000
200,0,9800
900,0,9100
1000,0,9000
9000,1000,0
5940,900,3160
7200,500,2300
10000,0,0
10000,0,0
5100,2100,2800
1000,0,9000
4500,500,5000
1400,100,8500
2000,0,8000
800,200,9000
4000,6000,0
6000,0,4000
200,800,9000
2800,600,6600
6400,0,3600
3000,0,7000
6000,4000,0
7000,0,3000
3760,4200,2040
1000,0,9000
7000,0,3000
10000,0,0
10000,0,0
8000,1400,600
1000,0,9000
6000,0,4000
3000,0,7000
3360,3040,3600
6580,900,2520
9000,0,1000
1900,900,7200
700,0,9300
1000,0,9000
1020,1080,7900
1000,0,9000
1000,0,9000
3000,0,7000
500,0,9500
5000,0,5000
6700,300,3000
1300,5880,2820
6200,2700,1100
5000,0,5000
4000,0,6000
5500,2040,2460
6000,0,4000
0,10000,0
0,0,10000
6000,0,4000
2100,7900,0
5400,1800,2800
7200,1800,1000
0,5000,5000
2000,0,8000
3800,1700,4500
9000,0,1000
6000,400,3600
6000,0,4000
1400,2400,6200
3800,400,5800
10000,0,0
1000,0,9000
3600,400,6000
9000,0,1000
600,0,9400
3000,4000,3000
5000,0,5000
5000,5000,0
5000,0,5000
