topo1,topo2,topo3
2140,5120,2740
390,2340,7270
2160,6000,1840
1620,420,7960
1116,896,7988
3120,2560,4320
3982,3404,2614
1766,3042,5192
384,804,8812
3340,1520,5140
3204,1493,5303
3282,1522,5196
2290,410,7300
2650,1990,5360
2070,1350,6580
1580,2972,5448
3280,5520,1200
1560,3240,5200
2636,3796,3568
3477,2824,3699
1000,1350,7650
5510,1500,2990
2976,4086,2938
3680,1160,5160
3160,520,6320
2662,4586,2752
5040,2130,2830
2226,1906,5868
1126,1106,7768
1680,3420,4900
2210,2460,5330
2880,3480,3640
2604,3282,4114
1800,3600,4600
1950,4350,3700
1320,1800,6880
450,2050,7500
3505,2780,3715
6352,1868,1780
3036,2512,4452
2840,1280,5880
922,864,8214
2000,280,7720
3120,2920,3960
2480,240,7280
720,1840,7440
2193,2981,4826
4720,1866,3414
3148,2098,4754
5840,860,3300
4350,2230,3420
308,1088,8604
2701,3711,3588
4690,2070,3240
1480,2120,6400
3190,2930,3880
2370,4470,3160
2120,2140,5740
3642,4440,1918
620,2250,7130
4992,2004,3004
0,0,10000
2540,2550,4910
1326,5142,3532
2382,4152,3466
4160,2000,3840
1620,710,7670
1160,710,8130
2780,2700,4520
4440,1880,3680
3500,4900,1600
2609,2976,4415
418,874,8708
2750,6010,1240
900,850,8250
2200,1720,6080
2966,2366,4668
2088,4986,2926
2000,1740,6260
2940,2520,4540
2650,3400,3950
3880,2920,3200
1880,2640,5480
1879,2267,5854
3320,2560,4120
4534,1348,4118
3391,1583,5026
360,2900,6740
4550,3150,2300
2700,1440,5860
560,770,8670
800,1660,7540
6448,1584,1968
3960,3440,2600
1800,2160,6040
0,5800,4200
2652,4892,2456
2700,2580,4720
1862,2450,5688
522,1332,8146
1516,4176,4308
2820,1870,5310
1880,3370,4750
2316,3636,4048
2960,4870,2170
1760,200,8040
2553,2161,5286
2300,2750,4950
800,6100,3100
1610,1890,6500
2680,900,6420
1170,900,7930
2160,3000,4840
2080,1260,6660
3652,5859,489
2200,2110,5690
4043,4102,1855
1180,5990,2830
1060,3440,5500
1652,3596,4752
1980,7240,780
360,3240,6400
3316,3538,3146
2403,3512,4085
720,2400,6880
2251,3591,4158
1720,2100,6180
4158,2851,2991
1226,4416,4358
2034,2114,5852
3968,2800,3232
3104,1908,4988
5140,2100,2760
880,360,8760
2804,2554,4642
1680,1340,6980
2100,6600,1300
1730,1140,7130
4590,4060,1350
4060,4200,1740
2790,1250,5960
2930,3420,3650
4950,850,4200
1124,1194,7682
2072,1996,5932
2077,3560,4363
4280,3600,2120
2880,6000,1120
4284,1408,4308
2160,3660,4180
240,410,9350
40,1290,8670
4290,1300,4410
2100,300,7600
1760,345,7895
4216,2376,3408
1870,4650,3480
4760,1620,3620
4100,3540,2360
732,5892,3376
2329,3059,4612
3860,2280,3860
3140,2800,4060
1060,7380,1560
2160,2520,5320
2165,3590,4245
3960,3515,2525
6724,732,2544
4940,1180,3880
2330,1854,5816
3918,1366,4716
0,1040,8960
760,720,8520
3698,2412,3890
1350,140,8510
5280,1170,3550
2524,4124,3352
2340,2680,4980
2370,2230,5400
860,3890,5250
2800,300,6900
2648,2568,4784
3080,3600,3320
6480,180,3340
1580,2360,6060
1248,1268,7484
2786,3408,3806
2538,2854,4608
1500,1500,7000
1706,3568,4726
3504,3912,2584
3152,3416,3432
2480,1600,5920
4200,2280,3520
2200,1480,6320
4257,2202,3541
5770,2520,1710
277,1168,8555
1300,1584,7116
1488,4140,4372
1356,6152,2492
2040,1840,6120
3264,3208,3528
3726,2326,3948
3232,3428,3340
3360,1520,5120
600,200,9200
3132,4620,2248
4770,810,4420
0,5600,4400
3088,1416,5496
4432,5064,504
440,8160,1400
3424,2476,4100
3970,1930,4100
3020,3380,3600
5165,1710,3125
2112,1232,6656
3640,1770,4590
0,0,10000
2950,2650,4400
1290,5530,3180
6300,300,3400
1576,3876,4548
2080,1880,6040
3120,2510,4370
2704,2044,5252
2700,3210,4090
2840,1800,5360
2760,3800,3440
3130,2690,4180
3560,3270,3170
1102,6132,2766
4260,2160,3580
1470,2640,5890
2190,830,6980
1500,2460,6040
6234,1752,2014
2430,3270,4300
1800,3000,5200
3336,2376,4288
3779,1446,4775
1800,5630,2570
4160,900,4940
6580,900,2520
4780,1650,3570
2180,5260,2560
1100,640,8260
4860,2106,3034
5580,710,3710
900,900,8200
0,0,10000
3520,3640,2840
5243,2780,1977
1200,4200,4600
4793,2281,2926
1100,5100,3800
5600,4400,0
400,2000,7600
1776,6084,2140
2340,5860,1800
3020,3840,3140
4580,3760,1660
1700,4320,3980
3000,3720,3280
1272,672,8056
2976,2308,4716
4632,2616,2752
3000,0,7000
3204,2657,4139
360,500,9140
2310,5720,1970
2090,3040,4870
2357,2247,5396
2050,1972,5978
5470,1980,2550
4080,1980,3940
2160,3176,4664
3012,2349,4639
1750,1550,6700
610,410,8980
4320,3100,2580
2118,3318,4564
6580,2340,1080
1700,3576,4724
1952,2632,5416
1750,5320,2930
300,1150,8550
5205,2615,2180
1830,1230,6940
2120,4580,3300
2300,3400,4300
760,6420,2820
2856,3144,4000
2480,3480,4040
2800,3750,3450
956,1266,7778
2482,2902,4616
2655,1536,5809
2200,3268,4532
4728,3248,2024
3810,4530,1660
1530,3150,5320
1456,3800,4744
1362,2506,6132
2716,3036,4248
2400,1240,6360
2200,4766,3034
4000,1200,4800
4003,3167,2830
2450,1540,6010
1440,1440,7120
4200,1290,4510
2364,2964,4672
3180,2370,4450
3560,2680,3760
3051,2986,3963
3402,2780,3818
2532,4204,3264
7340,1850,810
4300,2620,3080
3725,4275,2000
2200,2800,5000
600,3800,5600
3300,2900,3800
360,5020,4620
3152,3244,3604
2780,3685,3535
1974,1502,6524
4740,2440,2820
2454,1838,5708
3558,3326,3116
3396,1656,4948
1424,2612,5964
1450,3950,4600
2410,2640,4950
612,1052,8336
480,520,9000
3988,2061,3951
1518,3078,5404
2500,2500,5000
3157,4905,1938
4072,1052,4876
3108,2128,4764
3584,3468,2948
1940,3060,5000
1664,2512,5824
1916,4536,3548
1900,3480,4620
2020,3060,4920
3236,4176,2588
1440,4560,4000
2672,2901,4427
600,1400,8000
2956,1612,5432
3650,2452,3898
0,0,10000
1388,1548,7064
3198,2040,4762
4191,3652,2157
2250,2220,5530
2560,4360,3080
2100,2100,5800
4236,2788,2976
950,4010,5040
600,820,8580
3440,2460,4100
2370,570,7060
1440,2240,6320
5280,1720,3000
2820,4900,2280
5790,1110,3100
4652,1704,3644
4035,1675,4290
1172,2938,5890
2690,2246,5064
2658,4520,2822
1240,6360,2400
420,2890,6690
1000,0,9000
4938,778,4284
8236,882,882
1090,5320,3590
4680,2800,2520
670,6890,2440
2895,6700,405
1400,2580,6020
1920,2160,5920
2358,5616,2026
1624,2784,5592
1656,2696,5648
4680,3600,1720
2060,3200,4740
3000,500,6500
1728,1884,6388
2340,2200,5460
3640,2920,3440
1536,1656,6808
3168,1252,5580
3116,2472,4412
1420,920,7660
2892,3666,3442
2252,4676,3072
2988,2590,4422
3720,3330,2950
1750,3460,4790
6770,690,2540
2310,2980,4710
3500,3860,2640
2792,2324,4884
1952,2372,5676
740,80,9180
2526,4892,2582
3020,5100,1880
1800,4080,4120
1660,3260,5080
2500,3380,4120
3008,2408,4584
3360,2100,4540
4610,1890,3500
1070,140,8790
2536,2376,5088
2040,1660,6300
1060,840,8100
2480,2440,5080
480,2880,6640
120,4980,4900
2646,2080,5274
3602,2328,4070
1756,5432,2812
4564,2256,3180
2700,1400,5900
5386,1828,2786
2744,2712,4544
4800,3340,1860
4524,2428,3048
960,160,8880
600,2520,6880
3070,2555,4375
2450,3990,3560
1230,2690,6080
4000,1060,4940
2722,3396,3882
3200,2140,4660
3040,1540,5420
3142,2920,3938
360,640,9000
1284,1134,7582
2350,3670,3980
7170,1120,1710
2000,1700,6300
2564,2202,5234
5427,3816,757
3572,2834,3594
2736,2116,5148
6120,1660,2220
1952,3702,4346
1900,6540,1560
3060,5290,1650
3706,2506,3788
2420,2240,5340
3120,2660,4220
2659,3823,3518
2590,6540,870
600,3220,6180
3740,2810,3450
2800,3330,3870
2636,3058,4306
5620,2110,2270
5940,1060,3000
556,8046,1398
3634,3786,2580
2430,2830,4740
4500,1200,4300
2400,3400,4200
3281,2798,3921
8200,280,1520
3445,3479,3076
1040,1440,7520
1800,2560,5640
20,8760,1220
5760,360,3880
4050,2810,3140
3540,2050,4410
1700,2380,5920
1649,7668,683
5510,3120,1370
6500,1200,2300
5166,2037,2797
4186,2168,3646
3750,3134,3116
200,1000,8800
1600,3000,5400
2960,1760,5280
2430,3240,4330
2640,2550,4810
2412,2818,4770
3310,3390,3300
1026,2026,6948
3330,2000,4670
1020,2530,6450
720,1860,7420
2816,1376,5808
3444,4244,2312
1956,2860,5184
3772,4212,2016
4360,1680,3960
3680,1500,4820
4100,2200,3700
1240,3240,5520
2860,1160,5980
4700,580,4720
4544,944,4512
704,5264,4032
5840,1940,2220
960,4360,4680
3000,350,6650
760,2580,6660
1520,4040,4440
2970,3082,3948
1281,710,8009
5250,250,4500
5494,1213,3293
3930,2450,3620
3260,2600,4140
762,4132,5106
3220,3670,3110
1829,3179,4992
3580,3660,2760
3682,4004,2314
2250,4950,2800
6196,1768,2036
3430,3390,3180
10,7210,2780
5374,2796,1830
1500,2580,5920
2730,3010,4260
4102,2332,3566
2582,2428,4990
1264,1944,6792
2440,4310,3250
1220,2160,6620
1560,2390,6050
3240,4280,2480
1940,3760,4300
100,900,9000
4024,1662,4314
2590,3220,4190
0,500,9500
2058,1822,6120
3651,3242,3107
3055,1870,5075
1530,1500,6970
3860,2020,4120
2240,3420,4340
4390,2784,2826
1920,2160,5920
2040,840,7120
3620,2100,4280
280,3600,6120
3620,3220,3160
846,4866,4288
4780,2760,2460
1978,5600,2422
3570,4230,2200
5320,2840,1840
2580,4640,2780
3520,2480,4000
1900,2700,5400
3868,876,5256
2769,3401,3830
1430,6590,1980
2800,1440,5760
2300,2510,5190
2250,4990,2760
1510,2910,5580
3400,1600,5000
2084,1964,5952
1260,60,8680
4550,1490,3960
3000,1430,5570
360,7040,2600
2550,1550,5900
1900,3700,4400
2320,1800,5880
5148,2088,2764
2618,2634,4748
800,3400,5800
1000,1000,8000
2124,5322,2554
5264,2012,2724
560,1300,8140
2240,3520,4240
10000,0,0
2620,560,6820
1858,3158,4984
2146,1686,6168
800,2192,7008
2480,3880,3640
3300,2380,4320
2584,4498,2918
2040,720,7240
4740,2020,3240
4530,1620,3850
2140,4060,3800
2288,4704,3008
1980,5900,2120
2990,2820,4190
846,5616,3538
2550,2450,5000
3000,1248,5752
2248,2032,5720
2000,7200,800
570,1060,8370
590,1990,7420
2900,1500,5600
3100,2750,4150
1040,6560,2400
2220,2880,4900
3640,5080,1280
2320,1830,5850
984,774,8242
1040,2400,6560
400,3150,6450
3010,1670,5320
120,1620,8260
2360,330,7310
2328,4246,3426
2940,2520,4540
3060,2940,4000
3180,2970,3850
1848,4224,3928
2372,2712,4916
3252,3112,3636
7180,480,2340
3522,1302,5176
2300,5000,2700
1820,2160,6020
4096,3688,2216
7800,1040,1160
2557,3415,4028
2800,2110,5090
2680,2380,4940
3910,3105,2985
1700,4460,3840
2374,3430,4196
1960,5120,2920
6604,2242,1154
1314,5350,3336
1740,2070,6190
2620,2635,4745
3520,2903,3577
1270,2430,6300
2720,1880,5400
5450,1300,3250
3068,4240,2692
900,6300,2800
2205,2635,5160
4670,2570,2760
3500,5150,1350
3640,3040,3320
0,0,10000
3260,2640,4100
334,894,8772
2200,7080,720
2120,3700,4180
480,1800,7720
2618,3754,3628
2490,4890,2620
2220,590,7190
2330,580,7090
3140,3770,3090
2670,1320,6010
4800,2440,2760
1300,1800,6900
3050,2000,4950
2810,3180,4010
4480,1960,3560
1980,4540,3480
7700,1700,600
2550,2500,4950
2188,3098,4714
5720,2800,1480
2000,1200,6800
2205,3625,4170
2740,3660,3600
5295,1719,2986
3350,2480,4170
2640,1320,6040
3536,3016,3448
4260,2700,3040
3720,1910,4370
768,3504,5728
2000,3600,4400
1450,3650,4900
2360,2860,4780
1420,6060,2520
5980,900,3120
1180,2340,6480
4150,4800,1050
2936,4184,2880
2800,1800,5400
3520,3300,3180
4156,1986,3858
920,2510,6570
0,0,10000
0,2500,7500
6040,1460,2500
3450,2950,3600
2478,4278,3244
2570,2680,4750
400,3600,6000
2540,4960,2500
0,400,9600
3412,3112,3476
1450,3480,5070
4876,2548,2576
4594,2273,3133
2960,2640,4400
1080,1680,7240
2040,4010,3950
765,765,8470
4894,2374,2732
2100,2160,5740
3304,2472,4224
1950,2330,5720
3280,2472,4248
2768,456,6776
570,1590,7840
4660,2490,2850
960,1920,7120
2920,2220,4860
2708,2038,5254
800,2800,6400
2370,5316,2314
3360,2440,4200
1250,4040,4710
1732,1458,6810
3040,4960,2000
2336,2256,5408
3934,2706,3360
2212,2212,5576
1451,5902,2647
1260,3830,4910
3200,4920,1880
1260,5200,3540
3360,2660,3980
2325,2475,5200
2603,1578,5819
1000,1680,7320
2042,4384,3574
2484,3024,4492
2260,2920,4820
2430,6570,1000
2624,4298,3078
2800,1800,5400
5730,2660,1610
1632,1592,6776
3140,2880,3980
3200,2070,4730
3144,2544,4312
5490,1440,3070
3845,2160,3995
3220,2520,4260
4224,4288,1488
720,2540,6740
3150,2340,4510
216,5098,4686
3320,2776,3904
1970,3150,4880
1680,3840,4480
6300,1380,2320
4000,1000,5000
2976,2216,4808
400,5760,3840
1280,2440,6280
4384,1968,3648
4710,450,4840
4580,2580,2840
4310,1964,3726
0,0,10000
4886,2416,2698
3220,1860,4920
2900,2120,4980
5980,1920,2100
3170,3130,3700
2480,3440,4080
4990,4350,660
2762,3820,3418
1044,3994,4962
5400,1050,3550
2000,4160,3840
3900,5020,1080
2640,3140,4220
1755,2925,5320
3420,1340,5240
1500,3800,4700
1572,5118,3310
350,2500,7150
4600,1600,3800
4690,1290,4020
2200,4560,3240
3120,3000,3880
2760,3700,3540
3056,2094,4850
4168,2744,3088
4212,2444,3344
1850,2350,5800
3410,2615,3975
2670,3060,4270
2370,6650,980
3010,4490,2500
3000,3530,3470
4600,1350,4050
2150,2950,4900
600,3600,5800
1820,3174,5006
2355,6030,1615
490,300,9210
3700,3040,3260
1432,4656,3912
0,3650,6350
1790,1130,7080
1100,3150,5750
2700,3600,3700
1690,4210,4100
3100,3570,3330
6236,1512,2252
3180,4830,1990
1524,1052,7424
2082,4282,3636
2880,3420,3700
670,3630,5700
1430,1910,6660
600,100,9300
2650,3324,4026
3840,2040,4120
2140,2760,5100
3010,3090,3900
1910,5634,2456
1332,1430,7238
2641,3657,3702
4400,2660,2940
4600,520,4880
1332,4868,3800
3088,2248,4664
2308,4746,2946
864,944,8192
1760,20,8220
2184,4184,3632
3840,3040,3120
2930,610,6460
2956,4680,2364
2100,4640,3260
1655,2255,6090
3858,2526,3616
5120,1340,3540
1800,3096,5104
2800,1380,5820
2214,3390,4396
1066,3038,5896
1296,672,8032
4166,1821,4013
1280,3600,5120
5310,2470,2220
4060,2380,3560
3450,2700,3850
4280,2720,3000
3200,2280,4520
570,1570,7860
4330,2320,3350
5468,2756,1776
4484,1548,3968
3300,3384,3316
2480,2460,5060
3000,3160,3840
1050,980,7970
560,4960,4480
2150,3125,4725
2612,5076,2312
1500,2600,5900
2650,1630,5720
2640,3200,4160
3120,3780,3100
1630,5040,3330
3876,1946,4178
80,1800,8120
840,6040,3120
4000,600,5400
1834,1848,6318
2680,3500,3820
4000,2805,3195
5488,660,3852
1668,1656,6676
3076,3186,3738
3480,2280,4240
2100,4900,3000
4795,2390,2815
2278,5558,2164
2475,5721,1804
0,0,10000
2760,1640,5600
4296,2370,3334
2108,2686,5206
5100,1620,3280
4362,2444,3194
2710,2940,4350
4940,2560,2500
3020,3260,3720
2756,3856,3388
4050,2850,3100
5520,1680,2800
1764,2364,5872
2700,2980,4320
1715,1315,6970
3790,3010,3200
5800,1600,2600
2090,1380,6530
3594,2764,3642
1616,1742,6642
1192,5320,3488
2734,5082,2184
850,5450,3700
4396,2364,3240
3636,1452,4912
2882,3202,3916
2712,3532,3756
2998,1484,5518
2897,3832,3271
3522,2861,3617
1200,2360,6440
260,520,9220
1740,3468,4792
1360,1570,7070
2720,2500,4780
4380,1240,4380
1484,1624,6892
2842,2864,4294
1040,2600,6360
5097,2467,2436
1602,2406,5992
2180,3910,3910
2840,2100,5060
1536,2916,5548
