topo1,topo2,topo3
2702,3836,3462
3543,3374,3083
2328,5028,2644
3814,2322,3864
4374,2734,2892
2892,3800,3308
3259,3229,3512
3229,3814,2957
2779,3967,3254
3096,4040,2864
3549,3427,3024
3217,3223,3560
3047,2663,4290
3728,3360,2912
2754,3376,3870
3664,3275,3061
2730,3254,4016
2949,3585,3466
3292,3374,3334
3866,2868,3266
2475,3647,3878
3216,3583,3201
3274,2631,4095
3412,3297,3291
3664,3066,3270
4291,2988,2721
3042,2880,4078
4820,2947,2233
3256,3773,2971
3432,3432,3136
2963,4110,2927
2590,3364,4046
2246,3102,4652
3409,3253,3338
3194,2840,3966
3271,3188,3541
3501,2649,3850
4450,2700,2850
2686,2711,4603
2178,4362,3460
3404,2965,3631
3382,3218,3400
3338,3198,3464
3020,3275,3705
3416,3275,3309
3191,3005,3804
2442,3554,4004
3668,3906,2426
3362,3575,3063
2312,2832,4856
2505,2851,4644
3662,2886,3452
3833,2979,3188
3686,3159,3155
3440,3505,3055
3057,3832,3111
3970,3985,2045
3792,3088,3120
3390,3370,3240
3786,3382,2832
3010,3472,3518
2182,2668,5150
2649,2604,4747
2190,4002,3808
3122,3775,3103
3267,3914,2819
2634,3528,3838
3310,2838,3852
2543,3234,4223
3685,2893,3422
3499,3502,2999
2892,3262,3846
4840,2698,2462
1922,2026,6052
3045,3327,3628
2407,3243,4350
3140,3422,3438
2929,3504,3567
3090,3816,3094
4204,2771,3025
3174,3620,3206
3106,3498,3396
3703,3340,2957
3827,2924,3249
3198,3551,3251
3221,3086,3693
2603,2672,4725
2802,3726,3472
2769,3388,3843
2879,3743,3378
2973,3102,3925
3178,3959,2863
3817,3237,2946
3776,3056,3168
3452,3334,3214
3092,3448,3460
3156,3982,2862
3076,4080,2844
3555,3115,3330
3189,4009,2802
3391,3206,3403
3083,3514,3403
3315,3133,3552
3665,3177,3158
2681,3017,4302
2689,4052,3259
3485,2773,3742
2766,4568,2666
2675,4127,3198
3276,3740,2984
2870,3255,3875
3756,2978,3266
2486,4375,3139
2956,3720,3324
2412,3747,3841
3360,3515,3125
3231,3256,3513
3166,4039,2795
3957,2980,3063
3086,4022,2892
3037,3358,3605
3316,2948,3736
3289,3090,3621
2918,2795,4287
2576,3163,4261
3043,3481,3476
2688,4306,3006
3368,3033,3599
2953,3828,3219
2945,2815,4240
2559,3261,4180
3563,3210,3227
3052,3808,3140
3685,3663,2652
3942,2600,3458
2818,2306,4876
3352,2516,4132
2717,3956,3327
3270,3060,3670
2662,4022,3316
3379,3254,3367
2457,4454,3089
3609,2898,3493
2734,3126,4140
3081,3307,3612
1814,4010,4176
4153,3241,2606
2516,4822,2662
2356,4822,2822
2999,3643,3358
2986,3381,3633
4563,2798,2639
2572,2126,5302
4658,2476,2866
3834,3232,2934
2464,3992,3544
2906,3653,3441
3000,3183,3817
3796,2782,3422
3062,3601,3337
3469,3531,3000
3709,3460,2831
3193,3663,3144
3058,3073,3869
4774,2734,2492
4215,2749,3036
2936,2841,4223
3526,3114,3360
3189,4005,2806
2723,2484,4793
3028,3412,3560
3316,3332,3352
2575,4884,2541
3023,3611,3366
2652,2742,4606
2389,4547,3064
3173,3374,3453
3478,3408,3114
4154,2394,3452
3696,2498,3806
3276,2582,4142
3294,2678,4028
2948,4032,3020
2848,4370,2782
3265,2994,3741
3880,3201,2919
3136,3772,3092
3270,3961,2769
4228,2768,3004
2894,4464,2642
3793,2918,3289
3198,3923,2879
3398,2840,3762
3241,3532,3227
3503,3180,3317
3354,3900,2746
3887,3125,2988
3316,3496,3188
3138,3491,3371
3458,3129,3413
2914,3780,3306
2638,3688,3674
4125,3360,2515
2566,4786,2648
2714,4310,2976
3022,3471,3507
3474,3872,2654
3584,2898,3518
2903,3668,3429
3780,3276,2944
3214,3634,3152
3840,3177,2983
2929,3694,3377
3646,2670,3684
1934,3650,4416
3538,3163,3299
2611,3333,4056
3105,3151,3744
3475,3122,3403
4721,2416,2863
2856,4344,2800
2726,3048,4226
3819,3776,2405
4131,3042,2827
4421,2575,3004
2410,2666,4924
3645,2821,3534
2948,3217,3835
2907,2834,4259
2673,4181,3146
3374,3086,3540
2486,3770,3744
3348,3097,3555
2378,3550,4072
3451,3249,3300
2292,2240,5468
3580,3306,3114
3319,3778,2903
4680,2848,2472
2477,4130,3393
3456,2878,3666
3188,3322,3490
2616,3784,3600
3267,3534,3199
3361,3423,3216
3602,3098,3300
2832,3543,3625
4162,2680,3158
3294,2745,3961
3020,3020,3960
3193,3790,3017
2624,2652,4724
3743,3053,3204
4757,2424,2819
4305,3224,2471
2302,4982,2716
2534,3928,3538
3228,3256,3516
2994,3892,3114
2568,3986,3446
3549,3313,3138
3154,3638,3208
3180,4116,2704
3263,4203,2534
3041,3924,3035
3249,3051,3700
2634,2975,4391
3464,3154,3382
4000,2022,3978
2824,2946,4230
3312,3196,3492
3133,3508,3359
3545,3072,3383
2715,4055,3230
2694,3695,3611
2049,2614,5337
3516,2997,3487
3489,3650,2861
3283,3303,3414
3331,3124,3545
3347,2675,3978
3507,2797,3696
3051,3545,3404
3555,2857,3588
3668,2792,3540
3188,2220,4592
3302,2384,4314
3585,3376,3039
3184,3168,3648
3235,2991,3774
3266,3244,3490
2562,2576,4862
3606,2923,3471
2820,3600,3580
3164,3613,3223
2775,4211,3014
2966,3167,3867
3152,3666,3182
3734,3734,2532
3422,2949,3629
4249,2846,2905
2884,3099,4017
3704,3154,3142
4022,3240,2738
5860,1907,2233
2287,4352,3361
2320,3254,4426
3253,4263,2484
3947,2876,3177
3770,2934,3296
3979,3104,2917
3133,3483,3384
3217,3301,3482
3196,2940,3864
3030,4174,2796
3720,3441,2839
3447,3024,3529
3337,3748,2915
2827,3463,3710
3110,3304,3586
3020,3560,3420
3191,3234,3575
3949,2287,3764
3545,3059,3396
4241,2813,2946
2969,3641,3390
2288,4047,3665
3926,3074,3000
3217,3227,3556
3028,3556,3416
3276,4287,2437
3000,2736,4264
2986,2990,4024
2936,3761,3303
3156,3258,3586
3040,3554,3406
2318,5344,2338
3615,3117,3268
4358,3006,2636
2832,4414,2754
3253,3059,3688
3458,3470,3072
4003,2988,3009
3353,3453,3194
2887,3411,3702
3130,3454,3416
3265,3118,3617
2676,4081,3243
2944,2801,4255
4224,2430,3346
4842,1948,3210
3022,3515,3463
2919,4046,3035
2713,3973,3314
3538,3475,2987
3634,2888,3478
2208,3459,4333
2891,2574,4535
3349,3275,3376
2720,2508,4772
2918,2606,4476
3227,2998,3775
3834,2502,3664
3802,3726,2472
3799,2846,3355
3735,3004,3261
3571,3089,3340
3490,3461,3049
2440,4314,3246
2736,3496,3768
3024,3688,3288
3529,3415,3056
3219,3136,3645
2962,3513,3525
2160,4232,3608
5008,2574,2418
3118,3231,3651
3095,3271,3634
3443,3825,2732
3280,3642,3078
4291,3016,2693
2926,2988,4086
3728,3204,3068
2518,3466,4016
3104,3810,3086
2888,3824,3288
3309,3501,3190
2863,3701,3436
3906,2930,3164
2816,3434,3750
3881,3288,2831
3636,3342,3022
3616,2773,3611
4661,1984,3355
2921,3054,4025
4428,3074,2498
3147,4164,2689
2753,4345,2902
4140,2838,3022
3232,2812,3956
3632,3402,2966
3564,3765,2671
2919,3515,3566
3808,2474,3718
2850,3178,3972
2828,2916,4256
2823,2400,4777
4094,2772,3134
2918,3304,3778
3356,4012,2632
2989,3939,3072
4580,2546,2874
3624,2974,3402
3323,3460,3217
3886,3122,2992
3357,2661,3982
2034,2374,5592
4217,2792,2991
2902,2832,4266
3536,2862,3602
3788,3151,3061
1599,2530,5871
2612,3184,4204
4038,3380,2582
3705,2360,3935
3212,3398,3390
4022,3241,2737
3498,2443,4059
3724,2728,3548
3224,2978,3798
3170,4138,2692
2580,4102,3318
2501,2760,4739
2831,3604,3565
2798,2230,4972
3492,2780,3728
3476,3585,2939
2824,3280,3896
2740,3504,3756
3101,2677,4222
3075,4544,2381
2751,3262,3987
3400,3230,3370
3227,2564,4209
2108,2394,5498
2588,2306,5106
4236,2699,3065
4332,2986,2682
4687,2646,2667
3111,3008,3881
3006,3642,3352
3561,3309,3130
2970,2910,4120
3203,3376,3421
4223,3270,2507
2778,4060,3162
3356,2874,3770
3463,3167,3370
3589,3092,3319
3684,2782,3534
3780,2950,3270
3417,3182,3401
2632,2914,4454
3200,3550,3250
3839,2354,3807
4807,2381,2812
3524,4178,2298
3655,2557,3788
3158,3148,3694
3724,3409,2867
3320,3254,3426
2823,3393,3784
2627,3482,3891
3289,3196,3515
2577,3966,3457
3414,2908,3678
3067,2817,4116
2388,3098,4514
2767,3480,3753
3083,3464,3453
1960,2340,5700
3652,2800,3548
3128,2702,4170
3044,2894,4062
3906,2789,3305
2162,2060,5778
3238,3332,3430
2763,4484,2753
2898,4006,3096
2569,2902,4529
3476,3164,3360
2874,2870,4256
3834,3392,2774
2721,4269,3010
3091,2971,3938
3342,2658,4000
4490,2865,2645
3501,3044,3455
2822,4166,3012
3332,3592,3076
3333,3497,3170
2442,2900,4658
3098,1808,5094
3206,3502,3292
3014,3881,3105
3257,3304,3439
3601,3036,3363
2284,5492,2224
2599,5035,2366
3240,3072,3688
2990,3564,3446
3573,3251,3176
3798,3061,3141
3360,3542,3098
2664,2704,4632
2870,2999,4131
3186,3264,3550
4626,2622,2752
3884,3216,2900
3093,2838,4069
3090,3353,3557
3822,3234,2944
2726,4832,2442
2698,3108,4194
4004,2456,3540
3422,3152,3426
2503,2564,4933
3872,3076,3052
1950,2766,5284
2773,3553,3674
2242,2872,4886
3213,3554,3233
2902,3772,3326
4118,3092,2790
2940,3413,3647
3724,3108,3168
2998,3838,3164
3129,3235,3636
3680,2660,3660
3044,3162,3794
2973,4377,2650
2730,2763,4507
3635,2873,3492
3037,3054,3909
3171,4128,2701
3331,3927,2742
3636,2496,3868
2316,2966,4718
3051,3411,3538
3801,3061,3138
3945,2956,3099
2758,3374,3868
3057,2926,4017
2857,2651,4492
3253,3731,3016
3872,3396,2732
3052,3510,3438
2955,3111,3934
3632,2844,3524
2833,3363,3804
2685,4209,3106
2493,2493,5014
2934,3342,3724
3662,3126,3212
2744,3824,3432
3058,3297,3645
3456,3494,3050
3311,2522,4167
3095,3348,3557
3336,2748,3916
4402,3034,2564
3516,3234,3250
3984,3340,2676
2564,3202,4234
3208,3436,3356
3536,3252,3212
3552,2770,3678
3253,3253,3494
2217,3547,4236
2900,3051,4049
3470,2796,3734
3116,4376,2508
3174,3632,3194
2844,3620,3536
2763,3072,4165
3873,2649,3478
3553,2984,3463
2769,3797,3434
3926,2859,3215
3318,2749,3933
2844,3809,3347
2665,3209,4126
3553,3169,3278
2912,3615,3473
3155,3418,3427
3705,3513,2782
3874,3099,3027
3662,3875,2463
2637,3426,3937
3633,3366,3001
3088,2978,3934
3081,3044,3875
3042,3548,3410
3085,3295,3620
3432,3788,2780
2984,2743,4273
5034,2315,2651
2609,4081,3310
3063,3605,3332
3059,2602,4339
4179,3009,2812
3294,2850,3856
3023,3273,3704
3478,3041,3481
3432,4040,2528
4077,2785,3138
2694,3773,3533
3059,2414,4527
3095,2796,4109
2526,2901,4573
3057,3550,3393
4583,3083,2334
2870,3649,3481
4242,3279,2479
4061,3220,2719
2817,3576,3607
2326,2252,5422
4230,2652,3118
4893,2881,2226
3671,2558,3771
2902,3445,3653
3048,3738,3214
2828,4116,3056
3465,2653,3882
2514,3422,4064
2569,3519,3912
3059,3539,3402
4114,2865,3021
2628,3440,3932
3118,3528,3354
3159,2997,3844
3910,3178,2912
2815,3722,3463
3141,3580,3279
3521,3235,3244
4027,2984,2989
1840,4996,3164
3223,3451,3326
3717,3470,2813
3173,3632,3195
3434,3342,3224
3074,2960,3966
2684,3821,3495
2963,4361,2676
4453,2881,2666
3225,3040,3735
2092,3592,4316
3642,4142,2216
3898,3268,2834
3168,3455,3377
3456,3154,3390
3084,3316,3600
3677,2875,3448
3648,2675,3677
2983,2847,4170
3408,3332,3260
3066,3449,3485
3211,3328,3461
3053,3148,3799
4092,2875,3033
2814,3098,4088
3834,3426,2740
3041,3306,3653
2977,3763,3260
2765,4504,2731
2774,2960,4266
3394,3581,3025
3162,2874,3964
3904,3003,3093
3700,2940,3360
3303,3622,3075
3009,3489,3502
3999,2846,3155
2684,3837,3479
3974,3151,2875
3418,3623,2959
3641,2773,3586
2780,2447,4773
4384,2975,2641
2901,4061,3038
3422,3434,3144
4106,2699,3195
2825,2249,4926
3229,3016,3755
2362,4519,3119
3212,3636,3152
2918,3108,3974
3705,3111,3184
2844,3372,3784
2338,4222,3440
3004,3319,3677
3885,3207,2908
4198,3266,2536
3188,3023,3789
3214,3006,3780
3435,2895,3670
2950,4403,2647
2806,3890,3304
3350,3204,3446
3077,3538,3385
3876,3060,3064
4282,2592,3126
3141,2865,3994
3416,3050,3534
3193,3689,3118
3230,2996,3774
3273,3391,3336
3906,2224,3870
4038,2705,3257
3059,3827,3114
3569,2876,3555
2597,4392,3011
3624,2962,3414
3444,3155,3401
3460,3214,3326
2742,3284,3974
2464,3599,3937
3402,3718,2880
3267,2862,3871
3265,2888,3847
3372,3733,2895
3087,2697,4216
2308,3114,4578
2991,2994,4015
3833,2273,3894
3613,3119,3268
2820,3629,3551
2418,3005,4577
4130,3022,2848
4387,2379,3234
2785,3256,3959
2868,2882,4250
2817,2448,4735
3113,3270,3617
3010,3560,3430
2930,3608,3462
2688,2904,4408
2886,3546,3568
3166,3856,2978
3950,3431,2619
3118,4157,2725
2612,3200,4188
3179,3766,3055
2930,3763,3307
3180,3325,3495
3077,2725,4198
2681,3594,3725
2896,3548,3556
2688,3544,3768
2860,2572,4568
2983,3316,3701
3318,3198,3484
2494,3186,4320
3500,2664,3836
3558,3494,2948
3436,3026,3538
3064,3149,3787
3689,2934,3377
3461,3337,3202
3383,3305,3312
3357,3085,3558
2702,3532,3766
3270,3494,3236
3407,3430,3163
3287,3001,3712
3111,3246,3643
4074,3684,2242
2734,3427,3839
4371,2701,2928
3216,2874,3910
3548,2773,3679
2648,2609,4743
3490,3063,3447
3061,2911,4028
3208,3443,3349
2710,3868,3422
3768,3192,3040
3105,3248,3647
3522,2664,3814
4746,2908,2346
3113,3276,3611
2790,4111,3099
3684,2832,3484
3431,2812,3757
3946,3034,3020
2589,3373,4038
2904,4223,2873
2969,3192,3839
2808,3746,3446
4026,2502,3472
2511,2657,4832
3987,2899,3114
3304,3428,3268
3063,3070,3867
3620,3166,3214
2707,3184,4109
3138,3106,3756
2993,3786,3221
3566,2701,3733
3612,3290,3098
2769,4235,2996
2953,2252,4795
3535,3298,3167
3000,3044,3956
2892,3800,3308
4359,3198,2443
3522,3080,3398
3054,4182,2764
3684,3276,3040
2426,2480,5094
4325,2992,2683
3085,3909,3006
3586,2762,3652
3668,3132,3200
3580,3246,3174
4050,2934,3016
2236,2488,5276
2657,2405,4938
3355,2857,3788
4259,2395,3346
2401,2330,5269
2584,3087,4329
3156,3274,3570
3409,3316,3275
3368,3147,3485
2960,3686,3354
3836,2939,3225
4127,3065,2808
2868,3692,3440
3407,2792,3801
4318,2416,3266
3166,3299,3535
4188,3042,2770
3408,4024,2568
2672,2638,4690
3202,3419,3379
2490,2163,5347
3052,3680,3268
2818,2351,4831
3544,3246,3210
2696,4632,2672
3002,3139,3859
2488,3774,3738
3809,3476,2715
3974,3079,2947
4035,3078,2887
3359,3185,3456
3084,3545,3371
2528,4264,3208
2664,3630,3706
3066,2820,4114
3480,3301,3219
3102,2627,4271
2594,2957,4449
3437,3389,3174
4182,3025,2793
3854,2238,3908
3520,3060,3420
3969,2995,3036
3729,2883,3388
2852,2780,4368
4180,2739,3081
3517,2043,4440
4856,2656,2488
2862,3639,3499
1764,2478,5758
2694,2960,4346
2298,4631,3071
2650,4240,3110
3275,3073,3652
3011,2531,4458
2998,3672,3330
3696,2714,3590
3080,3649,3271
3520,3283,3197
3580,2864,3556
3321,3350,3329
2896,3253,3851
3246,3483,3271
3335,3675,2990
3442,3469,3089
3264,3424,3312
3282,2977,3741
3394,2707,3899
3457,3182,3361
3068,2994,3938
3262,3393,3345
4596,2636,2768
2700,3017,4283
3550,3575,2875
3684,3008,3308
4207,3180,2613
2754,3982,3264
3043,3647,3310
2924,4002,3074
3152,3860,2988
2682,3042,4276
3883,3241,2876
2643,4323,3034
3218,2842,3940
2808,3536,3656
2672,4285,3043
3220,3211,3569
2918,3424,3658
2575,3005,4420
4329,2828,2843
3540,2861,3599
2551,2938,4511
4122,3008,2870
2858,2252,4890
4023,3083,2894
3570,2401,4029
2897,2982,4121
2636,3899,3465
4249,2895,2856
2806,2737,4457
3074,3090,3836
3635,3369,2996
2410,5285,2305
2315,4745,2940
3125,3666,3209
3426,2916,3658
3830,3114,3056
4186,2746,3068
3858,2626,3516
3050,3408,3542
2331,5038,2631
3380,3638,2982
3069,2464,4467
3640,3232,3128
2474,2606,4920
4163,3024,2813
3148,2938,3914
1969,3096,4935
3953,3119,2928
3292,3628,3080
4837,2572,2591
4031,3388,2581
2685,2347,4968
1770,6246,1984
4883,2276,2841
3068,3680,3252
3361,2965,3674
2246,3880,3874
3167,2802,4031
2050,1512,6438
3291,2694,4015
2663,3472,3865
4187,2832,2981
3312,3071,3617
2834,3438,3728
3466,3299,3235
2686,5163,2151
3184,3166,3650
4561,2953,2486
3837,2339,3824
2810,2676,4514
2943,2105,4952
2481,4741,2778
2818,3684,3498
2102,2127,5771
4166,2683,3151
3599,3184,3217
2919,3317,3764
3692,3264,3044
3819,3166,3015
3596,3513,2891
2430,4674,2896
3448,3206,3346
3898,3246,2856
4175,3258,2567
3137,3622,3241
4121,2953,2926
3514,3154,3332
3171,3661,3168
3283,3091,3626
3585,3099,3316
3333,3430,3237
2736,5064,2200
2896,3261,3843
3336,2353,4311
3721,3451,2828
3929,3444,2627
3093,3215,3692
3755,2765,3480
2870,3781,3349
2914,3924,3162
3786,3274,2940
3278,2514,4208
3230,3366,3404
3288,3940,2772
4288,3119,2593
4018,3572,2410
3030,3560,3410
3030,3310,3660
2810,3353,3837
3097,3211,3692
2816,3711,3473
3460,3405,3135
4339,3281,2380
3352,2981,3667
3723,2922,3355
2712,2506,4782
3124,2816,4060
2806,2758,4436
3747,3178,3075
2366,2768,4866
3282,2898,3820
2917,3287,3796
2684,2724,4592
2642,3934,3424
3528,2774,3698
3422,3017,3561
