topo1,topo2,topo3
5544,2338,2118
2266,2386,5348
2859,4113,3028
2274,3388,4338
3120,3720,3160
3394,2656,3950
2165,2306,5529
1632,2112,6256
4041,2714,3245
1850,5920,2230
4107,3183,2710
3260,3580,3160
1850,3648,4502
2439,3429,4132
966,5226,3808
3190,2606,4204
3063,3324,3613
3786,3728,2486
2651,3281,4068
2641,3979,3380
2690,3066,4244
2252,6176,1572
1786,2052,6162
3169,2416,4415
3447,3095,3458
4534,2400,3066
2111,4329,3560
2274,4064,3662
1504,3564,4932
2236,4948,2816
3509,2780,3711
3942,2978,3080
2756,4024,3220
3544,2404,4052
2432,3994,3574
2540,2995,4465
3449,3501,3050
1958,2996,5046
1120,1262,7618
3698,2176,4126
1380,1210,7410
2370,2200,5430
2506,4090,3404
3832,3016,3152
4670,1916,3414
2530,3830,3640
3093,2473,4434
2668,2376,4956
2905,4050,3045
3008,2648,4344
1726,5906,2368
2021,1228,6751
2862,3124,4014
3860,2772,3368
1628,2476,5896
2742,4310,2948
4260,3020,2720
1448,6826,1726
2370,2680,4950
3029,3144,3827
3082,4618,2300
4275,2503,3222
4046,2692,3262
2604,4950,2446
3580,2340,4080
5038,3282,1680
3292,2310,4398
2841,4386,2773
4214,978,4808
2878,3810,3312
3628,2494,3878
2842,3042,4116
3165,3755,3080
2100,3840,4060
3302,2332,4366
4318,1757,3925
2504,4030,3466
2328,3344,4328
2876,3458,3666
2618,4564,2818
2690,2610,4700
3600,4532,1868
3871,3012,3117
5220,2840,1940
4038,3260,2702
2962,3224,3814
3305,3173,3522
3156,3636,3208
2130,3360,4510
3309,2531,4160
2816,3938,3246
2646,3411,3943
1930,3830,4240
5130,2550,2320
2656,2096,5248
3622,2004,4374
1659,2208,6133
3774,2626,3600
2535,2820,4645
3532,2282,4186
3258,2516,4226
2783,3255,3962
3171,3382,3447
3636,1920,4444
2056,1426,6518
2290,1270,6440
3280,3418,3302
2727,2680,4593
5440,2440,2120
3719,2274,4007
3620,1828,4552
2602,5051,2347
2954,2544,4502
5860,2800,1340
2648,3496,3856
2308,2148,5544
2550,5034,2416
2772,2612,4616
2872,2450,4678
3567,3071,3362
2894,3808,3298
2732,3926,3342
3120,4070,2810
2320,560,7120
2966,3683,3351
2334,2114,5552
3220,2768,4012
2820,3950,3230
2427,4030,3543
3736,3950,2314
3292,4244,2464
3558,4122,2320
3842,3954,2204
2119,3267,4614
4224,2384,3392
3568,2747,3685
2590,2638,4772
2418,1480,6102
2320,3040,4640
3520,3027,3453
970,4990,4040
3286,5334,1380
4128,4800,1072
3237,3246,3517
3400,2876,3724
3800,2620,3580
3324,2140,4536
3109,3282,3609
3142,3368,3490
4554,1488,3958
2820,3020,4160
2044,2584,5372
3624,4002,2374
3368,4442,2190
2562,3197,4241
2966,2050,4984
2720,3950,3330
3117,3571,3312
3405,3313,3282
2632,2912,4456
2440,3752,3808
3100,3160,3740
3460,4300,2240
1620,1862,6518
1870,3730,4400
2764,2928,4308
3088,2346,4566
2936,2846,4218
3968,2334,3698
1554,4112,4334
910,7880,1210
2440,2420,5140
4968,2766,2266
2956,2924,4120
2080,1220,6700
4360,2588,3052
2310,2960,4730
3486,2556,3958
3726,2904,3370
4464,1896,3640
1040,4040,4920
2026,2191,5783
2586,2727,4687
2225,3216,4559
3318,3148,3534
3549,3101,3350
2342,4132,3526
2837,3177,3986
3830,2958,3212
3773,2618,3609
2864,4188,2948
2200,4723,3077
3954,1784,4262
5814,2040,2146
2028,3914,4058
3078,2465,4457
3612,3508,2880
3637,3411,2952
3929,2880,3191
2845,3995,3160
4792,2270,2938
1854,4550,3596
4768,2058,3174
1670,2032,6298
1865,1946,6189
2492,3130,4378
3342,3626,3032
2628,2888,4484
2438,2160,5402
2564,3294,4142
3026,2096,4878
3605,2181,4214
3453,3491,3056
2567,2519,4914
5362,1924,2714
2820,2830,4350
2869,4224,2907
1230,2760,6010
3512,3158,3330
2184,3800,4016
1630,4330,4040
4136,2870,2994
1780,4100,4120
3542,3312,3146
3250,2520,4230
2584,3994,3422
4686,1542,3772
2889,4604,2507
3349,4188,2463
3742,2830,3428
2890,2760,4350
3090,2016,4894
3960,2820,3220
3868,3040,3092
2282,4282,3436
2777,3168,4055
2806,3576,3618
2832,4018,3150
2428,3178,4394
4150,3036,2814
3650,2150,4200
4056,3150,2794
5968,2016,2016
1556,2066,6378
3665,2382,3953
3712,2664,3624
2596,3619,3785
2370,4330,3300
2812,3804,3384
3646,3520,2834
3493,3813,2694
3786,2508,3706
2000,2128,5872
2721,3258,4021
1350,2970,5680
4753,2013,3234
2912,2952,4136
1802,2666,5532
3488,1499,5013
2734,5126,2140
3801,3627,2572
2640,2850,4510
3655,2439,3906
