topo1,topo2,topo3
9420,300,280
3440,3760,2800
6500,2760,740
3210,5080,1710
4950,2950,2100
3500,4500,2000
2200,2800,5000
2800,3000,4200
4100,4680,1220
3200,5600,1200
3330,4390,2280
4000,3900,2100
6800,1600,1600
7380,800,1820
4900,2000,3100
3460,4080,2460
9000,0,1000
2800,5020,2180
4500,3550,1950
7680,720,1600
3480,5020,1500
4460,1810,3730
6400,2740,860
6000,400,3600
4040,980,4980
2660,5220,2120
8280,870,850
4750,2200,3050
3800,1200,5000
3700,3370,2930
3400,4300,2300
5700,3600,700
9200,0,800
4540,2640,2820
3200,2700,4100
7000,2400,600
7500,2000,500
5200,3200,1600
2300,4050,3650
3200,3500,3300
4490,1770,3740
3600,3900,2500
7300,900,1800
2760,2130,5110
3490,2800,3710
4520,3480,2000
3700,2600,3700
8000,0,2000
3300,3820,2880
3720,3650,2630
3006,4806,2188
4400,2020,3580
3480,2480,4040
2980,3060,3960
6040,2280,1680
4760,2490,2750
5190,2800,2010
5450,2730,1820
3740,3720,2540
5840,1700,2460
6330,1300,2370
6800,600,2600
3670,3260,3070
3800,3160,3040
4200,3700,2100
5470,3030,1500
5080,3520,1400
4400,1800,3800
5400,2800,1800
7300,1800,900
5550,2460,1990
5120,2340,2540
3964,3718,2318
6000,2320,1680
3820,3990,2190
6960,1120,1920
3100,4940,1960
4720,2240,3040
3600,3800,2600
9000,700,300
3540,3420,3040
3861,4311,1828
4000,3480,2520
3350,4550,2100
7335,1395,1270
3000,6360,640
8000,2000,0
3950,3610,2440
3600,3200,3200
8200,900,900
8080,360,1560
2700,3840,3460
4120,2760,3120
3320,4100,2580
4650,3100,2250
6480,1240,2280
4610,2420,2970
5600,3200,1200
9000,200,800
4380,4580,1040
2500,2200,5300
2440,4140,3420
4290,2630,3080
4930,2190,2880
6080,1800,2120
3840,2800,3360
5230,2220,2550
3120,5440,1440
4200,4900,900
3200,2400,4400
7400,1600,1000
3200,5200,1600
2500,5900,1600
3440,3040,3520
3728,3162,3110
3600,3600,2800
3620,2820,3560
5680,1740,2580
3580,3580,2840
8200,900,900
5000,2460,2540
7830,1220,950
3950,4880,1170
3460,1240,5300
5000,1500,3500
3400,3400,3200
6800,1600,1600
3240,3720,3040
4240,2200,3560
2620,3820,3560
3730,4480,1790
2530,2580,4890
3800,3000,3200
6710,1630,1660
5050,2200,2750
4090,1320,4590
2980,2190,4830
4060,1940,4000
2720,5360,1920
3160,5340,1500
4800,2200,3000
4280,4680,1040
1800,1800,6400
5040,2360,2600
3230,2860,3910
4800,3600,1600
4810,1800,3390
3800,1500,4700
3680,2030,4290
3494,3658,2848
2160,2760,5080
5800,2100,2100
4520,2740,2740
5180,1940,2880
4700,2440,2860
2160,3420,4420
6200,2400,1400
3600,900,5500
6600,1640,1760
4800,3120,2080
4200,2040,3760
4790,1500,3710
2760,1240,6000
7200,2450,350
2260,6200,1540
4360,2280,3360
2660,2140,5200
2800,3360,3840
8200,900,900
3540,3430,3030
3200,3880,2920
3200,2840,3960
4762,3592,1646
5800,3600,600
4800,3200,2000
5900,2480,1620
7500,1320,1180
3480,4240,2280
3600,2700,3700
5660,3850,490
3980,2420,3600
2810,5000,2190
6280,2180,1540
4430,2000,3570
2980,2050,4970
3360,2440,4200
3840,3720,2440
4360,2320,3320
3200,1620,5180
6290,1960,1750
3800,3140,3060
5580,4000,420
5800,2100,2100
3760,2760,3480
8160,920,920
3180,5040,1780
