topo1,topo2,topo3
3766,2880,3354
3180,3256,3564
3244,2944,3812
4414,2947,2639
3177,3182,3641
2343,2200,5457
3187,2969,3844
3322,3226,3452
2743,3298,3959
2515,3423,4062
3706,3445,2849
3302,2824,3874
4145,2799,3056
2762,3130,4108
3410,2933,3657
4299,3085,2616
3669,3403,2928
3395,3071,3534
3625,3324,3051
3352,3560,3088
3153,3866,2981
3189,3505,3306
4132,2798,3070
2402,5038,2560
2230,2422,5348
3348,2796,3856
2656,3592,3752
4868,2822,2310
3349,2944,3707
3117,2919,3964
3432,3177,3391
3229,3233,3538
2408,3864,3728
3260,3345,3395
3873,2503,3624
3876,3267,2857
3333,2723,3944
2867,3860,3273
4085,2523,3392
3228,2422,4350
4554,3404,2042
2891,2833,4276
3546,3188,3266
3080,3116,3804
4238,3095,2667
3409,3114,3477
3176,3864,2960
3094,3082,3824
3002,3353,3645
3334,2762,3904
2556,3732,3712
3426,3051,3523
3377,3393,3230
2723,3330,3947
2471,2760,4769
3458,2258,4284
3159,3504,3337
3030,3958,3012
3908,2923,3169
4168,3056,2776
3526,3708,2766
4669,2581,2750
3382,2888,3730
4075,2246,3679
2368,3512,4120
3190,3090,3720
3912,2927,3161
3638,3047,3315
3091,3519,3390
3192,3560,3248
3481,3493,3026
3130,2552,4318
3832,3102,3066
3149,3424,3427
3280,3612,3108
3336,2573,4091
2481,3527,3992
2964,3652,3384
2619,4323,3058
2808,3598,3594
2878,2792,4330
3304,2860,3836
2444,2863,4693
3512,3522,2966
2674,3078,4248
3634,3387,2979
3302,3068,3630
3343,3846,2811
2970,2701,4329
3452,3500,3048
2252,4662,3086
3258,3248,3494
2815,3790,3395
3208,3548,3244
3040,3066,3894
3709,3156,3135
3521,3094,3385
3361,3222,3417
2549,3913,3538
2779,3283,3938
3800,2854,3346
3867,3129,3004
3070,3654,3276
3325,3232,3443
3908,3082,3010
2478,3508,4014
3507,2129,4364
3552,3008,3440
3422,3427,3151
3050,3024,3926
2690,4176,3134
3948,2972,3080
3256,3949,2795
3090,2637,4273
2142,4713,3145
2985,2981,4034
3326,2984,3690
4221,3254,2525
3714,3520,2766
3738,2869,3393
3386,3036,3578
3482,3439,3079
2898,3294,3808
3248,4049,2703
3264,3758,2978
3518,3378,3104
3534,2990,3476
4705,2936,2359
3122,3820,3058
2545,2695,4760
3923,3433,2644
3139,2723,4138
3595,2795,3610
3832,3012,3156
3200,3861,2939
3243,3656,3101
3423,3471,3106
3174,3987,2839
3357,2766,3877
3018,3347,3635
3438,3388,3174
3248,2903,3849
3174,3685,3141
3420,3032,3548
2386,3038,4576
4430,2651,2919
3290,2902,3808
3471,3016,3513
2756,3758,3486
3690,3248,3062
5542,1847,2611
3877,2528,3595
3460,3500,3040
3700,3472,2828
3886,3156,2958
3426,2911,3663
3566,3476,2958
2840,3732,3428
3586,2814,3600
2772,3464,3764
3327,3617,3056
3430,3374,3196
2221,4747,3032
2825,3585,3590
2696,3874,3430
3202,2951,3847
3049,3211,3740
3452,3128,3420
3680,3792,2528
2610,3669,3721
3455,2795,3750
3364,2965,3671
4132,2904,2964
3624,2958,3418
2950,3974,3076
3058,3914,3028
3124,3462,3414
2610,4140,3250
2518,3613,3869
2604,3182,4214
3090,3316,3594
4054,3158,2788
3374,2704,3922
3101,3918,2981
3716,3203,3081
3357,3475,3168
3189,2943,3868
2908,2908,4184
3704,2326,3970
2671,4908,2421
3089,3493,3418
2994,3752,3254
3344,3907,2749
3276,3134,3590
4680,2552,2768
3942,3186,2872
2795,4094,3111
4581,2584,2835
3144,2952,3904
3158,3080,3762
3162,3202,3636
2966,3712,3322
3919,3267,2814
3104,3100,3796
3432,2715,3853
3041,3369,3590
3583,2973,3444
3085,3470,3445
3330,3230,3440
3180,3417,3403
3196,3714,3090
3676,3056,3268
3048,3080,3872
4006,2983,3011
3896,3017,3087
3733,3440,2827
2721,2682,4597
3842,2992,3166
3050,3629,3321
4184,2670,3146
2486,3154,4360
2950,3812,3238
3844,2947,3209
3224,2431,4345
3942,3132,2926
3108,3688,3204
2822,2654,4524
3287,2596,4117
3973,2976,3051
3573,3664,2763
2754,3065,4181
2977,2746,4277
3870,3060,3070
3728,3320,2952
2974,2861,4165
2656,3878,3466
2658,2374,4968
2700,3576,3724
4166,2748,3086
2535,4363,3102
2210,5352,2438
3880,2974,3146
3403,3026,3571
2753,3075,4172
3794,2802,3404
3071,3889,3040
3144,3614,3242
3397,3127,3476
2380,3804,3816
2691,3043,4266
3086,3013,3901
3500,2762,3738
3478,3406,3116
3708,3207,3085
3183,3302,3515
3280,3277,3443
3512,3449,3039
3568,3118,3314
2402,3610,3988
3383,3345,3272
3391,2927,3682
3146,3836,3018
2966,3531,3503
3118,3974,2908
3271,2756,3973
2824,3395,3781
3190,3724,3086
3418,3109,3473
3261,2949,3790
3630,3032,3338
3017,3419,3564
2899,3949,3152
3006,3749,3245
3760,2351,3889
2722,2913,4365
3502,2672,3826
3899,3601,2500
2778,3112,4110
3673,3372,2955
3511,3221,3268
3058,3568,3374
2820,3046,4134
3265,3248,3487
2780,3366,3854
2988,3789,3223
3655,3743,2602
4357,1944,3699
2884,3464,3652
3156,3248,3596
3402,3404,3194
3763,3342,2895
2834,3169,3997
2875,3394,3731
3424,3668,2908
3328,4194,2478
3035,3431,3534
3366,3576,3058
2350,2896,4754
3226,4044,2730
3268,3390,3342
3815,3390,2795
3591,2511,3898
2506,3864,3630
3199,4261,2540
3632,3780,2588
2970,4003,3027
2674,3318,4008
4254,3040,2706
3602,2874,3524
3622,3000,3378
3624,2962,3414
3239,3498,3263
3554,3167,3279
3064,3828,3108
3150,2895,3955
3164,3354,3482
3478,3702,2820
5587,1856,2557
3284,3556,3160
2956,3060,3984
3599,3314,3087
3260,3100,3640
3706,3199,3095
3370,3701,2929
4465,2817,2718
2819,3730,3451
3229,3754,3017
3848,3481,2671
2997,2690,4313
4277,2534,3189
3421,3094,3485
3581,2593,3826
2998,3065,3937
3246,2868,3886
3639,3032,3329
3782,2686,3532
2570,3934,3496
3216,3270,3514
3933,2905,3162
2747,3047,4206
3465,3476,3059
2874,3660,3466
2624,4229,3147
2486,3972,3542
3158,2934,3908
3838,2760,3402
3386,3479,3135
3453,3190,3357
3606,2956,3438
3623,2566,3811
3013,2706,4281
3083,3752,3165
2860,3008,4132
2820,3927,3253
3151,3080,3769
3189,3275,3536
2710,2773,4517
3676,3003,3321
2543,3807,3650
2943,3793,3264
2212,2574,5214
3577,3099,3324
3080,3412,3508
3168,4002,2830
3236,3082,3682
3268,3229,3503
3729,3385,2886
2783,3074,4143
3868,2382,3750
3593,2642,3765
4400,2925,2675
3170,3253,3577
3036,3639,3325
4296,3135,2569
3024,3144,3832
3812,2827,3361
2780,3754,3466
3600,3412,2988
3232,3264,3504
3507,3163,3330
3398,3344,3258
3110,4081,2809
4003,3007,2990
3479,3090,3431
3226,3754,3020
3335,3057,3608
6532,1626,1842
2588,2755,4657
3372,2913,3715
2805,2982,4213
2682,4234,3084
4026,2939,3035
2871,4763,2366
3583,3157,3260
3026,3055,3919
2994,4090,2916
3152,3604,3244
3101,3668,3231
3050,3812,3138
3586,4172,2242
3092,3312,3596
3334,2931,3735
3876,2736,3388
2988,2934,4078
3275,2965,3760
3933,2537,3530
3741,3217,3042
4136,2281,3583
3837,3166,2997
3898,3068,3034
3301,2948,3751
4249,2611,3140
2638,3277,4085
2978,2854,4168
3063,2440,4497
3363,3000,3637
3392,3323,3285
2734,3712,3554
4482,3205,2313
3322,3532,3146
4584,2831,2585
2994,3757,3249
3389,3041,3570
3089,2608,4303
3034,2757,4209
3519,3302,3179
2621,4464,2915
3500,3208,3292
2494,4066,3440
3939,2260,3801
3016,3592,3392
3233,3980,2787
3423,2501,4076
3492,2905,3603
2736,4236,3028
3230,3117,3653
2854,3543,3603
4058,2224,3718
2748,3020,4232
2943,3167,3890
2770,3744,3486
2793,4600,2607
4335,2477,3188
3336,3288,3376
3222,3259,3519
3083,3524,3393
2789,3133,4078
3357,3179,3464
2657,2884,4459
3100,3410,3490
2788,4675,2537
3566,3250,3184
4298,3642,2060
2907,4250,2843
3008,3110,3882
2756,3140,4104
3477,3025,3498
3490,3530,2980
3453,2891,3656
3511,2716,3773
3358,3268,3374
3920,2974,3106
2848,3920,3232
3361,3220,3419
2609,3759,3632
3200,3275,3525
3020,3768,3212
2798,3899,3303
2624,3102,4274
3411,3360,3229
4094,2782,3124
2786,3638,3576
2803,3775,3422
4369,2394,3237
2849,2821,4330
3439,3189,3372
3375,3449,3176
3115,3594,3291
4612,1680,3708
3607,2661,3732
3269,3367,3364
3078,4206,2716
2947,3679,3374
3578,2713,3709
3003,3921,3076
3269,3417,3314
2700,5014,2286
2840,3397,3763
3354,3527,3119
2593,3052,4355
3266,3281,3453
2962,2826,4212
4138,2672,3190
2780,3988,3232
4853,2099,3048
3017,4186,2797
3008,3127,3865
3277,3580,3143
3054,2893,4053
3254,3431,3315
3326,2513,4161
3040,3146,3814
3076,3497,3427
3333,3435,3232
5721,2393,1886
3054,3365,3581
3062,2838,4100
3863,3091,3046
2685,2314,5001
3181,2650,4169
4034,2391,3575
3004,3382,3614
2706,3017,4277
3204,4048,2748
3050,3209,3741
2971,2966,4063
2425,3903,3672
3508,3368,3124
3460,3292,3248
2788,3671,3541
3572,3108,3320
2430,3284,4286
3870,3032,3098
3353,3894,2753
3692,3949,2359
2835,3038,4127
3405,2822,3773
5143,2655,2202
2676,3595,3729
3705,3318,2977
2386,2193,5421
2972,3280,3748
3078,3070,3852
3177,2889,3934
3414,3242,3344
3092,3464,3444
2988,3300,3712
2568,2414,5018
4370,2818,2812
2850,3907,3243
3102,3350,3548
3227,3328,3445
3320,2986,3694
3192,2901,3907
3666,3110,3224
2038,4548,3414
3231,3887,2882
4084,2828,3088
2526,3916,3558
2886,3849,3265
3692,2823,3485
4172,2962,2866
3136,3038,3826
2804,3463,3733
3116,3097,3787
4047,3291,2662
3186,3274,3540
3446,2998,3556
4823,2563,2614
3458,3293,3249
2859,2951,4190
2865,3529,3606
3474,3042,3484
3240,2640,4120
2797,3365,3838
2827,2624,4549
4060,3150,2790
3721,3224,3055
3308,3796,2896
2730,4276,2994
2897,4247,2856
3090,3705,3205
3186,3170,3644
3815,3368,2817
4016,2834,3150
4260,3268,2472
2762,3972,3266
3130,3540,3330
3542,3582,2876
4268,2924,2808
4343,3203,2454
2512,2930,4558
3393,3562,3045
2894,3654,3452
3288,2812,3900
2584,4064,3352
3392,2514,4094
2811,3693,3496
3169,3494,3337
3107,3553,3340
2886,2995,4119
2904,3284,3812
3124,4218,2658
3315,3559,3126
3356,3431,3213
3354,3509,3137
2462,2754,4784
2285,2573,5142
3034,3176,3790
3814,2574,3612
2856,3189,3955
5616,2048,2336
2312,2454,5234
3430,3280,3290
3244,3576,3180
3486,3265,3249
2958,3965,3077
2286,4005,3709
3260,3344,3396
3870,2410,3720
3519,2120,4361
3435,3459,3106
3101,3896,3003
2816,3536,3648
3144,3542,3314
2796,3934,3270
2994,3817,3189
3312,3368,3320
4778,2190,3032
3627,3051,3322
4078,2812,3110
3256,3364,3380
3341,3254,3405
3724,3471,2805
2709,3015,4276
2600,4690,2710
3335,3398,3267
2980,3264,3756
3029,3705,3266
4358,2930,2712
3260,3130,3610
3324,2629,4047
2020,4274,3706
2698,3690,3612
2827,2891,4282
3256,3911,2833
3178,2914,3908
3494,3021,3485
3053,2980,3967
3983,2838,3179
4040,2910,3050
2964,2550,4486
3152,2514,4334
2504,4248,3248
3194,3432,3374
3465,3304,3231
2570,3439,3991
3397,3530,3073
3253,2868,3879
3308,2787,3905
2916,3831,3253
3223,3759,3018
4090,2462,3448
3191,3370,3439
3710,3344,2946
2899,4243,2858
3122,3394,3484
3681,3223,3096
2624,2486,4890
3268,3205,3527
2866,4082,3052
5324,2185,2491
3177,3600,3223
3656,3101,3243
4231,2129,3640
2986,3503,3511
2646,4044,3310
3032,3794,3174
3740,3336,2924
4140,2886,2974
3379,3482,3139
3719,2767,3514
2679,4107,3214
2739,3121,4140
2623,2896,4481
2988,3865,3147
3272,2956,3772
3629,3308,3063
2923,3601,3476
3036,2727,4237
2516,4508,2976
3274,2653,4073
3007,3384,3609
3780,3164,3056
2376,2772,4852
3097,3809,3094
3165,2965,3870
3681,3090,3229
3475,3349,3176
2905,2874,4221
3757,3468,2775
2964,2804,4232
1993,3961,4046
4382,2466,3152
3418,1766,4816
2169,2371,5460
3443,3524,3033
3002,4146,2852
2741,3886,3373
3154,3402,3444
4382,2936,2682
3170,3265,3565
3982,2592,3426
3193,3218,3589
3789,2999,3212
2932,3293,3775
3029,3912,3059
2947,3421,3632
3866,3214,2920
3119,3850,3031
2854,3035,4111
2590,4178,3232
3354,3700,2946
3456,3402,3142
3718,4140,2142
3291,3333,3376
2459,3453,4088
3756,3696,2548
3375,2813,3812
2730,3474,3796
3117,4047,2836
3628,2996,3376
3189,2494,4317
3789,3144,3067
3381,2515,4104
3205,3087,3708
2792,3206,4002
3790,3040,3170
2056,2848,5096
3613,3001,3386
3056,3624,3320
3069,3419,3512
4199,2702,3099
2638,3899,3463
2606,2346,5048
2906,3712,3382
3294,3201,3505
2368,4492,3140
3293,2958,3749
2664,3802,3534
3012,3834,3154
3196,2650,4154
3286,3712,3002
3101,3592,3307
3362,2609,4029
3036,3100,3864
3512,2962,3526
3681,3353,2966
3277,2558,4165
3900,2949,3151
3412,3124,3464
4534,3330,2136
2729,2970,4301
3078,3451,3471
