topo1,topo2,topo3
4072,2356,3572
1660,6280,2060
2532,4006,3462
5060,2450,2490
2820,2140,5040
994,6336,2670
2780,3700,3520
3480,3492,3028
2370,4600,3030
1490,6730,1780
2824,3234,3942
5425,2160,2415
3280,2465,4255
6116,1336,2548
3932,2524,3544
3932,1372,4696
1760,7160,1080
4000,1200,4800
2325,2930,4745
1288,2188,6524
5388,4054,558
4670,3560,1770
1200,7400,1400
3530,2060,4410
3861,3609,2530
2180,6480,1340
3460,3860,2680
4976,3440,1584
3441,3625,2934
2260,4700,3040
3510,4810,1680
3274,3312,3414
2712,4544,2744
2622,3884,3494
2000,4550,3450
1158,5370,3472
3060,3540,3400
2220,4780,3000
640,1280,8080
3670,3750,2580
2950,4280,2770
720,1800,7480
3118,3574,3308
2820,3792,3388
2720,3570,3710
936,7304,1760
2284,3768,3948
2420,1700,5880
1020,2060,6920
3360,4730,1910
3502,2126,4372
2288,3834,3878
3340,3360,3300
4882,3264,1854
3223,3181,3596
3395,2785,3820
2316,3622,4062
2762,5774,1464
3430,3470,3100
3752,2812,3436
2512,3586,3902
2804,3988,3208
7764,1086,1150
3213,4374,2413
2920,3210,3870
3100,3830,3070
4200,2860,2940
5620,2920,1460
3724,1634,4642
1550,4845,3605
2086,1586,6328
3480,3590,2930
3880,3220,2900
2336,4652,3012
1870,4170,3960
3700,2880,3420
2878,3356,3766
3000,4460,2540
3910,3780,2310
1346,5374,3280
3788,4292,1920
3140,4120,2740
3500,3520,2980
3368,3374,3258
2990,3260,3750
3360,2880,3760
1170,6690,2140
5156,2912,1932
3100,4090,2810
4920,940,4140
4940,2870,2190
2424,2680,4896
2932,4299,2769
2616,3638,3746
2480,5820,1700
3196,2908,3896
1850,4240,3910
2220,3230,4550
1696,3676,4628
4840,1600,3560
1160,6640,2200
2420,3780,3800
2514,1004,6482
2592,3330,4078
2304,4788,2908
2060,1710,6230
1792,6416,1792
1800,7760,440
2620,2630,4750
1780,3830,4390
6096,2158,1746
5562,2622,1816
3650,4180,2170
4612,2118,3270
2790,4958,2252
2420,5000,2580
6158,1614,2228
3000,3480,3520
2040,6060,1900
4101,2438,3461
1350,7600,1050
4070,2878,3052
3934,3858,2208
4100,2870,3030
2530,2553,4917
3607,2261,4132
2220,5220,2560
1990,3290,4720
2707,3619,3674
2380,2180,5440
3300,3680,3020
6210,2150,1640
2990,3988,3022
2020,3880,4100
3352,3908,2740
3660,2540,3800
2230,5140,2630
4862,3036,2102
2920,3620,3460
2012,5161,2827
1760,1900,6340
3560,2300,4140
3156,2938,3906
6042,2025,1933
1786,2692,5522
870,2566,6564
3440,3400,3160
1560,2580,5860
2450,3950,3600
1150,7770,1080
3056,3296,3648
2173,4696,3131
4508,3776,1716
2450,2940,4610
3830,2970,3200
3732,3436,2832
1710,4610,3680
2730,3120,4150
3968,2822,3210
4100,2500,3400
2550,2970,4480
3482,4784,1734
3280,3500,3220
3376,4106,2518
2530,1360,6110
3522,2122,4356
4980,1800,3220
3770,3470,2760
2570,4756,2674
2774,3632,3594
3464,4104,2432
4440,2560,3000
2100,3390,4510
2848,3188,3964
2586,5308,2106
1460,2090,6450
4250,2870,2880
5058,2390,2552
3600,2240,4160
3540,3570,2890
1340,1060,7600
2620,3480,3900
3406,4302,2292
