topo1,topo2,topo3
3060,3204,3736
2816,3896,3288
3169,3046,3785
3274,2877,3849
3362,3616,3022
3508,3703,2789
3427,3097,3476
1838,4618,3544
3111,3516,3373
2129,1925,5946
2830,2971,4199
2947,3323,3730
3302,3697,3001
2714,2654,4632
3520,3517,2963
3756,2875,3369
3105,3099,3796
3582,2716,3702
3379,2504,4117
3612,3598,2790
2869,2636,4495
3332,2500,4168
3127,3380,3493
4066,2995,2939
3776,3586,2638
2320,3860,3820
2893,4165,2942
3360,2874,3766
3895,2976,3129
3053,2809,4138
3510,3152,3338
3352,3136,3512
2875,3321,3804
3668,3222,3110
3730,3287,2983
3786,3376,2838
3157,3751,3092
2929,3551,3520
3814,3223,2963
5130,2312,2558
3448,4037,2515
3818,3074,3108
3398,3200,3402
2637,3515,3848
3303,3583,3114
3396,3712,2892
3162,2816,4022
2705,2990,4305
2916,3600,3484
2741,2697,4562
2993,2705,4302
3035,3363,3602
3150,1610,5240
3412,2682,3906
2388,2252,5360
3114,4772,2114
5614,2424,1962
3206,4250,2544
2913,2544,4543
3006,3742,3252
2703,2757,4540
3178,2860,3962
2797,3690,3513
3121,3278,3601
3020,3367,3613
3281,3123,3596
3152,2992,3856
2896,3090,4014
2629,3738,3633
4898,3128,1974
3029,3161,3810
4521,2724,2755
2994,3700,3306
3038,3146,3816
2986,3161,3853
2878,3288,3834
4138,2828,3034
3119,3636,3245
2592,2706,4702
3081,3140,3779
3752,2935,3313
3954,2536,3510
3314,2483,4203
3912,3076,3012
4023,2804,3173
3425,3127,3448
3425,3758,2817
3304,3988,2708
1805,3040,5155
2635,3830,3535
3432,2532,4036
3440,3669,2891
3010,2357,4633
3266,3396,3338
3556,5102,1342
3985,2959,3056
2889,3075,4036
3355,4094,2551
2347,5151,2502
2707,3639,3654
3727,2964,3309
2966,2988,4046
4001,2539,3460
3357,3220,3423
2836,3534,3630
3745,3512,2743
3803,3404,2793
2136,4757,3107
3507,3207,3286
4028,2962,3010
2806,3274,3920
3396,3274,3330
4564,2432,3004
3421,3094,3485
3585,3137,3278
3344,3855,2801
3710,2919,3371
2366,3448,4186
3947,2826,3227
3093,3650,3257
3030,3314,3656
3638,3641,2721
3762,2756,3482
3230,3039,3731
2289,2895,4816
3071,2721,4208
3052,3725,3223
2485,4003,3512
3825,2356,3819
2739,3650,3611
2990,3638,3372
3858,2706,3436
2882,2789,4329
3016,3618,3366
3036,4240,2724
3793,2330,3877
4355,2821,2824
3412,3413,3175
2714,4421,2865
3853,2765,3382
2500,2980,4520
3937,3687,2376
3960,2878,3162
3159,3837,3004
3060,2595,4345
3383,3021,3596
2891,3633,3476
3634,3617,2749
2911,3363,3726
3318,3042,3640
3098,3036,3866
2956,3511,3533
3398,2624,3978
3030,1603,5367
3169,2876,3955
4743,2801,2456
2930,2168,4902
4462,2493,3045
2999,3427,3574
3144,3798,3058
5220,2455,2325
4255,2545,3200
2788,2848,4364
3283,3556,3161
3471,3199,3330
3019,2533,4448
2477,2915,4608
2786,3240,3974
3744,2642,3614
2826,4340,2834
1878,3320,4802
3545,3518,2937
4418,2425,3157
2756,3448,3796
3504,2790,3706
3923,3213,2864
3031,2497,4472
3550,3131,3319
3801,3098,3101
3737,3298,2965
3294,3292,3414
3667,2681,3652
3240,4275,2485
2398,3476,4126
3312,4520,2168
4660,2648,2692
3028,3400,3572
3706,3228,3066
4533,2993,2474
3129,2805,4066
4337,2905,2758
2945,4119,2936
3052,3412,3536
3102,3544,3354
4164,3337,2499
2945,3305,3750
4340,2629,3031
3104,3385,3511
3868,2578,3554
2853,3362,3785
3754,3451,2795
4545,2722,2733
3456,2506,4038
3172,2518,4310
2632,3382,3986
3194,2663,4143
2837,4058,3105
2963,3108,3929
4000,3644,2356
3179,3914,2907
2808,4042,3150
3050,3110,3840
3468,3256,3276
3658,2966,3376
3450,2176,4374
3691,3079,3230
2840,2360,4800
3291,3243,3466
3361,2988,3651
3201,3486,3313
3204,3542,3254
3534,2326,4140
3189,3882,2929
3428,2889,3683
3204,3032,3764
3259,3544,3197
4287,2694,3019
2741,2793,4466
2531,2146,5323
4618,2648,2734
3250,2526,4224
2965,2823,4212
3420,2832,3748
3516,2754,3730
2851,3226,3923
4278,3082,2640
2869,3698,3433
2570,3838,3592
3579,3017,3404
2610,3125,4265
3412,3464,3124
3367,3496,3137
3406,2888,3706
2182,5632,2186
4153,2912,2935
2762,2676,4562
3195,2975,3830
3034,3434,3532
4402,2580,3018
3410,3194,3396
3124,3524,3352
