type,sim,d,p,sig,,type_2,sim_2,d_2,p_2,sig_2,pch
1,N0,0.003,0.734,1,,1,N0,0.003,0.734,1,19
1,N1,-0.004,0.674,1,,1,N1,-0.004,0.674,1,19
1,N2,-0.026,0.008,1,,1,N2,-0.026,0.008,1,19
1,N2.5,-0.004,0.689,1,,1,N2.5,-0.004,0.689,1,19
1,N3,-0.003,0.77,1,,1,N3,-0.003,0.77,1,19
1,N3.5,-0.002,0.838,1,,1,N3.5,-0.002,0.838,1,19
1,N4,0.002,0.89,1,,1,N4,0.002,0.89,1,19
1,N4.5,-0.008,0.56,1,,1,N4.5,-0.008,0.56,1,19
1,N5,-0.017,0.467,1,,1,N5,-0.017,0.467,1,19
1,N6,0.043,0.768,1,,1,N6,0.043,0.768,1,19
1,N7,-0.143,0.705,1,,2,U0,-0.002,0.878,1,19
2,Y0,0.002,0.897,1,,2,U1,-0.004,0.67,1,19
2,Y1,-0.029,0.034,1,,2,U2,-0.002, 0.879,1,19
2,Y2,-0.005,0.775,1,,2,U3,-0.01,0.326,1,19
2,Y3,0.024,0.23,1,,2,U4,-0.003,0.756,1,19
2,Y4,-0.019,0.569,1,,2,U5,-0.002,0.869,1,19
2,Y5,0.058,0.524,1,,2,U6,-0.002,0.837,1,19
3,U0,-0.002,0.878,1,,2,U7,0.018,0.188,1,19
3,U1,-0.004,0.67,1,,2,U8,0.034,0.027,1,19
3,U2,-0.002, 0.879,1,,2,U9,-0.005,0.794,1,19
3,U3,-0.01,0.326,1,,3,N1,-0.004,0.674,1,19
3,U4,-0.003,0.756,1,,3,N3,-0.003,0.77,1,19
3,U5,-0.002,0.869,1,,3,N4.5,-0.008,0.56,1,19
3,U6,-0.002,0.837,1,,3,X1,0.002,0.857,1,19
3,U7,0.018,0.188,1,,3,X2,-0.017,0.087,1,19
3,U8,0.034,0.027,1,,3,X3,-0.004,0.682,1,19
3,U9,-0.005,0.794,1,,3,X4,-0.01,0.32,1,19
4,N3,-0.003,0.77,1,,3,X5,-0.014,0.179,1,19
4,S2,-0.008,0.757,1,,3,X6,0.004,0.661,1,19
4,S3,-0.001,0.932,1,,3,X7,-0.012,0.334,1,19
4,S4,-0.004,0.72,1,,3,X8,0.005,0.719,1,19
4,S5,0.014,0.176,1,,3,X9,-0.007,0.608,1,19
4,S6,-0.001,0.936,1,,4,G4,-0.094,2.20E-16,2,19
4,S7,-0.009,0.352,1,,4,G5,-0.51,2.20E-16,2,15
4,S8,0.001,0.912,1,,4,G6,-0.777,2.20E-16,2,17
5,N1,-0.004,0.674,1,,4,G7,-0.585,2.20E-16,2,19
5,N3,-0.003,0.77,1,,4,G8,-0.95,2.20E-16,2,15
5,N4.5,-0.008,0.56,1,,4,G9,-0.981,2.20E-16,2,17
5,X1,0.002,0.857,1,,5,I1,-0.013,0.2,1,19
5,X2,-0.017,0.087,1,,5,I3,-0.057,1.17E-08,2,15
5,X3,-0.004,0.682,1,,5,I5,-0.085,2.20E-16,2,17
5,X4,-0.01,0.32,1,,5,I7,-0.125,2.20E-16,2,19
5,X5,-0.014,0.179,1,,5,I9,-0.197,2.20E-16,2,15
5,X6,0.004,0.661,1,,5,I11,-0.2,2.20E-16,2,17
5,X7,-0.012,0.334,1,,6,A4,0.071,1.70E-12,2,19
5,X8,0.005,0.719,1,,6,A8,0.176,2.20E-16,2,19
5,X9,-0.007,0.608,1,,,,,,,
6,G1,0.001,0.904,1,,,,,,,
6,G10,-1,2.20E-16,2,,,,,,,
6,G11,-1,2.20E-16,2,,,,,,,
6,G12,-1,2.20E-16,2,,,,,,,
6,G2,-0.02,0.05,1,,,,,,,
6,G3,-0.174,2.20E-16,2,,,,,,,
6,G4,-0.094,2.20E-16,2,,,,,,,
6,G5,-0.51,2.20E-16,2,,,,,,,
6,G6,-0.777,2.20E-16,2,,,,,,,
6,G7,-0.585,2.20E-16,2,,,,,,,
6,G8,-0.95,2.20E-16,2,,,,,,,
6,G9,-0.981,2.20E-16,2,,,,,,,
6,N1,0.003,0.734,1,,,,,,,
6,N3,-0.003,0.77,1,,,,,,,
6,N4.5,-0.008,0.56,1,,,,,,,
7,B1,-0.084,2.20E-16,2,,,,,,,
7,B10,-1,2.20E-16,2,,,,,,,
7,B11,-1,2.20E-16,2,,,,,,,
7,B12,-1,2.20E-16,2,,,,,,,
7,B2,-0.098,2.20E-16,2,,,,,,,
7,B3,-0.095,2.20E-16,2,,,,,,,
7,B4,-0.349,2.20E-16,2,,,,,,,
7,B5,-0.346,2.20E-16,2,,,,,,,
7,B6,-0.361,2.20E-16,2,,,,,,,
7,B7,-0.735,2.20E-16,2,,,,,,,
7,B8,-0.724,2.20E-16,2,,,,,,,
7,B9,-0.717,2.20E-16,2,,,,,,,
7,N1,-0.004,0.674,1,,,,,,,
7,N3,-0.003,0.7703,1,,,,,,,
7,N4.5,-0.008,0.56,1,,,,,,,
8,I1,-0.013,0.2,1,,,,,,,
8,I10,-0.201,2.20E-16,2,,,,,,,
8,I11,-0.2,2.20E-16,2,,,,,,,
8,I12,-0.201,2.20E-16,2,,,,,,,
8,I2,-0.041,4.10E-05,2,,,,,,,
8,I3,-0.057,1.17E-08,2,,,,,,,
8,I4,-0.082,2.20E-16,2,,,,,,,
8,I5,-0.085,2.20E-16,2,,,,,,,
8,I6,-0.087,2.20E-16,2,,,,,,,
8,I7,-0.125,2.20E-16,2,,,,,,,
8,I8,-0.188,2.20E-16,2,,,,,,,
8,I9,-0.197,2.20E-16,2,,,,,,,
9,A1,0.055,4.69E-08,2,,,,,,,
9,A2,0.061,1.56E-09,2,,,,,,,
9,A3,0.064,2.02E-10,2,,,,,,,
9,A4,0.071,1.70E-12,2,,,,,,,
9,A5,0.161,2.20E-16,2,,,,,,,
9,A6,0.165,2.20E-16,2,,,,,,,
9,A7,0.175,2.20E-16,2,,,,,,,
9,A8,0.176,2.20E-16,2,,,,,,,
