topoID,type,symbol,plot_order,mean_count,mean_weight,sd
topo44,geo,15,10,88.10819293,0.008810819,0.013043883
topo37,geo,15,11,76.60515591,0.007660516,0.012843589
topo36,geo,15,12,76.53649891,0.00765365,0.0126401
topo41,geo,15,13,73.97665631,0.007397666,0.011777937
topo92,geo,15,14,67.36606655,0.006736607,0.011103596
topo89,geo,15,15,63.1944631,0.006319446,0.010567452
topo32,geo,15,16,62.90448605,0.006290449,0.010856959
topo78,mode,16,1,228.2340146,0.022823401,0.032464564
topo3,mode,16,2,223.5313617,0.022353136,0.033206753
topo18,mode,16,3,213.9129023,0.02139129,0.031862797
topo77,mode,16,4,199.4063676,0.019940637,0.0302281
topo2,mode,16,5,194.6453164,0.019464532,0.030746367
topo76,mode,16,6,190.7808816,0.019078088,0.02931906
topo17,mode,16,7,185.7729338,0.018577293,0.028625367
topo1,mode,16,8,185.1397967,0.01851398,0.029105524
topo16,mode,16,9,175.8701966,0.01758702,0.027405001
topo43,other,17,17,166.2203051,0.016622031,0.021825104
topo15,other,17,18,165.6142904,0.016561429,0.021754473
topo73,other,17,19,165.3299658,0.016532997,0.021054882
topo81,other,17,20,163.5692113,0.016356921,0.024088599
topo30,other,17,21,163.2492544,0.016324925,0.021394317
topo29,other,17,22,154.9397748,0.015493977,0.020615862
topo58,other,17,23,151.7303062,0.015173031,0.019543021
topo28,other,17,24,140.6984838,0.014069848,0.01939616
topo25,other,17,25,137.7117093,0.013771171,0.019682419
topo13,other,17,26,131.9554986,0.01319555,0.018647686
topo10,other,17,27,129.7012788,0.012970128,0.018869168
topo14,other,17,28,128.9164624,0.012891646,0.018057853
topo80,other,17,29,120.4391268,0.012043913,0.017718426
topo39,other,17,30,118.3963899,0.011839639,0.018361809
topo79,other,17,31,118.1215902,0.011812159,0.01820055
topo7,other,17,32,115.0950924,0.011509509,0.017060837
topo22,other,17,33,113.1021501,0.011310215,0.017168684
topo19,other,17,34,111.9650079,0.011196501,0.017428639
topo97,other,17,35,109.9004575,0.010990046,0.018127992
topo105,other,17,36,109.5624815,0.010956248,0.018037191
topo4,other,17,37,106.0890964,0.01060891,0.016517685
topo54,other,17,38,102.8716331,0.010287163,0.01671382
topo42,other,17,39,102.8674953,0.01028675,0.016017515
topo104,other,17,40,99.91944475,0.009991944,0.015337944
topo26,other,17,41,95.51929173,0.009551929,0.014981268
topo21,other,17,42,94.10472651,0.009410473,0.015122121
topo64,other,17,43,93.7639867,0.009376399,0.014308463
topo27,other,17,44,92.12436956,0.009212437,0.01476135
topo34,other,17,45,91.77327733,0.009177328,0.01468428
topo94,other,17,46,90.51665287,0.009051665,0.014016885
topo57,other,17,47,90.38752088,0.009038752,0.014077141
topo88,other,17,48,88.83773402,0.008883773,0.013785148
topo91,other,17,49,87.95482723,0.008795483,0.013724667
topo31,other,17,50,86.17144731,0.008617145,0.014339815
topo61,other,17,51,86.09242228,0.008609242,0.013466274
topo24,other,17,52,85.23392096,0.008523392,0.013859239
topo72,other,17,53,83.76020799,0.008376021,0.013397161
topo20,other,17,54,83.098793,0.008309879,0.013720232
topo8,other,17,55,83.0378808,0.008303788,0.013812178
topo69,other,17,56,83.02435863,0.008302436,0.013255576
topo46,other,17,57,81.57455147,0.008157455,0.012929201
topo23,other,17,58,80.95147011,0.008095147,0.013202146
topo49,other,17,59,80.34270724,0.008034271,0.012709005
topo9,other,17,60,79.81648268,0.007981648,0.013342604
topo85,other,17,61,79.65623097,0.007965623,0.012801245
topo5,other,17,62,79.51799572,0.0079518,0.01344698
topo82,other,17,63,77.03005793,0.007703006,0.012858443
topo38,other,17,64,76.53373515,0.007653374,0.012543814
topo100,other,17,65,76.46161173,0.007646161,0.01321269
topo12,other,17,66,75.43533251,0.007543533,0.012833654
topo59,other,17,67,74.92405103,0.007492405,0.011314341
topo101,other,17,68,74.26185532,0.007426186,0.012629133
topo45,other,17,69,72.61700732,0.007261701,0.011161865
topo103,other,17,70,72.22637915,0.007222638,0.012137579
topo11,other,17,71,71.53946567,0.007153947,0.012277785
topo102,other,17,72,71.26589947,0.00712659,0.011779443
