contig,LG,av,inv_status
Contig51009,1,0.657,buffer
Contig375626,1,0.7726,buffer
Contig50299,1,0.827571429,buffer
Contig48395,1,0.896944444,buffer
Contig70326,1,0.923625,buffer
Contig102001,1,0.9655,LGC1.1
Contig10416,1,0.9655,LGC1.1
Contig10439,1,0.9655,LGC1.1
Contig104492,1,0.9655,LGC1.1
Contig105140,1,0.9655,LGC1.1
Contig105487,1,0.9655,LGC1.1
Contig10588,1,0.9655,LGC1.1
Contig106414,1,0.9655,LGC1.1
Contig107839,1,0.9655,LGC1.1
Contig10845,1,0.9655,LGC1.1
Contig109186,1,0.9655,LGC1.1
Contig110798,1,0.9655,LGC1.1
Contig111018,1,0.9655,LGC1.1
Contig111447,1,0.9655,LGC1.1
Contig112090,1,0.9655,LGC1.1
Contig112298,1,0.9655,LGC1.1
Contig11346,1,0.9655,LGC1.1
Contig113922,1,0.9655,LGC1.1
Contig116534,1,0.9655,LGC1.1
Contig118149,1,0.9655,LGC1.1
Contig120690,1,0.9655,LGC1.1
Contig12214,1,0.9655,LGC1.1
Contig122150,1,0.9655,LGC1.1
Contig122307,1,0.9655,LGC1.1
Contig12406,1,0.9655,LGC1.1
Contig124290,1,0.9655,LGC1.1
Contig12701,1,0.9655,LGC1.1
Contig127776,1,0.9655,LGC1.1
Contig127868,1,0.9655,LGC1.1
Contig128777,1,0.9655,LGC1.1
Contig129525,1,0.9655,LGC1.1
Contig1296,1,0.9655,LGC1.1
Contig130056,1,0.9655,LGC1.1
Contig131972,1,0.9655,LGC1.1
Contig134678,1,0.9655,LGC1.1
Contig134723,1,0.9655,LGC1.1
Contig135566,1,0.9655,LGC1.1
Contig137720,1,0.9655,LGC1.1
Contig13842,1,0.9655,LGC1.1
Contig141545,1,0.9655,LGC1.1
Contig14248,1,0.9655,LGC1.1
Contig142675,1,0.9655,LGC1.1
Contig144952,1,0.9655,LGC1.1
Contig145,1,0.9655,LGC1.1
Contig14673,1,0.9655,LGC1.1
Contig152269,1,0.9655,LGC1.1
Contig153953,1,0.9655,LGC1.1
Contig15481,1,0.9655,LGC1.1
Contig157565,1,0.9655,LGC1.1
Contig157715,1,0.9655,LGC1.1
Contig160474,1,0.9655,LGC1.1
Contig161745,1,0.9655,LGC1.1
Contig165035,1,0.9655,LGC1.1
Contig167018,1,0.9655,LGC1.1
Contig169072,1,0.9655,LGC1.1
Contig172078,1,0.9655,LGC1.1
Contig172893,1,0.9655,LGC1.1
Contig173369,1,0.9655,LGC1.1
Contig174042,1,0.9655,LGC1.1
Contig174877,1,0.9655,LGC1.1
Contig174922,1,0.9655,LGC1.1
Contig175689,1,0.9655,LGC1.1
Contig17582,1,0.9655,LGC1.1
Contig179543,1,0.9655,LGC1.1
Contig181326,1,0.9655,LGC1.1
Contig18307,1,0.9655,LGC1.1
Contig184346,1,0.9655,LGC1.1
Contig187679,1,0.9655,LGC1.1
Contig191206,1,0.9655,LGC1.1
Contig192158,1,0.9655,LGC1.1
Contig194594,1,0.9655,LGC1.1
Contig194775,1,0.9655,LGC1.1
Contig1962,1,0.9655,LGC1.1
Contig205469,1,0.9655,LGC1.1
Contig215584,1,0.9655,LGC1.1
Contig219436,1,0.9655,LGC1.1
Contig220127,1,0.9655,LGC1.1
Contig2225,1,0.9655,LGC1.1
Contig222854,1,0.9655,LGC1.1
Contig224705,1,0.9655,LGC1.1
Contig237519,1,0.9655,LGC1.1
Contig243479,1,0.9655,LGC1.1
Contig24859,1,0.9655,LGC1.1
Contig255783,1,0.9655,LGC1.1
Contig265229,1,0.9655,LGC1.1
Contig270668,1,0.9655,LGC1.1
Contig274182,1,0.9655,LGC1.1
Contig280,1,0.9655,LGC1.1
Contig285457,1,0.9655,LGC1.1
Contig287,1,0.9655,LGC1.1
Contig303322,1,0.9655,LGC1.1
Contig3057,1,0.9655,LGC1.1
Contig3073,1,0.9655,LGC1.1
Contig3088,1,0.9655,LGC1.1
Contig3124,1,0.9655,LGC1.1
Contig3157,1,0.9655,LGC1.1
Contig3164,1,0.9655,LGC1.1
Contig323543,1,0.9655,LGC1.1
Contig3381,1,0.9655,LGC1.1
Contig338636,1,0.9655,LGC1.1
Contig339828,1,0.9655,LGC1.1
Contig345108,1,0.9655,LGC1.1
Contig35535,1,0.9655,LGC1.1
Contig357403,1,0.9655,LGC1.1
Contig3576,1,0.9655,LGC1.1
Contig38066,1,0.9655,LGC1.1
Contig381275,1,0.9655,LGC1.1
Contig38152,1,0.9655,LGC1.1
Contig38316,1,0.9655,LGC1.1
Contig383759,1,0.9655,LGC1.1
Contig38603,1,0.9655,LGC1.1
Contig38998,1,0.9655,LGC1.1
Contig39221,1,0.9655,LGC1.1
Contig39268,1,0.9655,LGC1.1
Contig39351,1,0.9655,LGC1.1
Contig39352,1,0.9655,LGC1.1
Contig3973,1,0.9655,LGC1.1
Contig39799,1,0.9655,LGC1.1
Contig39903,1,0.9655,LGC1.1
Contig39945,1,0.9655,LGC1.1
Contig40120,1,0.9655,LGC1.1
Contig40299,1,0.9655,LGC1.1
Contig40400,1,0.9655,LGC1.1
Contig41206,1,0.9655,LGC1.1
Contig41306,1,0.9655,LGC1.1
Contig41317,1,0.9655,LGC1.1
Contig41478,1,0.9655,LGC1.1
Contig4167,1,0.9655,LGC1.1
Contig42082,1,0.9655,LGC1.1
Contig42233,1,0.9655,LGC1.1
Contig42644,1,0.9655,LGC1.1
Contig42757,1,0.9655,LGC1.1
Contig42886,1,0.9655,LGC1.1
Contig43347,1,0.9655,LGC1.1
Contig43560,1,0.9655,LGC1.1
Contig44205,1,0.9655,LGC1.1
Contig44289,1,0.9655,LGC1.1
Contig44380,1,0.9655,LGC1.1
Contig44868,1,0.9655,LGC1.1
Contig44869,1,0.9655,LGC1.1
Contig4547,1,0.9655,LGC1.1
Contig45563,1,0.9655,LGC1.1
Contig45690,1,0.9655,LGC1.1
Contig45847,1,0.9655,LGC1.1
Contig45873,1,0.9655,LGC1.1
Contig46161,1,0.9655,LGC1.1
Contig46441,1,0.9655,LGC1.1
Contig47236,1,0.9655,LGC1.1
Contig47386,1,0.9655,LGC1.1
Contig47405,1,0.9655,LGC1.1
Contig47574,1,0.9655,LGC1.1
Contig47833,1,0.9655,LGC1.1
Contig47946,1,0.9655,LGC1.1
Contig47972,1,0.9655,LGC1.1
Contig48203,1,0.9655,LGC1.1
Contig48223,1,0.9655,LGC1.1
Contig48338,1,0.9655,LGC1.1
Contig48676,1,0.9655,LGC1.1
Contig48719,1,0.9655,LGC1.1
Contig48930,1,0.9655,LGC1.1
Contig49139,1,0.9655,LGC1.1
Contig49235,1,0.9655,LGC1.1
Contig50931,1,0.9655,LGC1.1
Contig51537,1,0.9655,LGC1.1
Contig51613,1,0.9655,LGC1.1
Contig52243,1,0.9655,LGC1.1
Contig52395,1,0.9655,LGC1.1
Contig52416,1,0.9655,LGC1.1
Contig52504,1,0.9655,LGC1.1
Contig5258,1,0.9655,LGC1.1
Contig53143,1,0.9655,LGC1.1
Contig53913,1,0.9655,LGC1.1
Contig5407,1,0.9655,LGC1.1
Contig54111,1,0.9655,LGC1.1
Contig54302,1,0.9655,LGC1.1
Contig54460,1,0.9655,LGC1.1
Contig5447,1,0.9655,LGC1.1
Contig54647,1,0.9655,LGC1.1
Contig54795,1,0.9655,LGC1.1
Contig5508,1,0.9655,LGC1.1
Contig55080,1,0.9655,LGC1.1
Contig55422,1,0.9655,LGC1.1
Contig55551,1,0.9655,LGC1.1
Contig55820,1,0.9655,LGC1.1
Contig56040,1,0.9655,LGC1.1
Contig56307,1,0.9655,LGC1.1
Contig56484,1,0.9655,LGC1.1
Contig56541,1,0.9655,LGC1.1
Contig56737,1,0.9655,LGC1.1
Contig56738,1,0.9655,LGC1.1
Contig57100,1,0.9655,LGC1.1
Contig57257,1,0.9655,LGC1.1
Contig5784,1,0.9655,LGC1.1
Contig5789,1,0.9655,LGC1.1
Contig57904,1,0.9655,LGC1.1
Contig58148,1,0.9655,LGC1.1
Contig58649,1,0.9655,LGC1.1
Contig58740,1,0.9655,LGC1.1
Contig59650,1,0.9655,LGC1.1
Contig59761,1,0.9655,LGC1.1
Contig60166,1,0.9655,LGC1.1
Contig60639,1,0.9655,LGC1.1
Contig60966,1,0.9655,LGC1.1
Contig61139,1,0.9655,LGC1.1
Contig61183,1,0.9655,LGC1.1
Contig61230,1,0.9655,LGC1.1
Contig61805,1,0.9655,LGC1.1
Contig62190,1,0.9655,LGC1.1
Contig63008,1,0.9655,LGC1.1
Contig63276,1,0.9655,LGC1.1
Contig63290,1,0.9655,LGC1.1
Contig6384,1,0.9655,LGC1.1
Contig64345,1,0.9655,LGC1.1
Contig6447,1,0.9655,LGC1.1
Contig64904,1,0.9655,LGC1.1
Contig65239,1,0.9655,LGC1.1
Contig66169,1,0.9655,LGC1.1
Contig6622,1,0.9655,LGC1.1
Contig66393,1,0.9655,LGC1.1
Contig66427,1,0.9655,LGC1.1
Contig66727,1,0.9655,LGC1.1
Contig67789,1,0.9655,LGC1.1
Contig67887,1,0.9655,LGC1.1
Contig68067,1,0.9655,LGC1.1
Contig68158,1,0.9655,LGC1.1
Contig68173,1,0.9655,LGC1.1
Contig6821,1,0.9655,LGC1.1
Contig68549,1,0.9655,LGC1.1
Contig68952,1,0.9655,LGC1.1
Contig6901,1,0.9655,LGC1.1
Contig69572,1,0.9655,LGC1.1
Contig69969,1,0.9655,LGC1.1
Contig70463,1,0.9655,LGC1.1
Contig70933,1,0.9655,LGC1.1
Contig7112,1,0.9655,LGC1.1
Contig71543,1,0.9655,LGC1.1
Contig71668,1,0.9655,LGC1.1
Contig71856,1,0.9655,LGC1.1
Contig72254,1,0.9655,LGC1.1
Contig72373,1,0.9655,LGC1.1
Contig72432,1,0.9655,LGC1.1
Contig73166,1,0.9655,LGC1.1
Contig73180,1,0.9655,LGC1.1
Contig73490,1,0.9655,LGC1.1
Contig750,1,0.9655,LGC1.1
Contig75889,1,0.9655,LGC1.1
Contig7721,1,0.9655,LGC1.1
Contig78062,1,0.9655,LGC1.1
Contig78239,1,0.9655,LGC1.1
Contig7862,1,0.9655,LGC1.1
Contig78714,1,0.9655,LGC1.1
Contig79093,1,0.9655,LGC1.1
Contig79424,1,0.9655,LGC1.1
Contig80664,1,0.9655,LGC1.1
Contig8097,1,0.9655,LGC1.1
Contig8152,1,0.9655,LGC1.1
Contig816,1,0.9655,LGC1.1
Contig81799,1,0.9655,LGC1.1
Contig82491,1,0.9655,LGC1.1
Contig82685,1,0.9655,LGC1.1
Contig83249,1,0.9655,LGC1.1
Contig83333,1,0.9655,LGC1.1
Contig83753,1,0.9655,LGC1.1
Contig84270,1,0.9655,LGC1.1
Contig8493,1,0.9655,LGC1.1
Contig85185,1,0.9655,LGC1.1
Contig87099,1,0.9655,LGC1.1
Contig87916,1,0.9655,LGC1.1
Contig8792,1,0.9655,LGC1.1
Contig88157,1,0.9655,LGC1.1
Contig88534,1,0.9655,LGC1.1
Contig88548,1,0.9655,LGC1.1
Contig88770,1,0.9655,LGC1.1
Contig88918,1,0.9655,LGC1.1
Contig88919,1,0.9655,LGC1.1
Contig88959,1,0.9655,LGC1.1
Contig89780,1,0.9655,LGC1.1
Contig89785,1,0.9655,LGC1.1
Contig89929,1,0.9655,LGC1.1
Contig9052,1,0.9655,LGC1.1
Contig9087,1,0.9655,LGC1.1
Contig91689,1,0.9655,LGC1.1
Contig91818,1,0.9655,LGC1.1
Contig92340,1,0.9655,LGC1.1
Contig9311,1,0.9655,LGC1.1
Contig93791,1,0.9655,LGC1.1
Contig94473,1,0.9655,LGC1.1
Contig94569,1,0.9655,LGC1.1
Contig95284,1,0.9655,LGC1.1
Contig95313,1,0.9655,LGC1.1
Contig95783,1,0.9655,LGC1.1
Contig96348,1,0.9655,LGC1.1
Contig97086,1,0.9655,LGC1.1
Contig97481,1,0.9655,LGC1.1
Contig9795,1,0.9655,LGC1.1
Contig9971,1,0.9655,LGC1.1
Contig44840,1,1.02175,buffer
Contig52616,1,1.035875,buffer
Contig55249,1,1.059333333,buffer
Contig53796,1,1.067772727,buffer
Contig45793,1,1.106125,buffer
Contig11969,1,1.126214286,buffer
Contig93114,1,1.153,buffer
Contig2535,1,1.3405,buffer
Contig38112,1,1.528,buffer
Contig49304,1,1.528,buffer
Contig41944,1,1.7155,buffer
Contig13100,1,2.0905,buffer
Contig2906,1,2.0905,buffer
Contig39332,1,2.0905,buffer
Contig4443,1,2.0905,buffer
Contig45258,1,2.0905,buffer
Contig5808,1,2.0905,buffer
Contig619,1,2.0905,buffer
Contig63236,1,2.0905,buffer
Contig78278,1,2.0905,buffer
Contig266715,1,2.6565,buffer
Contig60485,1,2.6565,buffer
Contig60486,1,2.6565,buffer
Contig100704,1,3.2645,collinear
Contig126861,1,3.2645,collinear
Contig1348,1,3.2645,collinear
Contig136745,1,3.2645,collinear
Contig177490,1,3.2645,collinear
Contig215812,1,3.2645,collinear
Contig40592,1,3.2645,collinear
Contig43930,1,3.2645,collinear
Contig52611,1,3.2645,collinear
Contig55802,1,3.2645,collinear
Contig74258,1,3.2645,collinear
Contig80553,1,3.2645,collinear
Contig2512,1,4.229,collinear
Contig316306,1,4.229,collinear
Contig38378,1,4.229,collinear
Contig55,1,4.229,collinear
Contig60766,1,4.229,collinear
Contig63160,1,4.229,collinear
Contig2163,1,6.6055,collinear
Contig42850,1,6.6055,collinear
Contig63486,1,6.6055,collinear
Contig58123,1,8.122,collinear
Contig7902,1,8.122,collinear
Contig112306,1,8.6855,collinear
Contig57227,1,8.6855,collinear
Contig72345,1,8.6855,collinear
Contig78899,1,8.6855,collinear
Contig81776,1,8.6855,collinear
Contig137099,1,11.093,collinear
Contig54163,1,11.093,collinear
Contig71030,1,11.093,collinear
Contig72639,1,11.093,collinear
Contig107085,1,11.3975,collinear
Contig109104,1,11.3975,collinear
Contig138427,1,11.3975,collinear
Contig1432,1,11.3975,collinear
Contig17749,1,11.3975,collinear
Contig1823,1,11.3975,collinear
Contig3242,1,11.3975,collinear
Contig42167,1,11.3975,collinear
Contig44766,1,11.3975,collinear
Contig44782,1,11.3975,collinear
Contig55379,1,11.3975,collinear
Contig79429,1,11.3975,collinear
Contig84267,1,11.3975,collinear
Contig358,1,11.7015,collinear
Contig38742,1,11.7015,collinear
Contig5246,1,11.7015,collinear
Contig6337,1,11.7015,collinear
Contig64701,1,11.7015,collinear
Contig65156,1,11.7015,collinear
Contig9662,1,11.7015,collinear
Contig9710,1,11.7015,collinear
Contig464,1,12.0025,collinear
Contig52244,1,12.0025,collinear
Contig286,1,12.2845,collinear
Contig3598,1,12.2845,collinear
Contig80348,1,12.2845,collinear
Contig107593,1,12.85,collinear
Contig119203,1,12.85,collinear
Contig122016,1,12.85,collinear
Contig215952,1,12.85,collinear
Contig30215,1,12.85,collinear
Contig47901,1,12.85,collinear
Contig4794,1,12.85,collinear
Contig53532,1,12.85,collinear
Contig54249,1,12.85,collinear
Contig56787,1,12.85,collinear
Contig58981,1,12.85,collinear
Contig6998,1,12.85,collinear
Contig76757,1,12.85,collinear
Contig79024,1,12.85,collinear
Contig80287,1,12.85,collinear
Contig91333,1,12.85,collinear
Contig91470,1,12.85,collinear
Contig91471,1,12.85,collinear
Contig181413,1,13.1505,collinear
Contig270355,1,13.1505,collinear
Contig38376,1,13.1505,collinear
Contig42466,1,13.1505,collinear
Contig45684,1,13.1505,collinear
Contig48226,1,13.1505,collinear
Contig54546,1,13.1505,collinear
Contig57703,1,13.1505,collinear
Contig63143,1,13.1505,collinear
Contig685,1,13.1505,collinear
Contig96851,1,13.1505,collinear
Contig107184,1,13.7155,collinear
Contig107685,1,13.7155,collinear
Contig131313,1,13.7155,collinear
Contig13733,1,13.7155,collinear
Contig32487,1,13.7155,collinear
Contig53275,1,13.7155,collinear
Contig6791,1,13.7155,collinear
Contig69764,1,13.7155,collinear
Contig98451,1,13.7155,collinear
Contig342279,1,15.164,collinear
Contig39005,1,15.164,collinear
Contig96329,1,15.164,collinear
Contig96444,1,15.164,collinear
Contig110701,1,15.465,collinear
Contig120388,1,15.465,collinear
Contig1435,1,15.465,collinear
Contig148262,1,15.465,collinear
Contig39934,1,15.465,collinear
Contig40274,1,15.465,collinear
Contig40584,1,15.465,collinear
Contig618,1,15.465,collinear
Contig79792,1,15.465,collinear
Contig83516,1,15.465,collinear
Contig40582,1,15.605,collinear
Contig1688,1,16.31743961,collinear
Contig238020,1,16.31743961,collinear
Contig381,1,16.31743961,collinear
Contig45268,1,16.31743961,collinear
Contig50113,1,16.31743961,collinear
Contig165091,1,18.15672388,collinear
Contig282056,1,18.15672388,collinear
Contig48536,1,18.15672388,collinear
Contig53935,1,18.15672388,collinear
Contig58672,1,18.15672388,collinear
Contig63815,1,18.15672388,collinear
Contig1754,1,19.99763656,collinear
Contig66505,1,20.09294385,collinear
Contig42892,1,20.2505,collinear
Contig109564,1,20.9185,collinear
Contig131476,1,20.9185,collinear
Contig148431,1,20.9185,collinear
Contig38852,1,20.9185,collinear
Contig48960,1,20.9185,collinear
Contig49505,1,20.9185,collinear
Contig58711,1,20.9185,collinear
Contig68117,1,20.9185,collinear
Contig77195,1,20.9185,collinear
Contig8249,1,20.9185,collinear
Contig50540,1,21.1085,collinear
Contig6638,1,21.5875,collinear
Contig114613,1,21.8705,collinear
Contig126882,1,21.8705,collinear
Contig272153,1,21.8705,collinear
Contig38113,1,21.8705,collinear
Contig40977,1,21.8705,collinear
Contig44308,1,21.8705,collinear
Contig47532,1,21.8705,collinear
Contig50341,1,21.8705,collinear
Contig51921,1,21.8705,collinear
Contig52643,1,21.8705,collinear
Contig55301,1,21.8705,collinear
Contig58122,1,21.8705,collinear
Contig6506,1,21.8705,collinear
Contig65337,1,21.8705,collinear
Contig66579,1,21.8705,collinear
Contig67946,1,21.8705,collinear
Contig67985,1,21.8705,collinear
Contig68250,1,21.8705,collinear
Contig73345,1,21.8705,collinear
Contig78214,1,21.8705,collinear
Contig78414,1,21.8705,collinear
Contig8451,1,21.8705,collinear
Contig95180,1,21.8705,collinear
Contig141657,1,22.1525,collinear
Contig39753,1,22.1525,collinear
Contig501,1,22.1525,collinear
Contig95541,1,22.1525,collinear
Contig146800,1,22.4345,collinear
Contig2118,1,22.4345,collinear
Contig39527,1,22.4345,collinear
Contig45430,1,22.4345,collinear
Contig46189,1,22.4345,collinear
Contig46248,1,22.4345,collinear
Contig47586,1,22.4345,collinear
Contig60254,1,22.4345,collinear
Contig71672,1,22.4345,collinear
Contig72268,1,22.4345,collinear
Contig75126,1,22.4345,collinear
Contig81387,1,22.4345,collinear
Contig96915,1,22.4345,collinear
Contig67944,1,22.505,collinear
Contig44765,1,22.6225,collinear
Contig78029,1,22.7165,collinear
Contig89513,1,22.8575,collinear
Contig48945,1,23.24086538,collinear
Contig43479,1,23.281,collinear
Contig229838,1,23.464,collinear
Contig15511,1,24.128,collinear
Contig6939,1,24.128,collinear
Contig133708,1,24.41,collinear
Contig2518,1,24.41,collinear
Contig40968,1,24.41,collinear
Contig41090,1,24.41,collinear
Contig45074,1,24.41,collinear
Contig47431,1,24.41,collinear
Contig50938,1,24.41,collinear
Contig53076,1,24.41,collinear
Contig57394,1,24.41,collinear
Contig65877,1,24.41,collinear
Contig7991,1,24.41,collinear
Contig206312,1,24.732,collinear
Contig1030,1,25.0135,collinear
Contig131460,1,25.0135,collinear
Contig133238,1,25.0135,collinear
Contig1951,1,25.0135,collinear
Contig231,1,25.0135,collinear
Contig3257,1,25.0135,collinear
Contig40902,1,25.0135,collinear
Contig43243,1,25.0135,collinear
Contig44790,1,25.0135,collinear
Contig46462,1,25.0135,collinear
Contig62629,1,25.0135,collinear
Contig63515,1,25.0135,collinear
Contig6952,1,25.0135,collinear
Contig339,1,25.3355,collinear
Contig44310,1,25.3355,collinear
Contig58125,1,25.3355,collinear
Contig101754,1,26.18886297,collinear
Contig1815,1,26.18886297,collinear
Contig6518,1,26.18886297,collinear
Contig9176,1,26.18886297,collinear
Contig53493,1,27.01239517,collinear
Contig59191,1,27.01239517,collinear
Contig62316,1,27.01239517,collinear
Contig6501,1,27.01239517,collinear
Contig103679,1,27.20392121,collinear
Contig2935,1,27.20392121,collinear
Contig47003,1,27.20392121,collinear
Contig6305,1,27.20392121,collinear
Contig63108,1,27.20392121,collinear
Contig110929,1,27.711,collinear
Contig46785,1,27.711,collinear
Contig94658,1,27.711,collinear
Contig238045,1,28.033,collinear
Contig3762,1,28.033,collinear
Contig39457,1,28.033,collinear
Contig41049,1,28.033,collinear
Contig45462,1,28.033,collinear
Contig47971,1,28.033,collinear
Contig49357,1,28.033,collinear
Contig53433,1,28.033,collinear
Contig54091,1,28.033,collinear
Contig63148,1,28.033,collinear
