,scaffold,output_order,start,end,mid,win_size,sites,lnL,topoC_count,topoA_count,topoB_couunt,topoC,topoA,topoB,scaffold.1,start_check,end_check,mid_check,sites_full,pi_Egglayer,pi_Brooder,dxy_Egglayer_Brooder,Fst_Egglayer_Brooder,scaffold.2,start_check_2,end_check_2,mid_check_2,sites_full_2,pi_arcana,pi_compressa,pi_n_sax,pi_spain,dxy_arcana_compressa,dxy_arcana_n_sax,dxy_arcana_spain,dxy_compressa_n_sax,dxy_compressa_spain,dxy_n_sax_spain,Fst_arcana_compressa,Fst_arcana_n_sax,Fst_arcana_spain,Fst_compressa_n_sax,Fst_compressa_spain,Fst_n_sax_spain,LG,av,inv_status
3937,Contig108528,145224,615,29659,11105,29044,100,-1796.7505,10000,0,0,1,0,0,Contig108528,615,29659,14649,2357,0.0046,0.0036,0.0067,0.2038,Contig108528,615,29659,14649,2357,0.004,0.0048,0.0036,0.0032,0.0061,0.0066,0.0066,0.0072,0.0074,0.0038,0.0899,0.2228,0.2582,0.0809,0.2665,0.0247,1,75.534,buffer
22216,Contig2032,11035,53513,56923,54959,3410,100,-1352.23053,10000,0,0,1,0,0,Contig2032,53513,56923,55075,2031,0.0068,7.00E-04,0.0062,0.299,Contig2032,53513,56923,55075,2031,0.0063,0.0058,5.00E-04,0.0014,0.0083,0.006,0.0064,0.007,0.0074,0.001,0.0804,0.3311,0.1983,0.3351,0.374,0.0221,1,31.3955,collinear
22217,Contig2032,11034,42723,53508,47136,10785,100,-1230.75383,10000,0,0,1,0,0,Contig2032,42723,53508,48412,2142,0.0076,0.0032,0.0083,0.2055,Contig2032,42723,53508,48412,2142,0.0072,0.0069,0.0024,0.0035,0.0075,0.0079,0.0079,0.0071,0.0071,0.003,0.0172,0.2487,0.1607,0.0911,0.1499,0.0059,1,31.3955,collinear
23000,Contig2118,11478,102328,107302,104273,4974,100,-1751.66721,10000,0,0,1,0,0,Contig2118,102328,107302,104665,2343,0.0047,0.0036,0.0067,0.2029,Contig2118,102328,107302,104665,2343,0.0047,0.0046,0.0036,0.0039,0.0053,0.0068,0.007,0.0074,0.0074,0.0043,0.0309,0.203,0.2196,0.0841,0.2291,0.0336,1,22.4345,collinear
98351,Contig54667,95374,27273,51824,33881,24551,100,-977.52597,10000,0,0,1,0,0,Contig54667,27273,51824,36043,2754,0.0043,0.0018,0.0076,0.4163,Contig54667,27273,51824,36043,2754,0.0039,0.0049,0.0018,0.0017,0.0055,0.0076,0.0075,0.008,0.008,0.0017,0.0657,0.4337,0.399,0.2004,0.4234,-0.0025,1,75.534,buffer
98353,Contig54667,95373,16283,27260,24632,10977,100,-1215.09128,10000,0,0,1,0,0,Contig54667,16283,27260,24694,2035,0.0073,0.002,0.0088,0.324,Contig54667,16283,27260,24694,2035,0.006,0.0069,0.0018,0.0013,0.0099,0.0083,0.0081,0.0102,0.01,0.0016,0.1235,0.3677,0.3056,0.2296,0.4554,0.0097,1,75.534,buffer
98354,Contig54667,95372,6589,16281,11706,9692,100,-1169.67645,10000,0,0,1,0,0,Contig54667,6589,16281,11955,1812,0.0058,0.0013,0.0075,0.3774,Contig54667,6589,16281,11955,1812,0.0051,0.0069,0.0013,0.001,0.0078,0.0072,0.0071,0.0089,0.0087,0.0012,0.0781,0.4001,0.3233,0.2361,0.4293,0.0057,1,75.534,buffer
9225,Contig1241,6326,173546,178197,175591,4651,100,-1395.03069,9829,171,0,0.9829,0.0171,0,Contig1241,173546,178197,176137,1695,0.0063,0.0044,0.0079,0.1675,Contig1241,173546,178197,176137,1695,0.0063,0.0045,0.0041,0.004,0.0063,0.008,0.0082,0.0072,0.0071,0.0051,0.037,0.1866,0.1976,0.0689,0.2092,0.064,1,73.803,collinear
98352,Contig54667,95375,51825,68775,64156,16950,100,-1416.00924,9813,88,99,0.9813,0.0088,0.0099,Contig54667,51825,68775,65122,2897,0.0085,0.0061,0.0128,0.2397,Contig54667,51825,68775,65122,2897,0.0081,0.0086,0.006,0.0059,0.0093,0.0126,0.0131,0.0124,0.013,0.006,0.0273,0.2487,0.272,0.0812,0.2528,7.00E-04,1,75.534,buffer
70106,Contig4664,22925,221,5132,3042,4911,100,-1351.97233,9673,264,63,0.9673,0.0264,0.0063,Contig4664,221,5132,2731,1654,0.0074,0.0049,0.0104,0.2256,Contig4664,221,5132,2731,1654,0.0069,0.0088,0.0048,0.0046,0.0088,0.0101,0.0108,0.0109,0.0118,0.0051,0.0305,0.2352,0.2699,0.0789,0.2599,0.0217,1,46.538,collinear
