A,B,C
0.0038,0.0033,0.0038
0.0045,0.0057,0.0055
0.0057,0.0057,0.006
0.005,0.0045,0.0051
0.0111,0.0116,0.012
0.0036,0.0065,0.0066
0.0079,0.0091,0.0087
0.0048,0.0049,0.0052
0.0089,0.0102,0.01
0.0048,0.0069,0.0062
0.0024,0.0045,0.0035
0.0056,0.0069,0.0064
0.0049,0.0066,0.006
0.0078,0.009,0.009
0.0042,0.0056,0.0051
0.0046,0.0056,0.0056
0.0056,0.0047,0.0057
0.0049,0.0046,0.0051
0.0044,0.0051,0.0049
0.0045,0.0059,0.0056
0.0084,0.0073,0.0084
0.0075,0.0068,0.0074
0.0059,0.006,0.0064
0.0073,0.0052,0.0077
0.0059,0.0052,0.0062
0.0055,0.0052,0.0056
0.0077,0.0072,0.008
0.0068,0.0047,0.0063
0.0109,0.0081,0.0102
0.0058,0.0067,0.0068
0.0078,0.005,0.0073
0.0072,0.0053,0.0068
0.0052,0.0058,0.0059
0.0041,0.0048,0.0047
0.0047,0.0059,0.0061
0.0092,0.0096,0.0113
0.0053,0.0049,0.0059
0.0069,0.0076,0.0074
0.0057,0.0056,0.0058
0.0038,0.0051,0.0048
0.0074,0.0065,0.0072
0.0074,0.0068,0.0074
0.0063,0.0067,0.0067
0.0045,0.0049,0.005
0.0044,0.0036,0.0044
0.0058,0.0054,0.006
0.0059,0.0054,0.0064
0.0032,0.0049,0.0043
0.0056,0.0052,0.0057
0.0033,0.003,0.0033
0.0041,0.0037,0.004
0.0039,0.0035,0.0038
0.0073,0.0063,0.0073
0.004,0.0032,0.0037
0.0041,0.005,0.0048
0.0031,0.003,0.0033
0.0078,0.0075,0.0082
0.0072,0.0055,0.0066
0.0049,0.0047,0.005
0.0066,0.0068,0.0072
0.0071,0.007,0.0075
0.006,0.0073,0.007
0.0075,0.0062,0.0075
0.0099,0.008,0.0094
0.0052,0.0057,0.0057
0.0038,0.0036,0.0038
0.0084,0.0059,0.008
0.0081,0.0089,0.0088
0.0047,0.0042,0.0046
0.0064,0.0053,0.0062
0.0036,0.0041,0.0044
0.0096,0.0128,0.0136
0.0052,0.0059,0.0057
0.0061,0.0059,0.0063
0.0077,0.0077,0.0079
0.0033,0.0037,0.0037
0.0032,0.0043,0.0039
0.0058,0.0063,0.0063
0.0066,0.0071,0.0069
0.0044,0.0033,0.0041
0.0044,0.005,0.005
0.0039,0.0033,0.0037
0.0052,0.0057,0.0057
0.0045,0.0054,0.0054
0.0067,0.0083,0.0081
0.0043,0.0051,0.005
0.0048,0.0054,0.0054
0.0062,0.0058,0.0063
0.0061,0.0061,0.0064
0.0034,0.0043,0.0041
0.0057,0.007,0.0068
0.0112,0.0112,0.0122
0.0063,0.0069,0.0069
0.0045,0.0049,0.0052
0.0035,0.0052,0.0047
0.0041,0.0042,0.0051
0.0045,0.0036,0.0053
0.0096,0.011,0.0115
0.0068,0.0063,0.0069
0.0055,0.0046,0.0053
0.0043,0.0033,0.0039
0.0044,0.0036,0.0042
0.005,0.004,0.0048
0.0052,0.0045,0.0054
0.0056,0.0056,0.0058
