scaffold,LG,av,inv_status
Contig100,6,60.254,collinear
Contig100005,6,47.3685,collinear
Contig100064,17,36.0035,collinear
Contig100078,9,37.0725,LGC9.1
Contig100088,7,12.5715,collinear
Contig100090,4,21.1535,collinear
Contig10010,15,52.737,collinear
Contig100134,15,53.03,collinear
Contig100148,1,80.9515,buffer
Contig100169,12,29.627,NA
Contig100209,12,29.627,NA
Contig100233,7,40.339,collinear
Contig100243,6,29.5845,buffer
Contig100289,15,31.831,collinear
Contig100295,15,14.54880221,collinear
Contig100298,12,34.1835,NA
Contig1003,4,10.6485,collinear
Contig100320,16,56.1665,collinear
Contig100348,10,41.57451042,buffer
Contig100405,12,60.235,NA
Contig100422,16,45.1145,collinear
Contig10048,11,53.1745,buffer
Contig100506,11,52.908,LGC11.1
Contig100516,7,5.5455,collinear
Contig100520,7,2.679,collinear
Contig100536,6,56.97,collinear
Contig100590,3,18.415,collinear
Contig100614,9,51.5515,collinear
Contig100627,12,34.1835,NA
Contig100637,10,38.7485,LGC10.2
Contig100694,9,37.3825,LGC9.1
Contig100699,17,17.756,collinear
Contig100704,1,3.2645,collinear
Contig100708,7,15.2505,collinear
Contig100715,2,48.8225,collinear
Contig100728,4,42.9585,collinear
Contig100803,16,3.4435,collinear
Contig100815,7,12.5715,collinear
Contig100825,2,0.6405,buffer
Contig100851,8,46.2085,collinear
Contig100885,13,0,collinear
Contig100887,3,61.3595,collinear
Contig100902,6,17.4365,LGC6.1/2
Contig100907,9,29.4955,LGC9.1
Contig100914,16,13.992,collinear
Contig100938,12,46.1125,NA
Contig100954,9,11.628,collinear
Contig100968,17,15.26589029,collinear
Contig100990,16,12.7565,collinear
Contig101006,16,34.149,collinear
Contig101029,1,32.359,collinear
Contig101039,11,52.3195,buffer
Contig101065,1,35.667,collinear
Contig101070,7,29.165,collinear
Contig101078,1,50.726,collinear
Contig10109,4,25.314,collinear
Contig1011,13,39.676,collinear
Contig101103,4,0.2675,buffer
Contig101107,12,56.6905,NA
Contig10111,2,61.7765,collinear
Contig101115,4,32.744,collinear
Contig10117,9,31.88371908,LGC9.1
Contig10118,2,48.8225,collinear
Contig101180,15,1.9025,collinear
Contig101232,8,20.376,collinear
Contig101267,1,35.104,collinear
Contig10131,12,52.961,NA
Contig101321,4,12.657,collinear
Contig101392,10,3.12,buffer
Contig101405,4,32.744,collinear
Contig101416,14,10.2385,LGC14.1/2
Contig101497,12,57.8515,NA
Contig1015,4,35.22,collinear
