scaffold,start,end,mid,sites,pi_Egglayer,pi_Brooder,dxy_Egglayer_Brooder,Fst_Egglayer_Brooder
Contig1261,1,3000,1671,1160,0.0046,0.0042,0.0048,0.0294
Contig1261,31,3030,1705,1190,0.0048,0.0044,0.0049,0.0291
Contig1261,61,3060,1734,1216,0.0047,0.0043,0.0048,0.0291
Contig1261,91,3090,1797,1218,0.0047,0.0043,0.0048,0.0291
Contig1261,121,3120,1870,1217,0.0044,0.0039,0.0045,0.0309
Contig1261,151,3150,1941,1219,0.0048,0.0041,0.0048,0.0318
Contig1261,181,3180,2003,1217,0.0045,0.004,0.0046,0.0311
Contig1261,211,3210,2069,1213,0.0045,0.0041,0.0047,0.0308
Contig1261,241,3240,2140,1210,0.0045,0.0041,0.0047,0.0308
Contig1261,271,3270,2199,1206,0.0045,0.0041,0.0047,0.0308
Contig1261,301,3300,2270,1202,0.0045,0.0041,0.0047,0.0311
Contig1261,331,3330,2343,1203,0.0045,0.0038,0.0045,0.0337
Contig1261,361,3360,2369,1226,0.0048,0.0038,0.0047,0.0361
Contig1261,391,3390,2393,1256,0.0047,0.0038,0.0046,0.0357
Contig1261,421,3420,2415,1283,0.0046,0.0037,0.0045,0.0357
Contig1261,451,3450,2432,1305,0.0045,0.0037,0.0045,0.0357
Contig1261,481,3480,2433,1306,0.0045,0.0037,0.0045,0.0357
Contig1261,511,3510,2433,1306,0.0045,0.0037,0.0045,0.0357
Contig1261,541,3540,2433,1306,0.0045,0.0037,0.0045,0.0357
Contig1261,571,3570,2448,1324,0.0044,0.0036,0.0044,0.0357
Contig1261,601,3600,2473,1354,0.0043,0.0035,0.0043,0.0357
Contig1261,631,3630,2498,1384,0.0046,0.0041,0.0048,0.0323
Contig1261,661,3660,2521,1413,0.0045,0.0042,0.0047,0.0319
Contig1261,691,3690,2545,1443,0.0045,0.0041,0.0047,0.0316
Contig1261,721,3720,2568,1472,0.0044,0.0041,0.0046,0.0316
Contig1261,751,3750,2588,1497,0.0049,0.0046,0.0051,0.0275
Contig1261,781,3780,2602,1516,0.0052,0.0049,0.0054,0.0254
Contig1261,811,3810,2626,1546,0.0053,0.0051,0.0055,0.0242
Contig1261,841,3840,2648,1576,0.0053,0.0053,0.0057,0.0242
